,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Toothed whale",4.56313419,1.00000000,0.013000000,0.013000000,0.020000000,13.0000000,0.63430732,0.00153846,,
2,"Baleen whale",3.75421596,1.00000000,0.0060000001,0.0060000001,0.020000000,11.1999998,0.00000000,0.00178571,,
3,Seal,4.62836885,0.80000001,0.050999999,0.040800001,0.18000001,38.8979988,0.14090019,0.00462749,,
4,Seabirds,4.48492384,1.00000000,0.0030000000,0.0030000000,0.80000001,80.0000000,0.36290789,0.01000000,,
5,Penguins,4.38896894,1.00000000,0.0010000000,0.0010000000,0.80000001,80.0000000,0.69172418,0.01000000,,
6,Tuna/billfish,4.57884693,0.14000000,1.13092101,0.15832900,0.47999999,6.80000019,0.40000001,0.07058823,,
7,"Pelagic sharks",4.91904688,1.00000000,0.00431085,0.00431085,0.20000000,1.20000005,0.94999993,0.16666670,,
8,"Demersal sharks",4.46473598,1.00000000,1.21500003,1.21500003,0.18000001,1.79999995,0.80473149,0.10000000,,
9,Rays,3.60366702,1.00000000,1.20000005,1.20000005,0.34999999,3.50000000,0.66085392,0.10000000,,
10,Warehous,3.96208596,1.00000000,0.89999998,0.89999998,0.28000000,2.40000010,0.81973112,0.11666670,,
11,Redbait,3.50588107,1.00000000,2.20000005,2.20000005,0.49000001,4.09999990,0.97296739,0.11951220,,
12,Redfish,3.94801092,1.00000000,1.07000005,1.07000005,0.31000000,3.40000010,0.60738242,0.09117647,,
13,Ling,4.45702600,1.00000000,0.44000000,0.44000000,0.22000000,2.40000010,0.77878141,0.09166666,,
14,Dories,4.57936811,1.00000000,0.39008981,0.39008981,0.30000001,2.79999995,0.70092738,0.10714290,,
15,"Jack mackerel",3.52434707,1.00000000,6.00000000,6.00000000,0.47000000,3.29999995,0.62709218,0.14242420,,
