"varname","simulation","year","month","biomass_tonnes_km2"
"Cop","ssp126",1990,2,7.29502917957048
"Cop","ssp126",1990,3,10.2728417592136
"Cop","ssp126",1990,4,28.0060208876281
"Cop","ssp126",1990,5,65.527024684873
"Cop","ssp126",1990,6,82.9339492426802
"Cop","ssp126",1990,7,81.0537158552228
"Cop","ssp126",1990,8,65.5764148420946
"Cop","ssp126",1990,9,50.8454583603008
"Cop","ssp126",1990,10,51.2376202265189
"Cop","ssp126",1990,11,38.1231557156996
"Cop","ssp126",1990,12,23.1636179980035
"Cop","ssp126",1991,1,15.1711020410595
"Cop","ssp126",1991,2,11.1772330475322
"Cop","ssp126",1991,3,12.4978532660385
"Cop","ssp126",1991,4,28.7366395065085
"Cop","ssp126",1991,5,66.301729751701
"Cop","ssp126",1991,6,95.3420292559017
"Cop","ssp126",1991,7,98.3620207677674
"Cop","ssp126",1991,8,69.102923617822
"Cop","ssp126",1991,9,59.2751770235152
"Cop","ssp126",1991,10,55.2180926428883
"Cop","ssp126",1991,11,37.4183706900693
"Cop","ssp126",1991,12,21.0769389535728
"Cop","ssp126",1992,1,12.8186147035296
"Cop","ssp126",1992,2,9.31143959646095
"Cop","ssp126",1992,3,10.9010703585071
"Cop","ssp126",1992,4,28.5097642121523
"Cop","ssp126",1992,5,76.9486993688925
"Cop","ssp126",1992,6,92.4411748548205
"Cop","ssp126",1992,7,78.4262519132116
"Cop","ssp126",1992,8,61.467195202359
"Cop","ssp126",1992,9,55.0973987574727
"Cop","ssp126",1992,10,53.9132967560981
"Cop","ssp126",1992,11,36.6618815550669
"Cop","ssp126",1992,12,20.3838973273682
"Cop","ssp126",1993,1,12.7419282818927
"Cop","ssp126",1993,2,9.85124658928675
"Cop","ssp126",1993,3,11.3867948351949
"Cop","ssp126",1993,4,26.6361539300834
"Cop","ssp126",1993,5,67.3066408870849
"Cop","ssp126",1993,6,90.777311088495
"Cop","ssp126",1993,7,84.0026762238581
"Cop","ssp126",1993,8,61.3804935713185
"Cop","ssp126",1993,9,53.2196916108996
"Cop","ssp126",1993,10,51.4246478041161
"Cop","ssp126",1993,11,35.2354051651397
"Cop","ssp126",1993,12,20.0018792611117
"Cop","ssp126",1994,1,13.7057917289885
"Cop","ssp126",1994,2,10.0887123439348
"Cop","ssp126",1994,3,12.4113343281814
"Cop","ssp126",1994,4,25.076343931294
"Cop","ssp126",1994,5,67.8874711450933
"Cop","ssp126",1994,6,96.383403218069
"Cop","ssp126",1994,7,86.004573305867
"Cop","ssp126",1994,8,62.3214686989055
"Cop","ssp126",1994,9,54.8171182201923
"Cop","ssp126",1994,10,55.3576826618969
"Cop","ssp126",1994,11,30.4611570053511
"Cop","ssp126",1994,12,18.7853135078977
"Cop","ssp126",1995,1,12.5593511114929
"Cop","ssp126",1995,2,9.35559803304502
"Cop","ssp126",1995,3,10.7215194892008
"Cop","ssp126",1995,4,21.247395757548
"Cop","ssp126",1995,5,58.2829134103505
"Cop","ssp126",1995,6,91.3881839902023
"Cop","ssp126",1995,7,90.9680403216985
"Cop","ssp126",1995,8,64.138517240874
"Cop","ssp126",1995,9,52.6780657382905
"Cop","ssp126",1995,10,46.0367570693418
"Cop","ssp126",1995,11,32.5268620486361
"Cop","ssp126",1995,12,20.9880297551463
"Cop","ssp126",1996,1,11.8027474042027
"Cop","ssp126",1996,2,7.90246974592456
"Cop","ssp126",1996,3,10.0778517908304
"Cop","ssp126",1996,4,27.5265563393055
"Cop","ssp126",1996,5,59.0267235820807
"Cop","ssp126",1996,6,74.0771837947221
"Cop","ssp126",1996,7,77.3689285839983
"Cop","ssp126",1996,8,58.6871555445686
"Cop","ssp126",1996,9,53.1316072498978
"Cop","ssp126",1996,10,52.5896430851196
"Cop","ssp126",1996,11,31.2709979901693
"Cop","ssp126",1996,12,18.7707654730745
"Cop","ssp126",1997,1,11.8146769010674
"Cop","ssp126",1997,2,8.03444336987139
"Cop","ssp126",1997,3,9.04146300714148
"Cop","ssp126",1997,4,20.2475516757041
"Cop","ssp126",1997,5,48.5792425489707
"Cop","ssp126",1997,6,70.6345153910756
"Cop","ssp126",1997,7,72.7435374475329
"Cop","ssp126",1997,8,51.6547364003184
"Cop","ssp126",1997,9,45.727189654845
"Cop","ssp126",1997,10,49.7730475918124
"Cop","ssp126",1997,11,31.1945043524996
"Cop","ssp126",1997,12,18.1615014740924
"Cop","ssp126",1998,1,11.200272133377
"Cop","ssp126",1998,2,7.78712061044601
"Cop","ssp126",1998,3,7.82346642051189
"Cop","ssp126",1998,4,17.3022268951426
"Cop","ssp126",1998,5,43.0741377263926
"Cop","ssp126",1998,6,64.5704098763015
"Cop","ssp126",1998,7,73.8718301325534
"Cop","ssp126",1998,8,57.6870343339313
"Cop","ssp126",1998,9,54.7124898083373
"Cop","ssp126",1998,10,46.0278559644492
"Cop","ssp126",1998,11,27.9983006999619
"Cop","ssp126",1998,12,16.5230865465814
"Cop","ssp126",1999,1,10.0742371211571
"Cop","ssp126",1999,2,7.62023487335738
"Cop","ssp126",1999,3,9.06909245993115
"Cop","ssp126",1999,4,16.895878997928
"Cop","ssp126",1999,5,42.6629895023406
"Cop","ssp126",1999,6,69.2327268283363
"Cop","ssp126",1999,7,83.0867773873238
"Cop","ssp126",1999,8,60.3270615659053
"Cop","ssp126",1999,9,51.9924370367931
"Cop","ssp126",1999,10,44.0656806344284
"Cop","ssp126",1999,11,29.9800939089356
"Cop","ssp126",1999,12,18.6542035823844
"Cop","ssp126",2000,1,11.4065879331039
"Cop","ssp126",2000,2,8.17230721842131
"Cop","ssp126",2000,3,8.74086430593446
"Cop","ssp126",2000,4,20.924496668281
"Cop","ssp126",2000,5,55.8920356670874
"Cop","ssp126",2000,6,73.2073467938132
"Cop","ssp126",2000,7,76.5822796003133
"Cop","ssp126",2000,8,62.7990169523626
"Cop","ssp126",2000,9,58.0001094224628
"Cop","ssp126",2000,10,47.1758646226489
"Cop","ssp126",2000,11,29.6960092141501
"Cop","ssp126",2000,12,17.8320140675557
"Cop","ssp126",2001,1,11.4144387500841
"Cop","ssp126",2001,2,8.46924959422948
"Cop","ssp126",2001,3,9.87620973168998
"Cop","ssp126",2001,4,23.4393710638227
"Cop","ssp126",2001,5,56.4327435164927
"Cop","ssp126",2001,6,86.0902024579978
"Cop","ssp126",2001,7,78.5758312031681
"Cop","ssp126",2001,8,58.2062983257252
"Cop","ssp126",2001,9,58.0842847569599
"Cop","ssp126",2001,10,45.2011235117533
"Cop","ssp126",2001,11,29.2116954350375
"Cop","ssp126",2001,12,17.9917751523498
"Cop","ssp126",2002,1,11.3459611812729
"Cop","ssp126",2002,2,8.09475414110928
"Cop","ssp126",2002,3,9.11059298238152
"Cop","ssp126",2002,4,22.1301865214673
"Cop","ssp126",2002,5,53.9707598230226
"Cop","ssp126",2002,6,84.0927965196294
"Cop","ssp126",2002,7,82.6803639921632
"Cop","ssp126",2002,8,59.0180770915178
"Cop","ssp126",2002,9,52.6282064673944
"Cop","ssp126",2002,10,50.2099690510692
"Cop","ssp126",2002,11,33.4154734201753
"Cop","ssp126",2002,12,19.6005109247935
"Cop","ssp126",2003,1,12.2370324874562
"Cop","ssp126",2003,2,8.00033106190523
"Cop","ssp126",2003,3,10.7650234109039
"Cop","ssp126",2003,4,23.206021063693
"Cop","ssp126",2003,5,58.1985666798567
"Cop","ssp126",2003,6,82.3038643127703
"Cop","ssp126",2003,7,79.7355854695721
"Cop","ssp126",2003,8,54.4825818067673
"Cop","ssp126",2003,9,56.4233144534518
"Cop","ssp126",2003,10,42.202683876672
"Cop","ssp126",2003,11,25.3564201619814
"Cop","ssp126",2003,12,14.1681562590875
"Cop","ssp126",2004,1,9.61152476134075
"Cop","ssp126",2004,2,7.20199593659266
"Cop","ssp126",2004,3,8.9937326434373
"Cop","ssp126",2004,4,23.5810711423129
"Cop","ssp126",2004,5,50.1200822636868
"Cop","ssp126",2004,6,72.9342406202723
"Cop","ssp126",2004,7,76.8824175545033
"Cop","ssp126",2004,8,56.6939288550298
"Cop","ssp126",2004,9,43.1848275356227
"Cop","ssp126",2004,10,36.2610241862525
"Cop","ssp126",2004,11,21.454042207895
"Cop","ssp126",2004,12,12.7179999154908
"Cop","ssp126",2005,1,8.70430910881848
"Cop","ssp126",2005,2,6.81931643021003
"Cop","ssp126",2005,3,8.44831811689552
"Cop","ssp126",2005,4,23.4961390430555
"Cop","ssp126",2005,5,55.9050818394002
"Cop","ssp126",2005,6,77.6849746510105
"Cop","ssp126",2005,7,74.2963771127825
"Cop","ssp126",2005,8,54.8729933460997
"Cop","ssp126",2005,9,45.3821096474928
"Cop","ssp126",2005,10,46.4881896202407
"Cop","ssp126",2005,11,29.9916052794638
"Cop","ssp126",2005,12,17.19965837058
"Cop","ssp126",2006,1,10.3781666656859
"Cop","ssp126",2006,2,7.46724854074736
"Cop","ssp126",2006,3,9.23353483401702
"Cop","ssp126",2006,4,20.8975669922742
"Cop","ssp126",2006,5,49.9660892176879
"Cop","ssp126",2006,6,81.5193959535438
"Cop","ssp126",2006,7,86.9302170198798
"Cop","ssp126",2006,8,62.47611349692
"Cop","ssp126",2006,9,53.4259816234684
"Cop","ssp126",2006,10,38.8434351995987
"Cop","ssp126",2006,11,29.851650315494
"Cop","ssp126",2006,12,19.518868347861
"Cop","ssp126",2007,1,12.2383651888056
"Cop","ssp126",2007,2,8.4595822786007
"Cop","ssp126",2007,3,9.61701617531614
"Cop","ssp126",2007,4,17.0526816949363
"Cop","ssp126",2007,5,46.1694588777719
"Cop","ssp126",2007,6,77.6057075135926
"Cop","ssp126",2007,7,96.0925295576577
"Cop","ssp126",2007,8,65.6727015811842
"Cop","ssp126",2007,9,48.8153899298778
"Cop","ssp126",2007,10,38.4988233554169
"Cop","ssp126",2007,11,25.8348366539254
"Cop","ssp126",2007,12,16.7691736249043
"Cop","ssp126",2008,1,10.730436216665
"Cop","ssp126",2008,2,7.99813895863283
"Cop","ssp126",2008,3,9.12174522986791
"Cop","ssp126",2008,4,23.2244457917831
"Cop","ssp126",2008,5,47.3032777762877
"Cop","ssp126",2008,6,77.1427861643017
"Cop","ssp126",2008,7,92.0651660970772
"Cop","ssp126",2008,8,72.8486320703287
"Cop","ssp126",2008,9,51.6085284665069
"Cop","ssp126",2008,10,46.0905321138787
"Cop","ssp126",2008,11,31.5205672416315
"Cop","ssp126",2008,12,18.8250054326221
"Cop","ssp126",2009,1,11.5208595603614
"Cop","ssp126",2009,2,8.37497266578933
"Cop","ssp126",2009,3,10.4929999615586
"Cop","ssp126",2009,4,20.9510319139606
"Cop","ssp126",2009,5,60.2444936869819
"Cop","ssp126",2009,6,84.7907614645312
"Cop","ssp126",2009,7,81.2461871158337
"Cop","ssp126",2009,8,62.5244091209699
"Cop","ssp126",2009,9,56.1133647392802
"Cop","ssp126",2009,10,43.2686833139733
"Cop","ssp126",2009,11,27.0527476021009
"Cop","ssp126",2009,12,16.4830201250352
"Cop","ssp126",2010,1,10.5974672375006
"Cop","ssp126",2010,2,7.76125308392233
"Cop","ssp126",2010,3,8.76421963980359
"Cop","ssp126",2010,4,18.628338087329
"Cop","ssp126",2010,5,51.5633513411321
"Cop","ssp126",2010,6,81.2253416803664
"Cop","ssp126",2010,7,87.7845524876602
"Cop","ssp126",2010,8,60.2794540017309
"Cop","ssp126",2010,9,54.2934338610358
"Cop","ssp126",2010,10,46.8845461771067
"Cop","ssp126",2010,11,32.9762699747737
"Cop","ssp126",2010,12,19.4291920367948
"Cop","ssp126",2011,1,11.9142350092922
"Cop","ssp126",2011,2,6.66381479027448
"Cop","ssp126",2011,3,6.27773433997594
"Cop","ssp126",2011,4,19.1158553649058
"Cop","ssp126",2011,5,44.8721135088935
"Cop","ssp126",2011,6,68.9354194944027
"Cop","ssp126",2011,7,77.1064782192157
"Cop","ssp126",2011,8,66.409586138468
"Cop","ssp126",2011,9,57.9559247891689
"Cop","ssp126",2011,10,49.8123763794596
"Cop","ssp126",2011,11,28.0029974791047
"Cop","ssp126",2011,12,16.4856930408852
"Cop","ssp126",2012,1,10.5156410892524
"Cop","ssp126",2012,2,8.1251445723301
"Cop","ssp126",2012,3,9.41973819516427
"Cop","ssp126",2012,4,22.5836319139541
"Cop","ssp126",2012,5,58.3807033144177
"Cop","ssp126",2012,6,91.1591319579686
"Cop","ssp126",2012,7,94.4468098495705
"Cop","ssp126",2012,8,70.535716845482
"Cop","ssp126",2012,9,55.0965920620363
"Cop","ssp126",2012,10,45.4635709468106
"Cop","ssp126",2012,11,32.3710707335999
"Cop","ssp126",2012,12,20.6603524245466
"Cop","ssp126",2013,1,12.9791443015863
"Cop","ssp126",2013,2,8.66577178001423
"Cop","ssp126",2013,3,9.99256541094439
"Cop","ssp126",2013,4,24.0577927690446
"Cop","ssp126",2013,5,48.2363016410197
"Cop","ssp126",2013,6,75.6331141546663
"Cop","ssp126",2013,7,77.9215441179457
"Cop","ssp126",2013,8,61.0586254698303
"Cop","ssp126",2013,9,54.7317070091529
"Cop","ssp126",2013,10,43.1181100410876
"Cop","ssp126",2013,11,28.1497535347342
"Cop","ssp126",2013,12,17.2260909618936
"Cop","ssp126",2014,1,9.61661883385672
"Cop","ssp126",2014,2,6.86080970323476
"Cop","ssp126",2014,3,9.74210776631224
"Cop","ssp126",2014,4,25.8266615578102
"Cop","ssp126",2014,5,60.2899005159456
"Cop","ssp126",2014,6,71.5023971462796
"Cop","ssp126",2014,7,75.0752329012896
"Cop","ssp126",2014,8,55.9623871044083
"Cop","ssp126",2014,9,48.3007224007519
"Cop","ssp126",2014,10,49.8446389225502
"Cop","ssp126",2014,11,29.8529591960534
"Cop","ssp126",2014,12,16.3094619491898
"Cop","ssp126",2015,1,9.89778304092318
"Cop","ssp126",2015,2,7.17406632637985
"Cop","ssp126",2015,3,9.68226260519597
