"from","to","V1","V2","V3","V4","V5","V6","V7"
"Outside","Outside",18320.3939797519,18320.3939797519,18320.3939797519,18320.3939797519,18320.3939797519,18320.3939797519,18320.3939797519
"Outside","lg_phytoplankton",18320.3939797519,18320.3939797519,18320.3939797519,18320.3939797519,18320.3939797519,18320.3939797519,18320.3939797519
"Outside","sm_phytoplankton",18320.3939797519,18320.3939797519,18320.3939797519,18320.3939797519,18320.3939797519,18320.3939797519,18320.3939797519
"toothed_whales","transient_killers",18320.309921718,18320.323214557,18320.3509932329,18320.3939797519,18320.4371063178,18320.4651252675,18320.4785749422
"gray_whales","transient_killers",18320.4134066215,18320.4103014323,18320.4038529347,18320.3939797519,18320.3841993389,18320.3779100503,18320.374908813
"baleen_whales","transient_killers",18320.3885591449,18320.389425401,18320.3912245519,18320.3939797519,18320.3967097215,18320.3984655735,18320.3993035586
"pinnipeds","transient_killers",18320.3664152206,18320.3708726868,18320.3800694576,18320.3939797519,18320.4075305906,18320.4161106305,18320.4201653074
"nf_seal_juv","transient_killers",18319.2232946365,18319.4101714896,18319.7985548333,18320.3939797519,18320.9847358368,18321.3651051746,18321.5467489619
"nf_seal_adu","transient_killers",18319.4625021439,18319.6086818534,18319.9155233925,18320.3939797519,18320.8784171006,18321.1955203684,18321.3483964631
"sharks","toothed_whales",18320.2925368191,18320.3098642289,18320.3445155656,18320.3939797519,18320.4385026086,18320.4646610548,18320.4764344293
"pollock_juv","toothed_whales",18320.6727159365,18320.6249483515,18320.5295020734,18320.3939797519,18320.2738625515,18320.2049028577,18320.1744759579
"pollock_adu","toothed_whales",18320.408018916,18320.4055151343,18320.4006254291,18320.3939797519,18320.3884560268,18320.3854949641,18320.3842527561
"pcod_juv","toothed_whales",18320.4464343548,18320.4351482008,18320.4151630422,18320.3939797519,18320.3849203255,18320.3857770026,18320.3881214929
"pcod_adu","toothed_whales",18320.5957008307,18320.5458316015,18320.4630331419,18320.3939797519,18320.4005354168,18320.4478937374,18320.4832701461
"herring","toothed_whales",18320.4369742921,18320.4302156207,18320.4160433923,18320.3939797519,18320.3716814132,18320.3571105232,18320.3500944054
"arrowtooth_juv","toothed_whales",18320.3692875284,18320.3715991881,18320.3783258209,18320.3939797519,18320.4164486824,18320.4349026064,18320.4448931407
