DIETS,transient_killers,toothed_whales,gray_whales,baleen_whales,pinnipeds,walrus_bd_seals,nf_seal_juv,nf_seal_adu,ice_seals,oth_birds,murres_puffins,kittiwakes,auklets,fulmars,albatross,sharks,pollock_juv,pollock_adu,pcod_juv,pcod_adu,herring,arrowtooth_juv,arrowtooth_adu,kamchatka,gr_turbot_juv,gr_turbot_adu,halibut_juv,halibut_adu,yf_sole,fh_sole,nr_sole,ak_plaice,oth_flatfish,skates,sablefish,eelpouts,deep_demersals,pac_ocean_perch,oth_rockfish,north_rockfish,shortraker_rock,rougheye_rock,atka,shallow_demersals,lg_sculpins,octopus,squids,salmon_returning,salmon_smolts,mycto_bathy,capelin,sandlance,oth_forage,bairdi,king_crabs,opilio,pandalid,ben_zooplankton,snails_sea_stars,herb_echinoderms,misc_crabs,structural_epifauna,infauna,jellyfish,pel_zooplankton,euphausiids,copepods,pelagic_microbes,benthic_microbes,lg_phytoplankton,sm_phytoplankton
transient_killers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toothed_whales,0.1958513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gray_whales,0.01874199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baleen_whales,0.02117085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinnipeds,0.4723759,,,,,0.000755652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
walrus_bd_seals,,,,,,0.000857252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nf_seal_juv,0.04379213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nf_seal_adu,0.2480678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandlance,,0.06693607,,0.07713553,0.03905118,0.02162784,0.1513982,0.1513982,0.007921844,0.2577403,0.1930816,0.2503767,0.02665894,0.03517297,0.1291254,,0.001360136,0.001698248,0.005789488,0.02392983,,,0.00041741,,,,,0.03441628,0.005779586,0.002766787,0.1229299,0.007351537,,0.02350918,,,,,,,,,,,0.009370397,,0.025,,,,,,,,,,,,,,,,,9.61521E-05,,,,,,,
oth_forage,,0.01632921,,0.008694715,0.01102871,0.01099852,0.004604835,0.004604835,0.05525402,0.1646441,0.1441686,0.1869491,0.01990547,0.02626267,0.09641432,,,0.000595844,0.003285663,0.007682641,,0.00424096,0.02705556,0.028868,,0.009589432,,0.002668237,0.000897381,0.00625908,0.000532814,0.000129135,0.006876156,0.002142731,0.2285689,0.01207434,,,,,,,,,0.05790868,,0.075,,,,,,,,,,,,,,,,,0.000288456,,,,,,,
bairdi,,0.000585837,,6.5062E-06,,0.000705648,,,,7.53928E-05,,,,,,,,0.000160954,0.0000039,0.04309497,,,,0.001186842,,1.6E-09,,0.02601829,0.002411727,0.005832421,3.31349E-05,,0.005314515,0.014971,,0.000682084,,,1.39873E-05,0.0000808,,,0.003630851,0.0215601,0.005477414,0.05,,,,,,,,,,,,,0.003604469,,,,,,,,,,,,
king_crabs,,,,3.7423E-06,,,,,,2.70205E-05,,,,,,,0.000000651,0.000002238,0.000171834,0.00970518,,,,,,0.00000126,,0.001824124,0.000128077,,,,,,,,,,,,,,,,0.01754265,,,,,,,,,,,,,,,,,,,,,,,,,,
opilio,,0.002496766,,2.77288E-05,0.01933115,0.01005384,,,,0.000276523,,,,,,,3.58E-08,0.0000298,0.001273192,0.07391741,,,3.7E-09,,,0.00000241,,0.03394224,0.005723659,0.007605067,0.000457871,0.006009945,1.17953E-05,0.02939193,,0.09333689,,,,,,,,,0.03866287,0.05,,,,,,,,,,,,,0.003604469,,,,,,,,,,,,
pandalid,,0.01111282,,0.000120304,0.06328512,0.01304783,,,0.06157578,0.000740259,,,,,,0.0025,0.000541083,0.03577532,0.009996153,0.05303508,,0.05432367,0.03865236,0.02359982,,0.00254596,,0.009580251,0.000139878,0.09870645,0.000463209,,0.08120219,0.001020005,0.001072188,,,,0.08551135,,0.8301918,0.00081891,,0.03288826,0.007460859,,,,,,,,,,,,,,0.003604469,,,,,,,,,,,,
ben_zooplankton,,0.04390467,0.9110553,0.00127466,0.119226,0.1649598,,,0.1207076,0.01013249,0.01176591,0.01090683,0.023268,0.000989985,,0.0025,0.1719598,0.0483655,0.8725743,0.1293546,2.41587E-05,0.4403129,0.02409574,0.06046476,0.006063134,0.005824744,0.9994716,0.005764515,0.2327972,0.2597287,0.1714741,0.1015543,0.4108694,0.08225363,0.004042845,0.347157,0.5,0.7131752,0.5455138,0.02303622,0.1317353,0.1783867,,0.5651843,0.3262298,,0.025,,,,,,,0.04287567,0.02451223,0.06915963,0.3,0.01059595,0.003604469,0.08309098,,0.25,0.1326576,,0.02120086,,,,,,
snails_sea_stars,,0.000982856,,1.09155E-05,0.000677627,0.004055878,,,0.000147079,,,,,,,0.0025,,0.00034169,0.0000471,0.006199454,,0.000221851,0.0000428,,,,,0.002407035,0.009994576,0.01586591,0.001247341,0.003505259,0.000376135,0.000783528,0.000393381,,,,,,,,,2.73E-08,0.001426571,0.4,,,,,,,,0.03757456,0.2039856,0.0489032,,,0.003604469,,,,,,,,,,,,
herb_echinoderms,,,,,0.01187273,0.00018257,,,,,,,,,,,0.000000475,0.000059605,0.000134802,0.000338794,,0.000048,0.0000899,2.45399E-05,0.00000108,0.000017944,,0.0001186,0.0722383,0.2258998,0.03157961,0.01682487,0.05068914,4.67147E-05,0.000194784,0.1822525,,,,,,,,0.000110849,0.000123308,,,,,,,,,0.09739206,0.1938153,0.07903861,,,0.02162681,,,,,,,,,,,,
misc_crabs,,0.000149862,,1.69872E-05,0.004510483,0.006159488,,,,7.58444E-05,,,,,,0.0025,0.000409895,0.001230697,0.007404269,0.08442089,,0.005477828,0.00017755,6.28956E-05,,0.002215166,0.000443331,0.05407848,0.02426032,0.01367478,0.005868944,0.000393821,0.000908602,0.06068842,7.5667E-06,0.007414882,,,0.001907874,0.01103183,,,,0.01189829,0.03863769,0.1,,,,,,,,0.0274211,0.03250222,0.06013035,,,0.003604469,,,,,,,,,,,,
structural_epifauna,,0.000539669,,,,0.001972768,,,,,,,,,,,,0.0001177,,0.000766392,,,1.5516E-06,,,,,0.0000207,0.005563041,0.001048277,0.000742188,0.000501276,8.046E-07,8.8135E-06,0.03872515,0.00171725,,,,,,,,0.02257098,0.00000678,,,,,,,,,0.01339114,0.05512733,0.01074562,,,,,,,,,,,,,,,
infauna,,0.1401439,0.08894467,0.000386962,0.08904549,0.5387637,,,0.02008954,0.002112864,,0.03746707,0.007091191,0.000804856,,,0.006664411,0.004769367,0.04314973,0.07242916,0.000254529,0.000213602,0.001065823,0.004415462,,1E-10,0.0000851,0.005678928,0.4835976,0.05912979,0.6487126,0.8622693,0.3192587,0.002914218,2.44805E-05,0.3149072,,0.000279276,0.01606842,,,,,0.01560463,0.12942,0.4,,,,,,,,0.6911657,0.3986758,0.5611314,0.1,0.003531983,0.8451039,,0.75,,,,,,,,,,
jellyfish,,,,,,,,,,,,,,,,,0.005773969,0.01454548,,0.000004961,,,0.000132818,,0.00000073,,,,0.006095854,0.000004857,0.000497102,0.000044877,,1.34294E-05,0.01156751,,,0.000123797,,,,,0.002117904,0.2394081,0.02480613,,0.04,,,,,,,,,,,,,,,,,0.004807605,0.02120086,,,,,,
pel_zooplankton,,,,0.02576841,,,,,0.01547971,0.00011205,0.003993608,0.002950006,0.03360485,0.001241179,,,0.05367106,0.02627745,0.000212504,0.00013701,0.000259065,0.000001066,0.000180693,,0.007590365,0.000179649,,0.0000617,0.004156243,0.002643483,0.000488883,0.000015395,0.004277213,,0.02586261,0.001079521,,0.001668536,0.008790382,0.06227879,,,,0.01050911,0.04571459,,0.165,0.4,0.25,,,,,,,,,,,,,,,0.004807605,0.04240172,,,,,,
euphausiids,,,,0.5773908,,,,,0.0558836,0.007215144,0.04221491,0.03118339,0.3552243,0.01312004,,,0.3289865,0.34964,0.03307759,0.02189747,0.9265444,0.2458857,0.09169548,0.03207086,0.9743532,0.01924843,,0.003377985,0.1240927,0.1240176,0.01151548,0.001129958,0.0164632,4.41605E-05,0.1293394,0.00018246,,0.2125694,0.1569033,0.04048762,0.01999422,0.1938486,0.9479903,0.004523594,0.009595368,,0.42,0.2,0.25,0.9,0.9,0.9,0.9,,,0.000603733,0.2,0.007063967,,,,,,0.06153734,0.02120086,,,,,,
copepods,,,,0.1442799,,,,,,0.01060861,0.06206967,0.04584975,0.5222954,0.01929073,,,0.4192171,0.3642263,0.006113008,0.0000552,0.07291784,0.000313507,0.00000909,,,,,,0.000696236,0.000909373,9.18193E-05,0.00000781,0.002937412,,0.03872515,,,0.0510379,0.1171597,0.8094074,,0.003899726,0.04626096,0.01149854,0.0000277,,0.2,0.2,0.5,0.1,0.1,0.1,0.1,,,,,0.006189546,,,,,,0.2403848,0.25,0.25,,,,,
pelagic_microbes,,,,,,,,,,,,,,,,,,0.00000317,0.0000352,0.000000805,,,,,,,,,0.000356538,0.000018646,0.000275631,0.000142786,,,,0.00065419,,,,,,,,0.000221698,,,,,,,,,,,,,,0.003713728,,,,,,0.1403848,0.15,0.15,0.5,,,,
benthic_microbes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.469961,,,,0.15,0.3142793,,,,,,,,
lg_phytoplankton,,,,,,,,,,,,,,,,,,,,0.000023955,,,,,,,,0.00000139,,,1.98E-08,,,,,,,,,,,,,,,,,,,,,,,,0.02492626,0.004452738,,0.01237909,0.05582124,0.04227255,,,,0.4567316,0.3939957,0.5,0.25,,,,
sm_phytoplankton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002475818,,,,,,0.09038479,0.1,0.1,0.25,0.7,,,
discards_offal,,,,,,,,,,0.001751634,,,,,,0.1,,0.01128911,0.00000641,0.07252564,,,0.04751005,0.002912738,,0.000272089,,0.0174298,0.009574498,0.03152885,4.5397E-06,0.00000856,,0.1244852,0.02907516,0.00062444,,,,,,,,,0.008015923,,,,,,,,,0.01250524,0.006281157,0.01180703,,,,,,,,,,,,,,,
pelagic_detritus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,
benthic_detritus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07767446,0.06017417,0.1540276,0.4,0.4840889,0.05582124,0.8746365,0.25,0.6,0.5530631,,,,,,1,,
import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
