"varname","simulation","year","month","biomass_tonnes_km2","month_mean_mtkm2","anomaly_ratio_mtkm2"
"Cop","ssp126",1980,1,7.88826859550394,7.78757935088862,1.01292946627938
"Cop","ssp126",1980,2,4.64607847611629,5.35102954950402,0.868258796393104
"Cop","ssp126",1980,3,7.24810106306148,9.40228267215611,0.77088738084061
"Cop","ssp126",1980,4,18.2442736082781,19.758065629,0.923383591838056
"Cop","ssp126",1980,5,33.797536421428,33.7491827684206,1.00143273552249
"Cop","ssp126",1980,6,51.6523046718106,46.2709454817931,1.11630104234924
"Cop","ssp126",1980,7,58.7684241821781,45.7268311853054,1.28520657694434
"Cop","ssp126",1980,8,41.4177617495349,33.6052837588347,1.23247766770148
"Cop","ssp126",1980,9,35.8733843511293,29.9114072259495,1.19932118472873
"Cop","ssp126",1980,10,36.8904383302468,29.0682004444787,1.26909948900032
"Cop","ssp126",1980,11,25.2708466364438,21.4058478289769,1.18055808106021
"Cop","ssp126",1980,12,16.5073995835078,12.8619721197416,1.28342678944008
"Cop","ssp126",1981,1,10.395161321919,7.78757935088862,1.33483857480474
"Cop","ssp126",1981,2,7.62690354514079,5.35102954950402,1.42531516123803
"Cop","ssp126",1981,3,15.2779365906681,9.40228267215611,1.62491781234276
"Cop","ssp126",1981,4,20.9036185794796,19.758065629,1.05797900320759
"Cop","ssp126",1981,5,32.1112398453648,33.7491827684206,0.951467182648688
"Cop","ssp126",1981,6,43.8757057025278,46.2709454817931,0.948234475126344
"Cop","ssp126",1981,7,48.9563430813392,45.7268311853054,1.07062619062638
"Cop","ssp126",1981,8,35.0088949766296,33.6052837588347,1.0417675752381
"Cop","ssp126",1981,9,28.7644515276772,29.9114072259495,0.961654906784952
"Cop","ssp126",1981,10,27.5159867363887,29.0682004444787,0.946600969982481
"Cop","ssp126",1981,11,23.1622350656116,21.4058478289769,1.08205174822635
"Cop","ssp126",1981,12,15.4616861294044,12.8619721197416,1.20212405885039
"Cop","ssp126",1982,1,9.74327580307598,7.78757935088862,1.25113021185
"Cop","ssp126",1982,2,9.02438873603413,5.35102954950402,1.6864770886699
"Cop","ssp126",1982,3,19.8633700841005,9.40228267215611,2.11261145582485
"Cop","ssp126",1982,4,22.3309713598616,19.758065629,1.13022052761507
"Cop","ssp126",1982,5,33.6311841744853,33.7491827684206,0.996503660703581
"Cop","ssp126",1982,6,41.7227044328563,46.2709454817931,0.901704168748261
"Cop","ssp126",1982,7,45.6169689947,45.7268311853054,0.997597423924694
"Cop","ssp126",1982,8,39.4842636924707,33.6052837588347,1.17494213040503
"Cop","ssp126",1982,9,35.3677940815057,29.9114072259495,1.1824182598411
"Cop","ssp126",1982,10,32.7421423080282,29.0682004444787,1.12639041314466
"Cop","ssp126",1982,11,23.8287994439254,21.4058478289769,1.11319110713609
"Cop","ssp126",1982,12,14.1838849565447,12.8619721197416,1.10277683892458
"Cop","ssp126",1983,1,7.88333001770769,7.78757935088862,1.01229530544792
"Cop","ssp126",1983,2,5.04105095973906,5.35102954950402,0.942071224444334
"Cop","ssp126",1983,3,6.0795188436641,9.40228267215611,0.646600305016139
"Cop","ssp126",1983,4,19.6712345009809,19.758065629,0.995605281931462
"Cop","ssp126",1983,5,29.6558183104476,33.7491827684206,0.878712190275518
"Cop","ssp126",1983,6,40.1371853237857,46.2709454817931,0.867438192711646
"Cop","ssp126",1983,7,46.1091711111104,45.7268311853054,1.00836139124217
"Cop","ssp126",1983,8,34.1475595935506,33.6052837588347,1.01613662418706
"Cop","ssp126",1983,9,32.707589493116,29.9114072259495,1.09348213696682
"Cop","ssp126",1983,10,30.7671038658716,29.0682004444787,1.05844542817977
"Cop","ssp126",1983,11,25.4243807398738,21.4058478289769,1.18773061188714
"Cop","ssp126",1983,12,14.0691876075936,12.8619721197416,1.09385928352302
"Cop","ssp126",1984,1,8.44094187211399,7.78757935088862,1.08389802424945
"Cop","ssp126",1984,2,6.46663838466861,5.35102954950402,1.20848489526058
"Cop","ssp126",1984,3,14.4370063432837,9.40228267215611,1.53547886685404
"Cop","ssp126",1984,4,20.1656219861289,19.758065629,1.0206273409949
"Cop","ssp126",1984,5,30.9576578940581,33.7491827684206,0.9172861490153
"Cop","ssp126",1984,6,42.6237062284395,46.2709454817931,0.921176470128781
"Cop","ssp126",1984,7,49.0216327999275,45.7268311853054,1.07205401138054
"Cop","ssp126",1984,8,34.4352849691747,33.6052837588347,1.02469853301333
"Cop","ssp126",1984,9,30.1610465719772,29.9114072259495,1.00834595791973
"Cop","ssp126",1984,10,29.2541169327963,29.0682004444787,1.00639587196575
"Cop","ssp126",1984,11,21.4596129274605,21.4058478289769,1.00251170142445
