"year","Species","totB","SSB","Catch","Climate","Frate","Region","Model","Scenario"
2011,"ATF",1557071.61028742,592792.103233455,30911.821764055,"persistence","F0","WGOA","Rpath","base"
2012,"POL",3133568.47204365,1833854.71164897,98934.691224094,"persistence","F0","WGOA","Rpath","base"
2012,"COD",216652.39880077,64116.8215124414,76871.109994854,"persistence","F0","WGOA","Rpath","base"
2012,"ATF",1567597.98995377,595605.767059271,20761.909908427,"persistence","F0","WGOA","Rpath","base"
2013,"POL",3129803.3271359,1832301.64727678,90796.631609659,"persistence","F0","WGOA","Rpath","base"
2013,"COD",207097.746004189,61173.0549874287,66829.781618954,"persistence","F0","WGOA","Rpath","base"
2013,"ATF",1575636.64297929,596480.791969859,21809.3123161,"persistence","F0","WGOA","Rpath","base"
2014,"POL",3087331.43236134,1803398.13573914,138948.061996125,"persistence","F0","WGOA","Rpath","base"
2014,"COD",180191.44732662,54326.1747660013,83491.72820457,"persistence","F0","WGOA","Rpath","base"
2014,"ATF",1567912.16262094,590069.752717628,36524.501530691,"persistence","F0","WGOA","Rpath","base"
2015,"POL",3045526.28555765,1775739.07919012,162807.64603073,"persistence","F0","WGOA","Rpath","base"
2015,"COD",157932.722055918,48934.4411406065,77689.992014231,"persistence","F0","WGOA","Rpath","base"
2015,"ATF",1577268.81804826,588791.535950363,19296.587221708,"persistence","F0","WGOA","Rpath","base"
2016,"POL",3007798.29217938,1753763.79832681,173086.352394527,"persistence","F0","WGOA","Rpath","base"
2016,"COD",147656.615382295,47339.0097704077,62867.327429592,"persistence","F0","WGOA","Rpath","base"
2016,"ATF",1586289.94323646,586210.878732567,19976.294186812,"persistence","F0","WGOA","Rpath","base"
2017,"POL",2976739.35759481,1738811.22499638,184220.028529305,"persistence","F0","WGOA","Rpath","base"
2017,"COD",147736.144697943,50239.6743054142,48204.214674581,"persistence","F0","WGOA","Rpath","base"
2017,"ATF",1591593.27599985,581990.660087748,27053.508990172,"persistence","F0","WGOA","Rpath","base"
2018,"POL",2968841.33230651,1740812.46211736,150815.192171791,"persistence","F0","WGOA","Rpath","base"
2018,"COD",174522.229212124,61112.9039308985,14681.29819652,"persistence","F0","WGOA","Rpath","base"
2018,"ATF",1607270.2111573,582229.748408732,18870.25094355,"persistence","F0","WGOA","Rpath","base"
2019,"POL",2976191.20523764,1750709.51749398,110649.271555557,"persistence","F0","WGOA","Rpath","base"
2019,"COD",197788.813002527,66355.8766877763,15200.420583165,"persistence","F0","WGOA","Rpath","base"
2019,"ATF",1614692.32773615,580069.536802079,24567.051964421,"persistence","F0","WGOA","Rpath","base"
2020,"POL",2989800.23372154,1764764.17925614,99971.064888454,"persistence","F0","WGOA","Rpath","base"
2020,"COD",228117.246163443,75554.157695705,6085.249338733,"persistence","F0","WGOA","Rpath","base"
2020,"ATF",1626337.87888343,581528.262199006,21115.899302007,"persistence","F0","WGOA","Rpath","base"
2021,"POL",2995471.3546608,1772438.50533179,93869.858770329,"persistence","F0","WGOA","Rpath","base"
2021,"COD",246074.372704438,80181.0093527916,18686.812307248,"persistence","F0","WGOA","Rpath","base"
2021,"ATF",1646164.5108165,588168.300651634,9846.300133144,"persistence","F0","WGOA","Rpath","base"
2022,"POL",2974120.54637082,1761962.33876902,123494.034078862,"persistence","F0","WGOA","Rpath","base"
2022,"COD",260979.527182403,80696.1334094475,25387.705315903,"persistence","F0","WGOA","Rpath","base"
2022,"ATF",1660853.23878419,595237.30180729,11531.831681252,"persistence","F0","WGOA","Rpath","base"
2023,"POL",2954851.4251591,1752685.58953514,124964.845430032,"persistence","F0","WGOA","Rpath","base"
2023,"COD",281428.087578789,80437.5383892256,21018.296907485,"persistence","F0","WGOA","Rpath","base"
2023,"ATF",1673786.77105883,603767.515260688,9114.887408711,"persistence","F0","WGOA","Rpath","base"
2024,"POL",3027028.35631,1805008.94036254,0,"persistence","F0","WGOA","Rpath","base"
2024,"COD",318578.534465951,85647.4554465362,0,"persistence","F0","WGOA","Rpath","base"
2024,"ATF",1692346.58774087,615925.943545487,0,"persistence","F0","WGOA","Rpath","base"
2025,"POL",3068557.401258,1833252.36666854,0,"persistence","F0","WGOA","Rpath","base"
2025,"COD",349935.24311271,89592.9910891047,0,"persistence","F0","WGOA","Rpath","base"
2025,"ATF",1707692.8545646,627451.87178386,0,"persistence","F0","WGOA","Rpath","base"
2026,"POL",3097588.97780897,1852722.44320427,0,"persistence","F0","WGOA","Rpath","base"
2026,"COD",376995.838863023,94557.9193395354,0,"persistence","F0","WGOA","Rpath","base"
2026,"ATF",1720938.16202722,638088.365606934,0,"persistence","F0","WGOA","Rpath","base"
2027,"POL",3117209.92725462,1865125.83877122,0,"persistence","F0","WGOA","Rpath","base"
2027,"COD",400357.926571329,100868.647158978,0,"persistence","F0","WGOA","Rpath","base"
2027,"ATF",1731484.86836131,646680.372023669,0,"persistence","F0","WGOA","Rpath","base"
2028,"POL",3130108.19121412,1873207.3101505,0,"persistence","F0","WGOA","Rpath","base"
2028,"COD",420459.310992738,107598.081399179,0,"persistence","F0","WGOA","Rpath","base"
2028,"ATF",1739505.20209643,652927.280124416,0,"persistence","F0","WGOA","Rpath","base"
2029,"POL",3138679.44574954,1878931.31001819,0,"persistence","F0","WGOA","Rpath","base"
2029,"COD",437738.283646009,113727.903078503,0,"persistence","F0","WGOA","Rpath","base"
2029,"ATF",1745554.15246428,657061.494130494,0,"persistence","F0","WGOA","Rpath","base"
2030,"POL",3144504.9976152,1883372.03209908,0,"persistence","F0","WGOA","Rpath","base"
2030,"COD",452631.906638656,118853.193274221,0,"persistence","F0","WGOA","Rpath","base"
2030,"ATF",1750274.74343932,659326.084141001,0,"persistence","F0","WGOA","Rpath","base"
2031,"POL",3148589.31356843,1887019.23202229,0,"persistence","F0","WGOA","Rpath","base"
2031,"COD",465594.360462529,122853.427027821,0,"persistence","F0","WGOA","Rpath","base"
2031,"ATF",1754190.20946573,660076.721436302,0,"persistence","F0","WGOA","Rpath","base"
