Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Disc.offal,PelDetFate,BenthDetFate,F_Trawl,F_Codpot,F_Longline,F_Halibut,F_Crabpot,F_Salmon,F_Herring,F_Indigenous,F_Subsistence,Disc_Trawl,Disc_Codpot,Disc_Longline,Disc_Halibut,Disc_Crabpot,Disc_Salmon,Disc_Herring,Disc_Indigenous,Disc_Subsistence
deep_demersals,0,0.9009857,0.1504193,2,,,0,0.2,,0.02,0.392,0.588,2.99E-05,1.77E-08,0.00000378,0,0,0,0,0,0,0.000766008,0.00000648,0.003177086,0,0,0,0,0,0
pac_ocean_perch,0,0.15215,0.1,2,,,0,0.2,,0.02,0.392,0.588,0.007711923,3.84E-08,0.000006348,0,0,0,0,0,0,0.001810015,7.20E-09,8.31E-06,0.00000362,0,0,0,0,0
oth_rockfish,0,0.04434997,0.1364036,0.907891,,,0,0.2,,0.02,0.392,0.588,0.000290173,9.25E-07,0.000209842,0,0,0,0,0,0,0.000284888,1.43E-06,9.95E-05,0.00001448,0,0,0,0,0
north_rockfish,0,0.02221824,0.1,2,,,0,0.2,,0.02,0.392,0.588,0.001246766,1.72E-08,0.00003879,0,0,0,0,0,0,0.000370412,0.000000142,1.94E-05,0.00000362,0,0,0,0,0
shortraker_rock,0,0.01066,0.1,2,,,0,0.2,,0.02,0.392,0.588,0.000206501,7.00E-10,0.00001986,0,0,0,0,0,0,2.30E-09,0,0.000000001,0.00000362,0,0,0,0,0
rougheye_rock,0,0.0028,0.1,2,,,0,0.2,,0.02,0.392,0.588,0.00012995,0,0.00001174,0,0,0,0,0,0,1.60E-09,0,7.00E-10,0.00000362,0,0,0,0,0
atka,0,0.1436651,0.7471971,7.324665,,,0,0.2,,0.02,0.392,0.588,0.00188527,8.98E-08,0.000000153,0,0,0,0,0,0,0.002532111,0.0000749,0.000279042,0,0,0,0,0,0
shallow_demersals,0,1.969422,0.4,2,,,0,0.2,,0.02,0.392,0.588,1.04E-05,9.70E-09,7.72E-08,0,0,0,0,0,0,3.31E-05,5.54E-08,1.40E-07,0,0,0,0,0,0
lg_sculpins,0,0.51568,0.4,2,,,0,0.2,,0.02,0.392,0.588,0.00052181,0.00000197,8.94E-06,0,0,0,0,0,0,0.006943149,0.000348927,0.001412607,0.0000223,0,0,0,0,0
octopus,0,0.1426248,0.8,3.65,,,0,0.2,,0.02,0.392,0.588,0.000031804,0.0000397,2.77E-06,0,0,0,0,0,0,0.000120798,0.0000625,2.91E-05,0,0,0,0,0,0
squids,0,0.7315761,3.2,10.67,,,0,0.2,,0.02,0.392,0.588,0.000422631,0,0,0,0,0,0,0,0,0.000812822,0.000000159,1.83E-08,0,0,0,0,0,0
salmon_returning,0,0.16377,1.65,11.6,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0.1571264,0,0,0.00000187,0.000464037,0,7.42E-07,0,0,0.000157127,0,0,0.00000187
salmon_smolts,0,0.000505633,1.28,13.56,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mycto_bathy,0,0.8532137,0.8,3.65,,,0,0.2,,0.02,0.392,0.588,0.000000216,0,0,0,0,0,0,0,0,1.86E-07,0.000000001,0,0,0,0,0,0,0
capelin,0,0.9046279,0.8,3.65,,,0,0.2,,0.02,0.392,0.588,1.15E-08,0,0,0,0,0,0,0,0,4.00E-10,0,0,0,0,0,0,0,0
sandlance,0,2.335744,0.8,3.65,,,0,0.2,,0.02,0.392,0.588,4.00E-10,0,0,0,0,0,0,0,0,4.12E-08,0,0,0,0,0,0,0,0
oth_forage,0,1.628465,0.8,3.65,,,0,0.2,,0.02,0.392,0.588,5.55E-05,0,0,0,0,0,0,0,0,5.39E-05,0,9.50E-09,0,0,0,0,0,0
bairdi,0,0.35824,1.601436,3.092486,,,0,0.2,,0,0.1,0.9,0,0,0,0,0.04405704,0,0,0,0,0.001631755,0.000117323,4.23E-06,0,0.000044,0,0,0,0
