"tstep","year","mo","cop","eup","mzl","phl","phs","temp_b5","temp_s5"
1,1970,1,0.294116786731764,0.20478890727033,0.913313985193033,0.665030863298553,0.901312248915545,1.02602534074236,1.21522237867821
2,1970,2,0.49362465917624,0.529800909921881,0.534190653547654,0.549976144032706,0.774176599997851,0.991748541089712,1.22702969218263
3,1970,3,0.269519654183274,0.295745307011432,0.564503454266101,1.29106207854261,0.910745564803215,1.21200402807987,1.5504917523054
4,1970,4,0.341327277390986,0.344582867786143,1.01695276062209,1.8140823186898,0.840381448410605,0.998842433182685,0.887710163540803
5,1970,5,0.913162668871967,0.903565395995971,1.17886158196676,1.24000425276452,0.770024058135402,0.951741325392955,1.05550103706757
6,1970,6,1.02378914481375,1.04988294203459,1.05501828532568,1.16327721738932,0.97262899510722,0.967760485409805,1.00943577856273
7,1970,7,1.09021534513027,1.09562397741813,1.08361755861801,1.43082009832337,1.14295265132829,0.988656414578206,0.938751152550309
8,1970,8,1.21909372556522,1.21083978519465,1.30146625996527,1.82901521117075,1.50023370176951,1.03380211219476,0.896893830099451
9,1970,9,1.27502196799663,1.26145994666538,1.26520966601145,1.4733069000383,1.27484278911888,1.04798895926028,0.985230871480165
10,1970,10,1.22777827749054,1.22507372629212,1.20560006996256,1.19432787024853,0.913507811114164,1.07782161323286,1.05258805965253
11,1970,11,0.983556182828939,0.984867478459008,1.05525875109631,0.930767417457628,0.531220817827142,1.21390714636551,1.18104384379824
12,1970,12,0.300645976985413,0.302303580618954,0.523798757765592,0.573708717123042,0.488890443022915,1.26462777893496,1.3803323756154
13,1971,1,0.228624308936077,0.130260495662887,0.529736875632353,0.704751569436463,0.871031083714129,1.00423994584444,1.22731328678383
14,1971,2,0.499010793876143,0.402649928032492,0.265164194693276,0.599058465329327,0.760563511380781,0.556225177252661,0.54548409899439
15,1971,3,0.379044649244356,0.341523955409356,0.193578297607394,0.630211251159964,0.566568606673662,0.179343753887612,-0.101059574989207
16,1971,4,0.512721435416662,0.449416738314238,0.380799877161559,0.648282469382212,0.412523287320865,0.224108222942411,-0.013027618368382
17,1971,5,0.645235557571751,0.607996881491082,0.516878607661505,0.743212572607958,0.4699271068291,0.306084362812633,0.155754877792136
18,1971,6,0.802632136122658,0.813099316290855,0.716411449553071,1.28261735479604,0.909857032121152,0.535004623289386,0.538130244994391
19,1971,7,1.14047648111209,1.11273409326755,1.08876099863871,2.08144137391039,1.19676014825361,0.628400177261953,0.790242499342645
20,1971,8,1.30903576405614,1.30208794685946,1.19950616407369,1.9655499033994,1.17110915716854,0.732047468479511,0.896045457819248
21,1971,9,1.41007219388009,1.42228672159008,1.23000628451577,1.78402267052859,1.31197059813128,0.810870365334715,0.890298418435478
22,1971,10,1.29356611907489,1.2989362154531,1.13371652971183,1.12047107883277,1.04438732574104,0.882909500858276,0.887299910802231
23,1971,11,0.983396821123024,1.01116848977388,0.933949595552177,0.796875843999972,0.59105170399555,0.936566332115836,0.897652680332702
24,1971,12,0.620079276649409,0.657187399185472,0.645749289929373,0.645879846461689,0.518336040780288,0.896443279726551,0.85074721561902
25,1972,1,0.353873993375106,0.310786553775422,0.601949685796123,0.765649123723543,0.841647032681297,0.829267062495717,0.869242827308342
26,1972,2,0.467765426080862,0.463025001983483,0.262528613516558,0.623177027301697,0.803252664175304,0.581197860275411,0.603743497167724
27,1972,3,0.330150187368191,0.319058775839739,0.203783440594763,0.869419007436731,0.763751615024431,0.34177259053447,-0.0868537286658744
28,1972,4,0.693308284913785,0.651533197868279,0.553159858224143,1.29200633760625,0.504678668312373,0.171037852159069,-0.164625894130678
29,1972,5,0.880961348548223,0.849904335066952,0.752198610872654,1.23547631956963,0.34531229142943,0.303678747344958,0.472644239520845
30,1972,6,0.933791247128482,0.932600272533246,0.865431547028032,1.574075257204,0.53850792490355,0.498516130907609,0.68571706976831
31,1972,7,1.0848977408642,1.09038010277042,1.05378449304742,1.73437604078295,0.666657062966385,0.62354935065458,0.943147517147254
32,1972,8,1.15261375971336,1.1590972693668,1.08325160434184,1.47473207527406,0.686129335149121,0.694538527325533,0.983220431853639
33,1972,9,1.11657935127394,1.13669807890953,0.983203551354571,1.07112165949231,0.665506060050326,0.736501150035975,0.997200555913068
34,1972,10,1.18162473886746,1.19469501791558,1.07720828424506,1.10002815261177,0.794695532782073,0.807965172876331,0.887900424440607
35,1972,11,1.05842909386034,1.09154950992404,1.03027342153071,0.960844747388788,0.706170775687131,0.939202714827638,0.975225331867546
36,1972,12,0.75107021627413,0.789652867750937,0.711604615748446,0.55341167669409,0.528726042446783,1.01353969730256,1.04258299077939
37,1973,1,0.369928583570763,0.252431531230838,0.727373080931517,0.692515007292862,1.07191447100197,0.729609985908659,0.821695628902884
38,1973,2,0.675608175591656,0.651268047465149,0.514502805862467,0.60363910296562,1.13878007069076,0.617014723294231,0.729230608412578
