"tstep","mo","year","bt","phl","phs","phl_anom","phs_anom","phl_anom_9121","phs_anom_9121","phl_anom_91","phs_anom_91","phl_anom_8101","phs_anom_8101","phl_anom_8696","phs_anom_8696","phl_anom_7605","phs_anom_7605"
1,1,1970,0.762514945958912,1.50965938078569,0.237608657065616,0.634056682323687,0.54019986057788,0.4773050340731,0.495924172598491,1.37212103835571,0.617263154659899,0.805849665099076,0.529991827562555,0.888759651716875,0.526920608878026,0.75747409999619,0.526950916252049
2,2,1970,0.518335348442843,4.5587362354267,0.858572070256725,0.608753045760651,0.612002598627193,0.449383658550805,0.602354846046144,1.72417988018629,1.00240787672341,0.741324449433293,0.568683411084429,0.774912005197011,0.564461506048008,0.675603023053071,0.548610906383133
3,3,1970,0.598040979312658,51.1682365487102,5.69120952199542,1.27645414866519,0.844978736560961,1.01663990635631,0.914327114185433,2.42838370733304,0.8962049002191,1.39163618833553,0.735671350025631,1.46604435516308,0.719972879180388,1.3033867193469,0.713317344460975
4,4,1970,0.608936801996943,351.731736883022,25.2431114229649,1.28910680105922,0.626374253325588,1.1823459525521,0.681375832806801,1.1888509418819,0.431295168550498,1.20973198264885,0.522378805261535,1.1702022395421,0.475899903992022,1.22606133499194,0.510148466648562
5,5,1970,1.17435232304189,800.126918550411,129.251330910114,0.992238916030401,0.733394974396212,0.961388221246588,0.736690622392446,1.05616527294558,0.755575598172377,1.00304203553007,0.678207056391852,1.07786884429689,0.655053430355137,0.978883572716447,0.6578938137616
6,6,1970,1.96280314626033,790.489010647201,219.992434093983,1.63106204509397,0.939910885404774,1.57002944896844,0.917143741475751,2.24820081828368,1.30373346820647,1.84313692467517,0.954910092930618,2.06345646287604,0.982755909063397,1.85213609655388,0.926856794610135
7,7,1970,2.58770933261645,410.696414413145,311.219887706764,1.66780972164109,1.15308731767792,1.63601847809343,1.10210899224782,1.89261145916057,1.98309516830512,1.82881486756484,1.21109744344061,1.9015092281177,1.34668182459217,1.76287407715226,1.15789302599492
8,8,1970,3.1853694169656,363.976144533962,324.155487217088,2.07187453701038,1.35744131428785,2.04441635400816,1.26257074681769,2.21680446847286,2.99785967383128,2.04453173630164,1.61577307711016,1.96861965418694,2.1812550479686,2.01535024193316,1.51926486182963
9,9,1970,3.49531907501387,364.167840020467,155.992375259201,1.6039991807749,1.1561556790845,1.69249616805605,1.05171231911748,2.05367415046855,2.25245198762287,1.51870611401137,1.48179208237304,1.48401233722921,1.88596783596968,1.50555091492868,1.38707498405803
10,10,1970,3.49547989301207,323.681879409192,81.9312270843904,1.49818823263704,1.42126859529251,1.52583108221894,1.25588191834901,1.01685980888948,2.38279982825599,1.46367054597576,1.89872922820008,1.37288063339565,2.22766728497278,1.47062563408798,1.88551725538632
11,11,1970,3.34138926663884,75.0369759742946,16.2011343069213,1.39163161867654,1.40099799057664,1.26631902202891,1.18526910558517,1.09511054472598,2.23266123646806,1.63194583756321,2.52621422572065,1.8116881603949,2.75849136465206,1.67208014760898,2.71882657163468
12,12,1970,2.50832982323033,1.23583893728881,0.0924784568275213,0.259049999643427,0.0854673580078232,0.20343092331713,0.0715701730250321,0.584628277672979,0.245393139058247,0.500043949250146,0.22397075815027,0.722791060483353,0.253465899959708,0.449276478108861,0.204642199091042
13,1,1971,1.18656555479395,1.23674276984134,0.280749677883143,0.519431752297196,0.638280350230999,0.391017707313265,0.585965820567901,1.12406864431264,0.729335513192363,0.660167955483882,0.626218912671164,0.728089453407367,0.622590073271799,0.620537737476131,0.622625883353803
14,2,1971,0.219757997718001,6.09566903007017,0.936638339472242,0.813988109065659,0.667649365253017,0.600888910562593,0.657124383984466,2.30547005905857,1.09355251778382,0.991254649156373,0.620391350121906,1.03616591686113,0.615785565401306,0.903375894451352,0.598493738816138
15,3,1971,-0.203333086130116,31.7299456021505,2.72347708228255,0.791542242465783,0.40435696755599,0.630428779677659,0.437543009367275,1.50586551603112,0.428870787016863,0.862967800577515,0.35204890175686,0.909109064084739,0.344536539857572,0.808243404364207,0.341351593633294
16,4,1971,-0.0989957537638697,191.840560469692,11.7098117771454,0.703101100321636,0.290563412948369,0.64487189076743,0.316077626801767,0.648419824229268,0.200069839232416,0.659808704287184,0.242321851038449,0.638248500081489,0.220761149730472,0.668715014912906,0.236648423514837
17,5,1971,0.223495214325446,540.415940758833,93.5344552300451,0.670170837691058,0.530731087375092,0.649333884380122,0.533116027149307,0.713347515678834,0.546782392587639,0.677467402588685,0.490793611996923,0.728006384987835,0.474038180677996,0.661150468229869,0.476093662139558
18,6,1971,1.11554668001706,784.793033954775,238.140470476335,1.61930920442494,1.01744781077561,1.55871638701907,0.992802516090872,2.23200109976975,1.41128354151396,1.82985594945288,1.03368436159922,2.04858794508506,1.06382728802289,1.83879027656767,1.00331683697063
19,7,1971,1.83652336653693,477.706719831358,255.924108897578,1.93993393530469,0.948213324130074,1.90295554897956,0.906292537496158,2.20141491462191,1.63075010259554,2.12720910361875,0.995916540824383,2.21176446692662,1.10741106060693,2.05050924068935,0.952165181537754
20,8,1971,2.54859339073256,319.427734154023,297.745037108952,1.81829001363821,1.24684427823733,1.79419254100957,1.15970325565444,1.94548142525512,2.75361015016399,1.79429380122984,1.484128554892,1.72767288458745,2.00353808839446,1.7686839397998,1.39548331125688
21,9,1971,3.01439810729484,370.146615497131,216.049658644001,1.63033305739088,1.60127723800908,1.72028295610233,1.45662303788543,2.08739062759402,3.11964916380886,1.54363968000171,2.05228411354161,1.50837631337931,2.6120680994681,1.53026850363322,1.92110079945523
