"tstep","year","month","btemp","stemp"
676,2036,4,5.15447632480654,5.70455486912562
677,2036,5,5.76004576247781,7.74696401576305
678,2036,6,6.48225118377156,10.0768315939157
679,2036,7,6.98013003124326,12.8727131013873
680,2036,8,7.45673104716971,14.1858454970047
681,2036,9,7.84499023906276,12.3291427800892
682,2036,10,8.05555336793874,10.747720099142
683,2036,11,7.10602105873474,8.24628285496395
684,2036,12,6.34170815592358,6.91617987514132
685,2037,1,5.63348941057259,6.15034933143714
686,2037,2,5.05422540110802,5.56641299790582
687,2037,3,4.80108278879953,5.36459940413407
688,2037,4,4.73740985524292,5.16851267245468
689,2037,5,5.38014393343069,7.35101139457754
690,2037,6,6.09584367064176,10.3603619939694
691,2037,7,6.67572891244569,12.4468753929129
692,2037,8,7.11264779360825,13.3051490397948
693,2037,9,7.49601786868693,12.2301010106066
694,2037,10,7.81142950566156,10.0922666286015
695,2037,11,7.22758903389383,8.34319881323161
696,2037,12,6.27841146109184,6.94401543493717
697,2038,1,5.28275693596554,5.74680054802048
698,2038,2,4.9379218625111,5.33388206797312
699,2038,3,4.81185645185007,5.23107883746924
700,2038,4,4.97733650362872,5.41338086319062
701,2038,5,5.55746544207788,7.14112907024806
702,2038,6,6.224511321921,10.6626376689565
703,2038,7,6.81336212763482,13.4826646071801
704,2038,8,7.35314048933918,14.6142593327872
705,2038,9,7.65653026125838,12.6499597808229
706,2038,10,7.97819650585258,10.4744271446621
707,2038,11,7.35858817203495,8.69618339913208
708,2038,12,6.57244975568893,7.36597616147249
709,2039,1,5.85942308632262,6.3691713955814
710,2039,2,5.54206895953571,5.87980235160928
711,2039,3,5.20165103951133,5.51984874187772
712,2039,4,4.9961261042432,5.3496354145168
713,2039,5,5.58695682035377,7.34493126808277
714,2039,6,6.27964564715768,10.6489412659176
715,2039,7,6.88984544055916,14.1414277401976
716,2039,8,7.32588753572746,13.757157329795
717,2039,9,7.66083387758153,12.1382397884727
718,2039,10,7.84986260590067,10.3944622908757
719,2039,11,7.42476263431291,8.85384570681855
720,2039,12,6.22892084607863,7.21455149794032
721,2040,1,5.43704991979127,6.2333063912639
722,2040,2,5.17686940518957,5.73409651015941
723,2040,3,5.02515571819009,5.5416696964671
