"","tstep","year","month","btemp","stemp","rec"
"1",133,1991,1,3.74720115808523,3.90933875416277,1
"2",134,1991,2,3.18361877266327,3.09427855035208,0.994464221348885
"3",135,1991,3,3.13738380260317,3.02802678793723,0.996146872989883
"4",136,1991,4,3.45570990616478,3.7943825600647,0.99788930625161
"5",137,1991,5,4.14323005331606,5.4259651128269,1
"6",138,1991,6,4.87077399870177,8.12670878960908,1
"7",139,1991,7,5.36552487048408,11.2029139871053,1
"8",140,1991,8,5.81412501581969,12.0135230829767,1
"9",141,1991,9,6.39491513499745,10.7445082603758,1
"10",142,1991,10,6.3793445848741,8.75500395211185,1
"11",143,1991,11,6.17368090508725,7.28578736014375,1
"12",144,1991,12,5.29097845977435,5.81611841661121,1
"13",145,1992,1,4.70736485121433,4.96763469049021,1
"14",146,1992,2,4.0670980551471,4.2379964081107,0.993850992246932
"15",147,1992,3,3.72941253877723,3.9349245900313,0.948098123666826
"16",148,1992,4,3.99983934749994,4.4335315589492,0.973133583736728
"17",149,1992,5,4.62698951280406,6.36100137290857,1
"18",150,1992,6,5.48752133616255,9.33695397048056,1
"19",151,1992,7,5.97856637337894,11.5811601039322,1
"20",152,1992,8,6.47557124035927,12.195068457983,1
"21",153,1992,9,6.40681379491481,10.7753946298494,1
"22",154,1992,10,6.13759422729315,8.26589399357557,1
"23",155,1992,11,5.69655665774838,6.72712878074965,1
"24",156,1992,12,4.89747639621594,5.38406269270012,1
"25",157,1993,1,4.20652959014619,4.45135352864114,1
"26",158,1993,2,3.47188854542289,3.5381008870601,0.969429533975651
"27",159,1993,3,3.56874547260076,3.75198436250375,0.997341709127004
"28",160,1993,4,3.99237275048809,4.53446314612316,0.979303906653075
"29",161,1993,5,4.64973848760489,6.37403385185962,1
"30",162,1993,6,5.38455174947869,9.45851839708661,1
"31",163,1993,7,5.83945118854522,11.8085366465487,1
"32",164,1993,8,6.17386653305584,12.5512471537652,1
"33",165,1993,9,6.13270788139649,11.0374629331652,1
"34",166,1993,10,5.93771209982293,8.90548463035955,1
"35",167,1993,11,5.49417836023298,6.96050477960632,1
"36",168,1993,12,4.91116291620666,5.43258520748154,1
"37",169,1994,1,4.4889344969123,4.77969606202841,1
"38",170,1994,2,4.0950012294916,4.34503700380971,0.986298734872807
"39",171,1994,3,3.45097950166023,3.61046811479479,0.997775421544732
"40",172,1994,4,3.60623160867422,4.04898704419354,0.967713163268312
"41",173,1994,5,4.25783417661718,5.83739940149997,1
"42",174,1994,6,5.08995791742824,9.33127983470669,1
"43",175,1994,7,5.63986650814819,11.1791223505329,1
"44",176,1994,8,5.99578542665857,12.5688011006934,1
"45",177,1994,9,6.17429739871484,10.8947193179737,1
"46",178,1994,10,6.29468537738601,8.4293047556754,1
"47",179,1994,11,5.32936456510237,6.26719104515683,1
"48",180,1994,12,4.34196149053422,4.64732252470118,1
"49",181,1995,1,4.01737363728829,4.24283996069348,1
"50",182,1995,2,3.69592685773842,3.90640406484548,0.970357003966592
"51",183,1995,3,3.32181332998219,3.4340816415112,0.99608231701812
"52",184,1995,4,3.49769579896481,3.86643963031068,0.999250390375471
"53",185,1995,5,4.21813714963982,5.71754684248597,1
"54",186,1995,6,5.06640765467545,8.68994871559806,1
