"varname","simulation","year","month","prod_biom_month","month_mean","anomaly_ratio"
"prod_PhS","ssp126",1983,3,11.8108968503204,11.1989402749884,1.05464415027721
"prod_PhS","ssp126",1983,4,20.8633533006899,21.5226361105454,0.969367933998918
"prod_PhS","ssp126",1983,5,27.6030777549818,27.2376127722676,1.01341765835978
"prod_PhS","ssp126",1983,6,29.3036606021225,29.7992239773387,0.983369923472064
"prod_PhS","ssp126",1983,7,26.3712761074452,26.8142605898383,0.983479519007848
"prod_PhS","ssp126",1983,8,24.6032423318186,23.4813557351013,1.04777776076363
"prod_PhS","ssp126",1983,9,21.2845122937624,19.1161941160949,1.11342834062571
"prod_PhS","ssp126",1983,10,13.8435853088411,12.3684477796562,1.11926618080656
"prod_PhS","ssp126",1983,11,3.89198552197397,2.93976414391214,1.32391080761827
"prod_PhS","ssp126",1983,12,0.117147300199314,0.162996258239109,0.718711591694721
"prod_PhS","ssp126",1984,1,0.229796532231872,0.401104403372793,0.572909522557137
"prod_PhS","ssp126",1984,2,5.16150791123725,3.69371781926451,1.39737472210722
"prod_PhS","ssp126",1984,3,10.0938180243282,11.1989402749884,0.901319033451015
"prod_PhS","ssp126",1984,4,21.210189718891,21.5226361105454,0.985482893914594
"prod_PhS","ssp126",1984,5,26.6771069505307,27.2376127722676,0.979421624559271
"prod_PhS","ssp126",1984,6,30.2551482083526,29.7992239773387,1.01529986926373
"prod_PhS","ssp126",1984,7,26.0640020256264,26.8142605898383,0.972020165848009
"prod_PhS","ssp126",1984,8,23.2422282230321,23.4813557351013,0.989816281701668
"prod_PhS","ssp126",1984,9,18.7023500763322,19.1161941160949,0.97835112798869
"prod_PhS","ssp126",1984,10,11.6499762303339,12.3684477796562,0.941910936431001
"prod_PhS","ssp126",1984,11,1.58802871246135,2.93976414391214,0.540189156245731
"prod_PhS","ssp126",1984,12,0.259671271926893,0.162996258239109,1.59311185871497
"prod_PhS","ssp126",1985,1,0.215277116815739,0.401104403372793,0.536710928639835
"prod_PhS","ssp126",1985,2,8.14919381820934,3.69371781926451,2.20623074553973
"prod_PhS","ssp126",1985,3,10.8324322021263,11.1989402749884,0.967272968346773
"prod_PhS","ssp126",1985,4,20.7254308068167,21.5226361105454,0.962959681163865
"prod_PhS","ssp126",1985,5,26.1188941405306,27.2376127722676,0.958927434607044
"prod_PhS","ssp126",1985,6,30.4582731162815,29.7992239773387,1.02211631884924
"prod_PhS","ssp126",1985,7,26.3853276280611,26.8142605898383,0.9840035506353
"prod_PhS","ssp126",1985,8,24.8988587613914,23.4813557351013,1.0603671713968
"prod_PhS","ssp126",1985,9,18.557547015309,19.1161941160949,0.97077623833525
"prod_PhS","ssp126",1985,10,10.9804483833283,12.3684477796562,0.887779014711057
"prod_PhS","ssp126",1985,11,2.08480694697672,2.93976414391214,0.709174901426725
"prod_PhS","ssp126",1985,12,-0.171452086764153,0.162996258239109,1.06239621389201e-15
"prod_PhS","ssp126",1986,1,0.242212666327867,0.401104403372793,0.603864391143944
"prod_PhS","ssp126",1986,2,4.26559495084495,3.69371781926451,1.15482426096488
"prod_PhS","ssp126",1986,3,10.5509573735237,11.1989402749884,0.94213890907947
"prod_PhS","ssp126",1986,4,20.6561193820903,21.5226361105454,0.959739284537246
"prod_PhS","ssp126",1986,5,27.2251139680146,27.2376127722676,0.999541119687783
"prod_PhS","ssp126",1986,6,29.6097026353201,29.7992239773387,0.993640057802757
"prod_PhS","ssp126",1986,7,26.9767101535021,26.8142605898383,1.00605832717705
"prod_PhS","ssp126",1986,8,23.7068766736414,23.4813557351013,1.00960425543926
"prod_PhS","ssp126",1986,9,21.1512646544117,19.1161941160949,1.10645793435438
"prod_PhS","ssp126",1986,10,12.4605615255886,12.3684477796562,1.00744747825867
"prod_PhS","ssp126",1986,11,3.16413176737451,2.93976414391214,1.07632164094763
"prod_PhS","ssp126",1986,12,-0.0510065283404659,0.162996258239109,3.16059976961543e-16
"prod_PhS","ssp126",1987,1,0.417758908085103,0.401104403372793,1.04152162023719
"prod_PhS","ssp126",1987,2,5.64107933958908,3.69371781926451,1.52720906566499
"prod_PhS","ssp126",1987,3,9.48191642303982,11.1989402749884,0.846679792035021
"prod_PhS","ssp126",1987,4,20.8983968025999,21.5226361105454,0.970996150065483
"prod_PhS","ssp126",1987,5,27.1173872884596,27.2376127722676,0.995586049158815
"prod_PhS","ssp126",1987,6,30.0038733966313,29.7992239773387,1.00686760901721
"prod_PhS","ssp126",1987,7,27.0579637947423,26.8142605898383,1.00908856703647
"prod_PhS","ssp126",1987,8,24.6504989624632,23.4813557351013,1.04979027789329
"prod_PhS","ssp126",1987,9,21.8907222529467,19.1161941160949,1.14514019474807
"prod_PhS","ssp126",1987,10,12.3966035908346,12.3684477796562,1.00227642236762
"prod_PhS","ssp126",1987,11,2.38865824633184,2.93976414391214,0.812533975311739
"prod_PhS","ssp126",1987,12,0.064478872787818,0.162996258239109,0.395584987559837
"prod_PhS","ssp126",1988,1,0.308068875275449,0.401104403372793,0.768051591268931
"prod_PhS","ssp126",1988,2,4.41600143979279,3.69371781926451,1.1955438005473
"prod_PhS","ssp126",1988,3,11.4333792748401,11.1989402749884,1.02093403430102
"prod_PhS","ssp126",1988,4,20.1302862507877,21.5226361105454,0.935307652250111
"prod_PhS","ssp126",1988,5,27.2346061459444,27.2376127722676,0.999889614910516
"prod_PhS","ssp126",1988,6,29.0133521972422,29.7992239773387,0.973627776995329
"prod_PhS","ssp126",1988,7,27.2280901150384,26.8142605898383,1.01543318801627
"prod_PhS","ssp126",1988,8,22.4867567335538,23.4813557351013,0.957643033359411
"prod_PhS","ssp126",1988,9,19.7815014544789,19.1161941160949,1.03480333660265
"prod_PhS","ssp126",1988,10,11.6502014518681,12.3684477796562,0.941929145792287
"prod_PhS","ssp126",1988,11,2.00040475822367,2.93976414391214,0.680464370710229
"prod_PhS","ssp126",1988,12,0.620210784014609,0.162996258239109,3.80506148248375
"prod_PhS","ssp126",1989,1,0.13297192281375,0.401104403372793,0.331514492724637
"prod_PhS","ssp126",1989,2,3.44375208357516,3.69371781926451,0.93232679161747
