"simulation","depthclass","year","annual_avg_temp"
"ssp126","Bottom",1980,5.75479662228268
"ssp126","Bottom",1981,5.66480641008641
"ssp126","Bottom",1982,6.40827216582629
"ssp126","Bottom",1983,6.36446688990608
"ssp126","Bottom",1984,5.79157052956014
"ssp126","Bottom",1985,5.54033638319488
"ssp126","Bottom",1986,5.49488321233015
"ssp126","Bottom",1987,5.35536612904305
"ssp126","Bottom",1988,5.22388118599953
"ssp126","Bottom",1989,5.23253536164635
"ssp126","Bottom",1990,5.51332371113197
"ssp126","Bottom",1991,4.88461836899878
"ssp126","Bottom",1992,5.24273500584171
"ssp126","Bottom",1993,4.7090570131092
"ssp126","Bottom",1994,4.84921230142192
"ssp126","Bottom",1995,5.07703368410276
"ssp126","Bottom",1996,5.25620359789293
"ssp126","Bottom",1997,5.52947087256401
"ssp126","Bottom",1998,5.90165844757545
"ssp126","Bottom",1999,5.56951970635181
"ssp126","Bottom",2000,5.38108415919984
"ssp126","Bottom",2001,5.39222328476623
"ssp126","Bottom",2002,5.25970171145818
"ssp126","Bottom",2003,5.59166917087695
"ssp126","Bottom",2004,5.46727374282817
"ssp126","Bottom",2005,5.57904965008957
"ssp126","Bottom",2006,5.48401070125153
"ssp126","Bottom",2007,5.18133893287258
"ssp126","Bottom",2008,5.26852761666117
"ssp126","Bottom",2009,5.37022274812619
"ssp126","Bottom",2010,5.55447607743912
"ssp126","Bottom",2011,5.41524966728139
"ssp126","Bottom",2012,5.4710131396521
"ssp126","Bottom",2013,5.53720341339359
"ssp126","Bottom",2014,5.88332983560594
"ssp126","Bottom",2015,5.88714072690552
"ssp126","Bottom",2016,6.01346008071845
"ssp126","Bottom",2017,6.14519630489977
"ssp126","Bottom",2018,5.81495978512603
"ssp126","Bottom",2019,5.89374582467373
"ssp126","Bottom",2020,5.70867648308876
"ssp126","Bottom",2021,5.9030803244446
"ssp126","Bottom",2022,5.1576535757286
"ssp126","Bottom",2023,4.9752909164019
"ssp126","Bottom",2024,5.4739543743515
"ssp126","Bottom",2025,5.77448928182805
"ssp126","Bottom",2026,5.75523591268258
"ssp126","Bottom",2027,5.5153434989725
"ssp126","Bottom",2028,5.67397704615331
"ssp126","Bottom",2029,6.03590149475668
