"varname","simulation","year","biomass_tonnes_km2","annual_mean_mtkm2","anomaly_ratio_mtkm2"
"Cop","ssp126",1980,28.1837348057699,24.5748856679208,1.14685110590606
"Cop","ssp126",1981,25.7550135918459,24.5748856679208,1.04802170556853
"Cop","ssp126",1982,27.2949790056324,24.5748856679208,1.11068590000654
"Cop","ssp126",1983,24.3077608639534,24.5748856679208,0.989130171038149
"Cop","ssp126",1984,24.8319019866742,24.5748856679208,1.01045849499471
"Cop","ssp126",1985,28.143055430333,24.5748856679208,1.14519578282596
"Cop","ssp126",1986,25.0742399326459,24.5748856679208,1.02031969838936
"Cop","ssp126",1987,27.4717502819727,24.5748856679208,1.11787906780919
"Cop","ssp126",1988,25.8891716976363,24.5748856679208,1.05348086039851
"Cop","ssp126",1989,24.5293167888399,24.5748856679208,0.998145713485846
"Cop","ssp126",1990,26.7582615526618,24.5748856679208,1.08884582065792
"Cop","ssp126",1991,29.8808629324945,24.5748856679208,1.21591055748023
"Cop","ssp126",1992,30.2166003927328,24.5748856679208,1.22957236916779
"Cop","ssp126",1993,24.2668149092946,24.5748856679208,0.987464000329884
"Cop","ssp126",1994,26.0250299688659,24.5748856679208,1.05900919827424
"Cop","ssp126",1995,25.9496890178334,24.5748856679208,1.05594342811968
"Cop","ssp126",1996,25.7581739088352,24.5748856679208,1.04815030502701
"Cop","ssp126",1997,23.5822715836468,24.5748856679208,0.959608598074996
"Cop","ssp126",1998,22.4441784986664,24.5748856679208,0.913297372038815
"Cop","ssp126",1999,23.3318594006714,24.5748856679208,0.949418838238095
"Cop","ssp126",2000,25.0613094269896,24.5748856679208,1.01979353090964
"Cop","ssp126",2001,26.8761152968174,24.5748856679208,1.09364151923199
"Cop","ssp126",2002,27.7223445145805,24.5748856679208,1.12807623560049
"Cop","ssp126",2003,22.1165406084487,24.5748856679208,0.899965147643347
"Cop","ssp126",2004,22.7546990671162,24.5748856679208,0.925933059245906
"Cop","ssp126",2005,25.1580416053993,24.5748856679208,1.02372975180266
"Cop","ssp126",2006,23.564277277805,24.5748856679208,0.958876374695204
"Cop","ssp126",2007,24.4560342569145,24.5748856679208,0.99516370441709
"Cop","ssp126",2008,27.1282778503586,24.5748856679208,1.1039025050591
"Cop","ssp126",2009,27.1938939532819,24.5748856679208,1.1065725521881
"Cop","ssp126",2010,25.0430687251001,24.5748856679208,1.01905128119438
"Cop","ssp126",2011,23.9060988518817,24.5748856679208,0.972785760834195
"Cop","ssp126",2012,28.8145872315071,24.5748856679208,1.17252172078752
"Cop","ssp126",2013,22.9514119671508,24.5748856679208,0.933937690587541
"Cop","ssp126",2014,25.5459968382146,24.5748856679208,1.03951640644096
"Cop","ssp126",2015,20.3332577044425,24.5748856679208,0.827399890245874
"Cop","ssp126",2016,21.1315921025794,24.5748856679208,0.859885673045628
"Cop","ssp126",2017,22.2841652987424,24.5748856679208,0.906786123030937
"Cop","ssp126",2018,20.2161117295557,24.5748856679208,0.822632992182954
"Cop","ssp126",2019,20.4844754587415,24.5748856679208,0.8335532354269
"Cop","ssp126",2020,23.0487896589549,24.5748856679208,0.937900178678838
"Cop","ssp126",2021,16.306923353996,24.5748856679208,0.66356049726337
"Cop","ssp126",2022,24.3729025322252,24.5748856679208,0.991780912496403
"Cop","ssp126",2023,29.1759239996221,24.5748856679208,1.18722521821159
"Cop","ssp126",2024,29.7157285222064,24.5748856679208,1.20919091644021
"Cop","ssp126",2025,26.5531934687387,24.5748856679208,1.08050120059766
"Cop","ssp126",2026,22.7558594160564,24.5748856679208,0.92598027610607
"Cop","ssp126",2027,23.2947190875974,24.5748856679208,0.947907526504
"Cop","ssp126",2028,27.472888169344,24.5748856679208,1.11792537066433
"Cop","ssp126",2029,21.0472934340827,24.5748856679208,0.856455395906772
"Cop","ssp126",2030,17.5923032286369,24.5748856679208,0.715865109867073
"Cop","ssp126",2031,20.1242800571372,24.5748856679208,0.818896182430943
"Cop","ssp126",2032,25.1091560650443,24.5748856679208,1.02174050387632
"Cop","ssp126",2033,26.4886744979779,24.5748856679208,1.07787579791492
"Cop","ssp126",2034,21.8882630192136,24.5748856679208,0.890676087571215
"Cop","ssp126",2035,22.9861714171393,24.5748856679208,0.935352120361834
"Cop","ssp126",2036,24.9353611790648,24.5748856679208,1.01466845119913
"Cop","ssp126",2037,21.0321449763222,24.5748856679208,0.855838975632623
"Cop","ssp126",2038,23.9066458537435,24.5748856679208,0.972808019406188
"Cop","ssp126",2039,23.8084455190335,24.5748856679208,0.968812056371526
"Cop","ssp126",2040,24.8843468390949,24.5748856679208,1.01259257826693
"Cop","ssp126",2041,24.0186408152113,24.5748856679208,0.977365312692561
"Cop","ssp126",2042,22.1226132746956,24.5748856679208,0.900212256269973
"Cop","ssp126",2043,23.9637128511218,24.5748856679208,0.975130186766369
"Cop","ssp126",2044,28.4076916283939,24.5748856679208,1.1559643455626
