"varname","simulation","year","month","biomass_tonnes_km2","month_mean_mtkm2","anomaly_ratio_mtkm2"
"Cop","ssp126",1980,1,8.90929656272105,11.199991490953,0.795473511735939
"Cop","ssp126",1980,2,9.11891003421551,8.06421571366739,1.13078696775938
"Cop","ssp126",1980,3,13.7113227876276,9.64047938580618,1.42226566116774
"Cop","ssp126",1980,4,38.603851133966,22.7793875445115,1.69468345268428
"Cop","ssp126",1980,5,92.9910139405061,53.6597257586668,1.73297594472866
"Cop","ssp126",1980,6,96.556621443606,78.1264520647344,1.2359017834779
"Cop","ssp126",1980,7,95.3841962680397,80.720758045967,1.18165634933362
"Cop","ssp126",1980,8,68.4974241865247,60.3247744982567,1.13547750084841
"Cop","ssp126",1980,9,58.1762087402049,52.9962341890594,1.09774231377774
"Cop","ssp126",1980,10,53.3592686707503,46.4298502747495,1.14924490074803
"Cop","ssp126",1980,11,38.0212284593103,30.214204093197,1.25838921131373
"Cop","ssp126",1980,12,21.4683428575827,17.8024453055795,1.20592101192156
"Cop","ssp126",1981,1,12.7833177897484,11.199991490953,1.14136852693811
"Cop","ssp126",1981,2,9.1812790138164,8.06421571366739,1.13852100933458
"Cop","ssp126",1981,3,9.44337226896952,9.64047938580618,0.979554220392104
"Cop","ssp126",1981,4,19.4729480251799,22.7793875445115,0.854849498790488
"Cop","ssp126",1981,5,42.0624442464035,53.6597257586668,0.783873634307753
"Cop","ssp126",1981,6,69.7767986598073,78.1264520647344,0.893126422815045
"Cop","ssp126",1981,7,74.0170441824532,80.720758045967,0.916951797458389
"Cop","ssp126",1981,8,55.6780241948993,60.3247744982567,0.922971111918674
"Cop","ssp126",1981,9,51.1945311004593,52.9962341890594,0.966003186525053
"Cop","ssp126",1981,10,41.3082224585148,46.4298502747495,0.889691054657136
"Cop","ssp126",1981,11,23.265984225755,30.214204093197,0.770034655024839
"Cop","ssp126",1981,12,14.6727233037993,17.8024453055795,0.824197072477493
"Cop","ssp126",1982,1,8.77497971693041,11.199991490953,0.783480927107716
"Cop","ssp126",1982,2,6.28412406401245,8.06421571366739,0.779260412560889
"Cop","ssp126",1982,3,7.93178780020577,9.64047938580618,0.822758649521502
"Cop","ssp126",1982,4,13.8652136061255,22.7793875445115,0.608673678299406
"Cop","ssp126",1982,5,30.3353430397266,53.6597257586668,0.565327955199753
"Cop","ssp126",1982,6,60.4332512025615,78.1264520647344,0.773531238209658
"Cop","ssp126",1982,7,77.0417828479638,80.720758045967,0.954423431010048
"Cop","ssp126",1982,8,55.3465074535099,60.3247744982567,0.917475579707461
"Cop","ssp126",1982,9,47.275815680791,52.9962341890594,0.892059905844228
"Cop","ssp126",1982,10,47.4225006279585,46.4298502747495,1.02137957256668
"Cop","ssp126",1982,11,26.6501337422726,30.214204093197,0.882039906133856
"Cop","ssp126",1982,12,15.6526801787714,17.8024453055795,0.879243267432799
"Cop","ssp126",1983,1,8.94172510967194,11.199991490953,0.798368919913445
"Cop","ssp126",1983,2,6.0155994643979,8.06421571366739,0.745962121797232
"Cop","ssp126",1983,3,7.70977141324263,9.64047938580618,0.799729049220711
"Cop","ssp126",1983,4,20.1082494716247,22.7793875445115,0.882738810792548
"Cop","ssp126",1983,5,43.7764713357493,53.6597257586668,0.815816158521438
"Cop","ssp126",1983,6,59.3479478985628,78.1264520647344,0.759639614114154
"Cop","ssp126",1983,7,72.2717785661827,80.720758045967,0.895330771361526
"Cop","ssp126",1983,8,55.9779466409536,60.3247744982567,0.927942907479435
"Cop","ssp126",1983,9,50.385495122985,52.9962341890594,0.950737272071808
"Cop","ssp126",1983,10,47.3155196052888,46.4298502747495,1.01907542939076
"Cop","ssp126",1983,11,34.6301429212825,30.214204093197,1.14615439858897
"Cop","ssp126",1983,12,19.9452529548882,17.8024453055795,1.12036591673376
"Cop","ssp126",1984,1,13.1826213386301,11.199991490953,1.17702065660305
"Cop","ssp126",1984,2,9.15740863071391,8.06421571366739,1.13556097156401
"Cop","ssp126",1984,3,10.5296285914196,9.64047938580618,1.0922308082441
"Cop","ssp126",1984,4,17.6978154606333,22.7793875445115,0.776922356935689
"Cop","ssp126",1984,5,53.2937303777652,53.6597257586668,0.993179328151106
"Cop","ssp126",1984,6,79.7534988311155,78.1264520647344,1.02082581153222
"Cop","ssp126",1984,7,81.3979299732618,80.720758045967,1.00838906798805
"Cop","ssp126",1984,8,56.2503485462077,60.3247744982567,0.932458496762938
"Cop","ssp126",1984,9,49.3857715716106,52.9962341890594,0.931873223207356
"Cop","ssp126",1984,10,49.9023939210853,46.4298502747495,1.0747911876904
"Cop","ssp126",1984,11,31.7574190654804,30.214204093197,1.0510758108181
"Cop","ssp126",1984,12,16.9564311217805,17.8024453055795,0.952477641735325
"Cop","ssp126",1985,1,10.0595867795735,11.199991490953,0.89817807341187
"Cop","ssp126",1985,2,7.8959104127847,8.06421571366739,0.979129365227987
"Cop","ssp126",1985,3,10.3507147153971,9.64047938580618,1.07367220043399
"Cop","ssp126",1985,4,23.6116031864754,22.7793875445115,1.03653371454073
"Cop","ssp126",1985,5,64.2370685587356,53.6597257586668,1.19711883820726
"Cop","ssp126",1985,6,79.544171728929,78.1264520647344,1.01814647442354
"Cop","ssp126",1985,7,77.265523458229,80.720758045967,0.957195216306438
"Cop","ssp126",1985,8,65.6404779772856,60.3247744982567,1.08811808288123
"Cop","ssp126",1985,9,53.1596924400427,52.9962341890594,1.0030843370946
"Cop","ssp126",1985,10,48.0225051654577,46.4298502747495,1.03430239126949
"Cop","ssp126",1985,11,28.463017867237,30.214204093197,0.942040961245965
"Cop","ssp126",1985,12,15.7960842607813,17.8024453055795,0.887298569923461
"Cop","ssp126",1986,1,9.9382193332904,11.199991490953,0.88734168604665
"Cop","ssp126",1986,2,7.37705165281538,8.06421571366739,0.914788482197049
"Cop","ssp126",1986,3,8.10053415747516,9.64047938580618,0.840262587916706
"Cop","ssp126",1986,4,17.9222067505983,22.7793875445115,0.786772985690589
"Cop","ssp126",1986,5,56.5125929921976,53.6597257586668,1.05316589291495
"Cop","ssp126",1986,6,70.8395965458642,78.1264520647344,0.906729982914974
"Cop","ssp126",1986,7,79.2357549129877,80.720758045967,0.981603206301239
"Cop","ssp126",1986,8,54.4856943560493,60.3247744982567,0.903205935027969
"Cop","ssp126",1986,9,45.2375372766111,52.9962341890594,0.853599089988738
"Cop","ssp126",1986,10,43.314287370667,46.4298502747495,0.932897416518768
"Cop","ssp126",1986,11,29.3905495215434,30.214204093197,0.972739491362638
"Cop","ssp126",1986,12,18.3258665844915,17.8024453055795,1.02940165072423
"Cop","ssp126",1987,1,11.0557171062321,11.199991490953,0.987118348720403
"Cop","ssp126",1987,2,7.272650582465,8.06421571366739,0.901842267207606
"Cop","ssp126",1987,3,7.76760604995883,9.64047938580618,0.805728194533063
"Cop","ssp126",1987,4,19.8069750165896,22.7793875445115,0.869513062099947
"Cop","ssp126",1987,5,45.5813547868547,53.6597257586668,0.849451877407194
"Cop","ssp126",1987,6,72.7074176184517,78.1264520647344,0.930637648285979
"Cop","ssp126",1987,7,81.3113074107522,80.720758045967,1.0073159541496
"Cop","ssp126",1987,8,57.8161119919156,60.3247744982567,0.958414059112419
"Cop","ssp126",1987,9,52.2897885886943,52.9962341890594,0.986669890584209
"Cop","ssp126",1987,10,53.4577566964859,46.4298502747495,1.15136612287459
"Cop","ssp126",1987,11,29.2816355067795,30.214204093197,0.969134762460035
"Cop","ssp126",1987,12,17.5549574553456,17.8024453055795,0.986098097986778
"Cop","ssp126",1988,1,10.6843267948192,11.199991490953,0.953958474294347
"Cop","ssp126",1988,2,7.00443226884131,8.06421571366739,0.868581957321661
"Cop","ssp126",1988,3,9.71218530414216,9.64047938580618,1.00743800338825
"Cop","ssp126",1988,4,28.3174778514413,22.7793875445115,1.24311849017487
"Cop","ssp126",1988,5,67.4875920835894,53.6597257586668,1.25769543413459
"Cop","ssp126",1988,6,81.0987618099381,78.1264520647344,1.03804485762058
"Cop","ssp126",1988,7,88.459405514951,80.720758045967,1.09586936069873
"Cop","ssp126",1988,8,57.8650769308545,60.3247744982567,0.95922574783146
"Cop","ssp126",1988,9,47.8564557027292,52.9962341890594,0.903016156431144
"Cop","ssp126",1988,10,40.1988476978468,46.4298502747495,0.865797487176232
"Cop","ssp126",1988,11,26.0708541003407,30.214204093197,0.86286747848542
"Cop","ssp126",1988,12,17.6605581482587,17.8024453055795,0.992029906291785
"Cop","ssp126",1989,1,11.5992234720648,11.199991490953,1.03564573968063
"Cop","ssp126",1989,2,7.59383939372995,8.06421571366739,0.941671163490799
"Cop","ssp126",1989,3,9.44614911351505,9.64047938580618,0.979842260481647
"Cop","ssp126",1989,4,19.8164670173168,22.7793875445115,0.869929754634314
"Cop","ssp126",1989,5,48.6536125572759,53.6597257586668,0.906706321536087
"Cop","ssp126",1989,6,78.0569454522813,78.1264520647344,0.999110331896353
"Cop","ssp126",1989,7,79.9758616063721,80.720758045967,0.990771934535468
"Cop","ssp126",1989,8,52.6200732958133,60.3247744982567,0.872279651825867
"Cop","ssp126",1989,9,46.6418642536765,52.9962341890594,0.880097708212356
"Cop","ssp126",1989,10,46.135887599964,46.4298502747495,0.993668670627926
"Cop","ssp126",1989,11,28.9997381907613,30.214204093197,0.959804802446902
"Cop","ssp126",1989,12,17.4110442477495,17.8024453055795,0.978014196863881
"Cop","ssp126",1990,1,10.4527883099201,11.199991490953,0.933285379579395
"Cop","ssp126",1990,2,7.29502917957048,8.06421571366739,0.904617316623453
"Cop","ssp126",1990,3,10.2728417592136,9.64047938580618,1.06559449464084
"Cop","ssp126",1990,4,28.0060208876281,22.7793875445115,1.22944573610259
"Cop","ssp126",1990,5,65.527024684873,53.6597257586668,1.22115839688744
"Cop","ssp126",1990,6,82.9339492426802,78.1264520647344,1.06153482016516
"Cop","ssp126",1990,7,81.0537158552228,80.720758045967,1.0041248102386
"Cop","ssp126",1990,8,65.5764148420946,60.3247744982567,1.0870561123107
"Cop","ssp126",1990,9,50.8454583603008,52.9962341890594,0.95941644040054
"Cop","ssp126",1990,10,51.2376202265189,46.4298502747495,1.10354911599584
"Cop","ssp126",1990,11,38.1231557156996,30.214204093197,1.26176269936177
"Cop","ssp126",1990,12,23.1636179980035,17.8024453055795,1.301148106364
"Cop","ssp126",1991,1,15.1711020410595,11.199991490953,1.35456371134872
"Cop","ssp126",1991,2,11.1772330475322,8.06421571366739,1.38602852954302
"Cop","ssp126",1991,3,12.4978532660385,9.64047938580618,1.29639333957182
"Cop","ssp126",1991,4,28.7366395065085,22.7793875445115,1.26151940873548
"Cop","ssp126",1991,5,66.301729751701,53.6597257586668,1.23559576226482
"Cop","ssp126",1991,6,95.3420292559017,78.1264520647344,1.22035529242903
"Cop","ssp126",1991,7,98.3620207677674,80.720758045967,1.21854679203774
"Cop","ssp126",1991,8,69.102923617822,60.3247744982567,1.14551482691111
"Cop","ssp126",1991,9,59.2751770235152,52.9962341890594,1.11847903781345
"Cop","ssp126",1991,10,55.2180926428883,46.4298502747495,1.18928000663655
"Cop","ssp126",1991,11,37.4183706900693,30.214204093197,1.23843641800561
"Cop","ssp126",1991,12,21.0769389535728,17.8024453055795,1.18393504890966
"Cop","ssp126",1992,1,12.8186147035296,11.199991490953,1.14452003949146
"Cop","ssp126",1992,2,9.31143959646095,8.06421571366739,1.15466152284093
"Cop","ssp126",1992,3,10.9010703585071,9.64047938580618,1.13076019586296
"Cop","ssp126",1992,4,28.5097642121523,22.7793875445115,1.25155973383584
"Cop","ssp126",1992,5,76.9486993688925,53.6597257586668,1.43401216239843
"Cop","ssp126",1992,6,92.4411748548205,78.1264520647344,1.18322504621386
"Cop","ssp126",1992,7,78.4262519132116,80.720758045967,0.971574769758125
"Cop","ssp126",1992,8,61.467195202359,60.3247744982567,1.01893783629701
"Cop","ssp126",1992,9,55.0973987574727,52.9962341890594,1.03964743156877
"Cop","ssp126",1992,10,53.9132967560981,46.4298502747495,1.1611774846799
"Cop","ssp126",1992,11,36.6618815550669,30.214204093197,1.21339888490797
"Cop","ssp126",1992,12,20.3838973273682,17.8024453055795,1.14500547410639
"Cop","ssp126",1993,1,12.7419282818927,11.199991490953,1.13767303235768
"Cop","ssp126",1993,2,9.85124658928675,8.06421571366739,1.22160008351347
"Cop","ssp126",1993,3,11.3867948351949,9.64047938580618,1.18114404683649
"Cop","ssp126",1993,4,26.6361539300834,22.7793875445115,1.1693094855178
"Cop","ssp126",1993,5,67.3066408870849,53.6597257586668,1.25432323657029
"Cop","ssp126",1993,6,90.777311088495,78.1264520647344,1.16192798584119
"Cop","ssp126",1993,7,84.0026762238581,80.720758045967,1.04065767291261
"Cop","ssp126",1993,8,61.3804935713185,60.3247744982567,1.01750058880191
"Cop","ssp126",1993,9,53.2196916108996,52.9962341890594,1.00421647736409
"Cop","ssp126",1993,10,51.4246478041161,46.4298502747495,1.10757729132896
"Cop","ssp126",1993,11,35.2354051651397,30.214204093197,1.16618677283223
"Cop","ssp126",1993,12,20.0018792611117,17.8024453055795,1.1235467329223
"Cop","ssp126",1994,1,13.7057917289885,11.199991490953,1.22373233408789
"Cop","ssp126",1994,2,10.0887123439348,8.06421571366739,1.25104693402935
"Cop","ssp126",1994,3,12.4113343281814,9.64047938580618,1.2874187923118
"Cop","ssp126",1994,4,25.076343931294,22.7793875445115,1.10083486144192
"Cop","ssp126",1994,5,67.8874711450933,53.6597257586668,1.26514756058232
"Cop","ssp126",1994,6,96.383403218069,78.1264520647344,1.23368463139997
"Cop","ssp126",1994,7,86.004573305867,80.720758045967,1.06545794895646
"Cop","ssp126",1994,8,62.3214686989055,60.3247744982567,1.03309907442267
"Cop","ssp126",1994,9,54.8171182201923,52.9962341890594,1.03435874376729
"Cop","ssp126",1994,10,55.3576826618969,46.4298502747495,1.19228647808074
"Cop","ssp126",1994,11,30.4611570053511,30.214204093197,1.00817340451505
"Cop","ssp126",1994,12,18.7853135078977,17.8024453055795,1.05520973020545
"Cop","ssp126",1995,1,12.5593511114929,11.199991490953,1.12137148690139
"Cop","ssp126",1995,2,9.35559803304502,8.06421571366739,1.16013737296102
"Cop","ssp126",1995,3,10.7215194892008,9.64047938580618,1.11213551319723
"Cop","ssp126",1995,4,21.247395757548,22.7793875445115,0.932746576967007
"Cop","ssp126",1995,5,58.2829134103505,53.6597257586668,1.08615749682502
"Cop","ssp126",1995,6,91.3881839902023,78.1264520647344,1.16974701365524
"Cop","ssp126",1995,7,90.9680403216985,80.720758045967,1.12694729984939
"Cop","ssp126",1995,8,64.138517240874,60.3247744982567,1.06322017403857
"Cop","ssp126",1995,9,52.6780657382905,52.9962341890594,0.993996395109247
"Cop","ssp126",1995,10,46.0367570693418,46.4298502747495,0.991533610315744
"Cop","ssp126",1995,11,32.5268620486361,30.214204093197,1.07654207763692
"Cop","ssp126",1995,12,20.9880297551463,17.8024453055795,1.1789408362102
"Cop","ssp126",1996,1,11.8027474042027,11.199991490953,1.05381753314157
"Cop","ssp126",1996,2,7.90246974592456,8.06421571366739,0.979942752837242
"Cop","ssp126",1996,3,10.0778517908304,9.64047938580618,1.04536832532085
"Cop","ssp126",1996,4,27.5265563393055,22.7793875445115,1.2083975605366
"Cop","ssp126",1996,5,59.0267235820807,53.6597257586668,1.10001910646267
"Cop","ssp126",1996,6,74.0771837947221,78.1264520647344,0.948170329472313
"Cop","ssp126",1996,7,77.3689285839983,80.720758045967,0.958476239035565
"Cop","ssp126",1996,8,58.6871555445686,60.3247744982567,0.972853293405424
"Cop","ssp126",1996,9,53.1316072498978,52.9962341890594,1.00255439019224
"Cop","ssp126",1996,10,52.5896430851196,46.4298502747495,1.13266880625114
"Cop","ssp126",1996,11,31.2709979901693,30.214204093197,1.03497672464622
"Cop","ssp126",1996,12,18.7707654730745,17.8024453055795,1.0543925371416
"Cop","ssp126",1997,1,11.8146769010674,11.199991490953,1.05488266759943
"Cop","ssp126",1997,2,8.03444336987139,8.06421571366739,0.99630809184016
"Cop","ssp126",1997,3,9.04146300714148,9.64047938580618,0.937864461434705
"Cop","ssp126",1997,4,20.2475516757041,22.7793875445115,0.888854085130249
"Cop","ssp126",1997,5,48.5792425489707,53.6597257586668,0.905320365733037
"Cop","ssp126",1997,6,70.6345153910756,78.1264520647344,0.90410499292287
"Cop","ssp126",1997,7,72.7435374475329,80.720758045967,0.901175103015121
"Cop","ssp126",1997,8,51.6547364003184,60.3247744982567,0.85627732270779
"Cop","ssp126",1997,9,45.727189654845,52.9962341890594,0.862838470592406
"Cop","ssp126",1997,10,49.7730475918124,46.4298502747495,1.07200534348656
"Cop","ssp126",1997,11,31.1945043524996,30.214204093197,1.032445013487
"Cop","ssp126",1997,12,18.1615014740924,17.8024453055795,1.02016892411968
"Cop","ssp126",1998,1,11.200272133377,11.199991490953,1.00002505737832
"Cop","ssp126",1998,2,7.78712061044601,8.06421571366739,0.965638927198866
"Cop","ssp126",1998,3,7.82346642051189,9.64047938580618,0.811522550634826
"Cop","ssp126",1998,4,17.3022268951426,22.7793875445115,0.759556281367687
"Cop","ssp126",1998,5,43.0741377263926,53.6597257586668,0.802727504052434
"Cop","ssp126",1998,6,64.5704098763015,78.1264520647344,0.826485884995768
"Cop","ssp126",1998,7,73.8718301325534,80.720758045967,0.915152829591697
"Cop","ssp126",1998,8,57.6870343339313,60.3247744982567,0.956274346878799
"Cop","ssp126",1998,9,54.7124898083373,52.9962341890594,1.03238448251163
"Cop","ssp126",1998,10,46.0278559644492,46.4298502747495,0.99134189949092
"Cop","ssp126",1998,11,27.9983006999619,30.214204093197,0.926660209668271
"Cop","ssp126",1998,12,16.5230865465814,17.8024453055795,0.928135784885847
"Cop","ssp126",1999,1,10.0742371211571,11.199991490953,0.899486140618473
"Cop","ssp126",1999,2,7.62023487335738,8.06421571366739,0.944944324894789
"Cop","ssp126",1999,3,9.06909245993115,9.64047938580618,0.9407304447208
"Cop","ssp126",1999,4,16.895878997928,22.7793875445115,0.741717878275395
"Cop","ssp126",1999,5,42.6629895023406,53.6597257586668,0.795065366047831
"Cop","ssp126",1999,6,69.2327268283363,78.1264520647344,0.886162432807918
"Cop","ssp126",1999,7,83.0867773873238,80.720758045967,1.02931116355485
"Cop","ssp126",1999,8,60.3270615659053,60.3247744982567,1.00003791257684
"Cop","ssp126",1999,9,51.9924370367931,52.9962341890594,0.981059085279808
"Cop","ssp126",1999,10,44.0656806344284,46.4298502747495,0.949080825668593
"Cop","ssp126",1999,11,29.9800939089356,30.214204093197,0.992251651457068
"Cop","ssp126",1999,12,18.6542035823844,17.8024453055795,1.0478450157933
"Cop","ssp126",2000,1,11.4065879331039,11.199991490953,1.01844612492052
"Cop","ssp126",2000,2,8.17230721842131,8.06421571366739,1.01340384590292
"Cop","ssp126",2000,3,8.74086430593446,9.64047938580618,0.90668357413883
"Cop","ssp126",2000,4,20.924496668281,22.7793875445115,0.918571521178699
"Cop","ssp126",2000,5,55.8920356670874,53.6597257586668,1.04160121724178
"Cop","ssp126",2000,6,73.2073467938132,78.1264520647344,0.937036622796523
"Cop","ssp126",2000,7,76.5822796003133,80.720758045967,0.948730926891234
"Cop","ssp126",2000,8,62.7990169523626,60.3247744982567,1.04101536184238
"Cop","ssp126",2000,9,58.0001094224628,52.9962341890594,1.09441944904146
"Cop","ssp126",2000,10,47.1758646226489,46.4298502747495,1.01606755876844
"Cop","ssp126",2000,11,29.6960092141501,30.214204093197,0.982849295733605
"Cop","ssp126",2000,12,17.8320140675557,17.8024453055795,1.00166093822891
"Cop","ssp126",2001,1,11.4144387500841,11.199991490953,1.01914709125487
"Cop","ssp126",2001,2,8.46924959422948,8.06421571366739,1.05022607218649
"Cop","ssp126",2001,3,9.87620973168998,9.64047938580618,1.02445213940614
"Cop","ssp126",2001,4,23.4393710638227,22.7793875445115,1.02897283862534
"Cop","ssp126",2001,5,56.4327435164927,53.6597257586668,1.05167782202797
"Cop","ssp126",2001,6,86.0902024579978,78.1264520647344,1.10193411044271
"Cop","ssp126",2001,7,78.5758312031681,80.720758045967,0.973427815908549
"Cop","ssp126",2001,8,58.2062983257252,60.3247744982567,0.96488215347423
"Cop","ssp126",2001,9,58.0842847569599,52.9962341890594,1.09600777575534
"Cop","ssp126",2001,10,45.2011235117533,46.4298502747495,0.973535844812654
"Cop","ssp126",2001,11,29.2116954350375,30.214204093197,0.966819954777983
"Cop","ssp126",2001,12,17.9917751523498,17.8024453055795,1.01063504723764
"Cop","ssp126",2002,1,11.3459611812729,11.199991490953,1.01303301796593
"Cop","ssp126",2002,2,8.09475414110928,8.06421571366739,1.00378690607075
"Cop","ssp126",2002,3,9.11059298238152,9.64047938580618,0.945035264096429
"Cop","ssp126",2002,4,22.1301865214673,22.7793875445115,0.971500505807031
