"year","model","race_group","bio_tons","bio_tkm2","se_tkm2","se_tons","var_bio_tons","var_bio_t_km2","cv"
1990,"WGOA","Arrowtooth flounder",1726495.43346808,7.35401002797452,1.03576721133168,243166.293450464,59129846270.4371,1.0728137160698,0.140843867140735
1990,"WGOA","Atka mackerel",30255.6385024149,0.128873940026929,0.126805886236722,29770.1230609922,886260227.066622,0.0160797327842804,0.983952893891697
1990,"WGOA","Big skate",10815.2983507195,0.0460677804209195,0.0139884918124688,3284.06775942143,10785101.0484713,0.000195677903187508,0.303650223315657
1990,"WGOA","Deep-water flatfish",72757.8146320493,0.309912026435427,0.051444492231812,12077.5849607823,145868058.484915,0.00264653578098897,0.165997082538296
1990,"WGOA","Demersal shelf rockfish",758.937375420729,0.00323269495027709,0.00136586503997533,320.663113767957,102824.832531362,1.8655873074268e-06,0.422515907310787
1990,"WGOA","Flathead sole",219996.370083711,0.937074886125681,0.119216072501767,27988.2681676175,783343155.022471,0.0142124719427465,0.127221499868237
1990,"WGOA","Gelatinous carnivores",49177.7236027152,0.209472591422301,0.0249233080507025,5851.226388429,34236850.2486479,0.000621171284190211,0.118981237027123
1990,"WGOA","Infauna",604.736957717165,0.00257587802732005,0.000873027142780303,204.959929286229,42008.5726130159,7.62176392031139e-07,0.338924100256642
1990,"WGOA","King crab",686.797069563571,0.00292541320344442,0.00216334044908474,507.885819052969,257948.005195106,4.68004189864618e-06,0.739499106156217
1990,"WGOA","Large sculpins",25470.0919642395,0.10848989698293,0.0202123863329978,4745.24682053293,22517367.3877778,0.000408540561274358,0.18630662296765
1990,"WGOA","Lingcod",843.486657385587,0.0035928327504557,0.00161494931260154,379.140442137377,143747.474864126,2.60806128227218e-06,0.44949192594526
1990,"WGOA","Longnose skate",9752.92321519591,0.0415425918518321,0.0111405898111871,2615.46793681121,6840672.52848749,0.000124112741341125,0.268172718999375
1990,"WGOA","MISC_NA",1547.74927285494,0.00659264047429406,0.00489282258242685,1148.68429784506,1319475.6161158,2.39397128231062e-05,0.742164327253228
1990,"WGOA","MISC_SHELLS",1262.30177867985,0.00537677642164081,0.00143812239440694,337.626918819366,113991.936311459,2.06819602129475e-06,0.267469256973135
1990,"WGOA","Miscellaneous deep-sea fish",126.465946994109,0.000538681901129492,0.000328161004883468,77.0421136520601,5935.48727597695,1.07689645126127e-07,0.609192557231624
1990,"WGOA","Motile epifauna",15149.4386465675,0.0645290578621747,0.0192516794373967,4519.70238126139,20427709.6151799,0.000370627161160281,0.29834124462991
1990,"WGOA","Nonpandalid shrimp",246.869347341956,0.001051540375236,0.000498648713445447,117.06738546635,13704.772739927,2.486505394208e-07,0.474207862283492
1990,"WGOA","Octopus",976.780220464715,0.00416059689309192,0.00167020367395876,392.11246722295,153752.186951669,2.78958031250534e-06,0.401433668503646
1990,"WGOA","Other gelatinous zooplankton",541.549235780745,0.00230672982584936,0.00217703344518077,511.100513504072,261223.734904126,4.73947462143565e-06,0.943774784885856
1990,"WGOA","Other skates",13311.8592715181,0.0567018856094414,0.0145102973619777,3406.57165796907,11604730.4608782,0.000210548729533016,0.25590502336948
1990,"WGOA","Pacific capelin",136.127265585259,0.000579834302940401,0.000215823698364593,50.6687682289292,2567.32407383695,4.6579868775771e-08,0.372216161186271
1990,"WGOA","Pacific cod",391063.504364483,1.665735615005,0.270909942821601,63601.32463559,4045128495.4017,0.0733921971196029,0.162636819661677
1990,"WGOA","Pacific dogfish",15696.2471651609,0.0668581896114784,0.0303808639838588,7132.49271260428,50872452.2953532,0.000922996896405732,0.454407517768668
1990,"WGOA","Pacific halibut",299520.903757133,1.27580976301417,0.115463310957402,27107.2351469127,734802197.310018,0.0133317761772457,0.0905019810199712
1990,"WGOA","Pacific herring",9529.910415876,0.0405926684806066,0.0289849851280767,6804.7832777497,46305075.4571419,0.000840129362874828,0.714044831566677
1990,"WGOA","Pacific ocean perch",55616.8203491859,0.236899934192344,0.0657346196313024,15432.4674813454,238161052.562782,0.004321040218072,0.277478420816829
1990,"WGOA","Pacific sandlance",62.4722467838818,0.000266100633927487,0.000186749575437702,43.8430581368268,1922.21374678918,3.48754039261619e-08,0.701800565753601
1990,"WGOA","Pacific sleeper shark",1478.47595817656,0.00629757068091933,0.00458039125674652,1075.33502921372,1156345.42505407,2.09799840648799e-05,0.727326692914206
1990,"WGOA","Pandalid shrimp",7657.53435584661,0.0326172796931968,0.00492450498972592,1156.12235290822,1336618.89489404,2.42507493938355e-05,0.150978408869365
1990,"WGOA","Pelagic shelf rockfish",20195.9932249412,0.0860248650659807,0.0335584132512533,7878.48357730362,62070503.4778429,0.00112616709994189,0.39010131809581
1990,"WGOA","Rex sole",81911.1667261593,0.348900744149235,0.0426442853888286,10011.5669828098,100231473.451288,0.00181853507632386,0.122224690270619
1990,"WGOA","Sablefish",190565.882281203,0.811715676809342,0.159610655131144,37471.6741163687,1404126361.08334,0.0254755612313931,0.196633697846683
1990,"WGOA","Salmon returning",1400.50131257153,0.0059654375547081,0.00176341141539324,413.994778960133,171391.67700625,3.10961981993921e-06,0.295604706146242
1990,"WGOA","Salmon shark",9811.93731780798,0.0417939625151934,0.0144576817023884,3394.21911892382,11520723.427268,0.000209024560207577,0.345927517572248
1990,"WGOA","Sessile epifauna",50040.0036560006,0.213145474672299,0.119200914659541,27984.7095723362,783143969.848006,0.0142088580556711,0.559246753152073
1990,"WGOA","Shallow-water flatfish",240893.0496884,1.02608432593379,0.151095834811572,35472.6561190283,1258309332.13883,0.0228299512974058,0.147254792800842
