"simulation","depthclass","year","annual_avg_temp"
"ssp126","Bottom",1980,5.22594645860972
"ssp126","Bottom",1981,5.30426026696422
"ssp126","Bottom",1982,5.82810587074587
"ssp126","Bottom",1983,5.82232406571743
"ssp126","Bottom",1984,5.52736498668215
"ssp126","Bottom",1985,5.2348151717652
"ssp126","Bottom",1986,5.58304198109205
"ssp126","Bottom",1987,5.40960633823346
"ssp126","Bottom",1988,5.13000284896122
"ssp126","Bottom",1989,5.3342310265528
"ssp126","Bottom",1990,5.0171447236463
"ssp126","Bottom",1991,4.82970722188093
"ssp126","Bottom",1992,5.18423369429298
"ssp126","Bottom",1993,4.98024213125013
"ssp126","Bottom",1994,4.89707497477733
"ssp126","Bottom",1995,5.02621519690858
"ssp126","Bottom",1996,5.37019229149599
"ssp126","Bottom",1997,5.55417472758995
"ssp126","Bottom",1998,5.90336983944286
"ssp126","Bottom",1999,5.23384541121539
"ssp126","Bottom",2000,5.34063161610023
"ssp126","Bottom",2001,5.71906942946763
"ssp126","Bottom",2002,5.46455608786996
"ssp126","Bottom",2003,6.14252356030708
"ssp126","Bottom",2004,5.51586845537829
"ssp126","Bottom",2005,5.81439290693848
"ssp126","Bottom",2006,5.52820328870693
"ssp126","Bottom",2007,4.96118065252103
"ssp126","Bottom",2008,5.20252761731025
"ssp126","Bottom",2009,5.20646455503824
"ssp126","Bottom",2010,5.67342273899913
"ssp126","Bottom",2011,5.33218214784502
"ssp126","Bottom",2012,5.06484122921044
"ssp126","Bottom",2013,5.56274649829398
"ssp126","Bottom",2014,6.19722491654479
"ssp126","Bottom",2015,6.33580217140638
"ssp126","Bottom",2016,6.61093039241933
"ssp126","Bottom",2017,6.09272561059471
"ssp126","Bottom",2018,6.10102488669366
"ssp126","Bottom",2019,6.4663702581123
"ssp126","Bottom",2020,5.83106180581064
"ssp126","Bottom",2021,6.02375469016951
"ssp126","Bottom",2022,5.05261437600582
"ssp126","Bottom",2023,4.69875064415421
"ssp126","Bottom",2024,5.2004144514849
"ssp126","Bottom",2025,5.55783471096338
"ssp126","Bottom",2026,6.41797107097248
"ssp126","Bottom",2027,6.13990819456504
"ssp126","Bottom",2028,5.71881291857777
"ssp126","Bottom",2029,6.33892690586453
"ssp126","Bottom",2030,6.32010145347255
"ssp126","Bottom",2031,6.48793583032387
"ssp126","Bottom",2032,5.75343437833652
"ssp126","Bottom",2033,5.94961554619775
"ssp126","Bottom",2034,5.75740833743332
"ssp126","Bottom",2035,5.88822262740931
"ssp126","Bottom",2036,5.63865810987167
"ssp126","Bottom",2037,6.06229010284244
"ssp126","Bottom",2038,6.12214256867439
"ssp126","Bottom",2039,6.24275750695682
"ssp126","Bottom",2040,5.80621131286024
"ssp126","Bottom",2041,6.46112601579946
"ssp126","Bottom",2042,6.7627874252004
"ssp126","Bottom",2043,6.48039303133264
"ssp126","Bottom",2044,5.51869270179193
"ssp126","Bottom",2045,6.23846686670849
"ssp126","Bottom",2046,6.55743656602206
"ssp126","Bottom",2047,6.36633298572326
"ssp126","Bottom",2048,6.10161132862847
"ssp126","Bottom",2049,6.2530300379606
"ssp126","Bottom",2050,6.27959209394677
"ssp126","Bottom",2051,5.94231837373055
"ssp126","Bottom",2052,6.655814250955
"ssp126","Bottom",2053,6.13046841732043
"ssp126","Bottom",2054,6.27343747669744
"ssp126","Bottom",2055,6.55608318043449
"ssp126","Bottom",2056,6.53900179836215
"ssp126","Bottom",2057,6.08728496221867
"ssp126","Bottom",2058,6.53747521643438
"ssp126","Bottom",2059,6.64471254955329
"ssp126","Bottom",2060,6.07358551551765
"ssp126","Bottom",2061,6.81508298815744
"ssp126","Bottom",2062,6.46405565979438
"ssp126","Bottom",2063,6.1659154123855
"ssp126","Bottom",2064,6.05651971802069
"ssp126","Bottom",2065,6.02002942283533
"ssp126","Bottom",2066,6.4332680232015
"ssp126","Bottom",2067,6.54710091786395
"ssp126","Bottom",2068,6.42859159574429
"ssp126","Bottom",2069,6.1559942926543
"ssp126","Bottom",2070,6.15098302848488
"ssp126","Bottom",2071,5.77234611479048
"ssp126","Bottom",2072,6.60664438671604
"ssp126","Bottom",2073,6.35402391541523
"ssp126","Bottom",2074,6.91026756928013
"ssp126","Bottom",2075,6.5458994366941
"ssp126","Bottom",2076,5.72815060029836
"ssp126","Bottom",2077,5.99860049981948
"ssp126","Bottom",2078,6.39626897350845
"ssp126","Bottom",2079,6.10348119939236
"ssp126","Bottom",2080,6.50251455663788
"ssp126","Bottom",2081,6.42283030786641
"ssp126","Bottom",2082,6.94774208818671
"ssp126","Bottom",2083,6.81374726083713
"ssp126","Bottom",2084,5.7561814576485
"ssp126","Bottom",2085,5.40685259190597
"ssp126","Bottom",2086,6.07572875772727
"ssp126","Bottom",2087,6.31646637899792
"ssp126","Bottom",2088,6.49199212188784
"ssp126","Bottom",2089,6.51319320634654
"ssp126","Bottom",2090,6.65181446801334
"ssp126","Bottom",2091,6.0019330595797
"ssp126","Bottom",2092,6.13856774868944
"ssp126","Bottom",2093,6.78309745709998
"ssp126","Bottom",2094,6.46796138550973
"ssp126","Bottom",2095,6.16936750222576
"ssp126","Bottom",2096,6.34041086019295
"ssp126","Bottom",2097,6.95012736268826
"ssp126","Bottom",2098,6.76198273032616
"ssp126","Bottom",2099,6.62564746394161
"ssp126","Surface",1980,6.79921865583157
"ssp126","Surface",1981,7.4581592813357
"ssp126","Surface",1982,7.86930477913169
"ssp126","Surface",1983,7.79996497810041
"ssp126","Surface",1984,7.40987031253829
"ssp126","Surface",1985,6.9624265281143
"ssp126","Surface",1986,7.919313112435
"ssp126","Surface",1987,7.42421273329713
"ssp126","Surface",1988,7.32008947814839
"ssp126","Surface",1989,7.28511462665885
"ssp126","Surface",1990,7.15953714081179
"ssp126","Surface",1991,6.93304630118979
"ssp126","Surface",1992,7.35006260414671
"ssp126","Surface",1993,7.4003562936834
"ssp126","Surface",1994,7.16161071298054
"ssp126","Surface",1995,7.23443551301704
"ssp126","Surface",1996,7.56693789672724
"ssp126","Surface",1997,8.27007375723284
"ssp126","Surface",1998,7.94907611438795
"ssp126","Surface",1999,7.22175284454193
"ssp126","Surface",2000,7.49812884515517
"ssp126","Surface",2001,8.01037390775555
"ssp126","Surface",2002,7.86635778235971
"ssp126","Surface",2003,8.61347114951598
"ssp126","Surface",2004,8.18923626135629
"ssp126","Surface",2005,8.47396493574396
"ssp126","Surface",2006,7.64794772485931
"ssp126","Surface",2007,7.24591114789687
"ssp126","Surface",2008,7.21070042958862
"ssp126","Surface",2009,7.45213621383354
"ssp126","Surface",2010,7.76671251011647
"ssp126","Surface",2011,7.32717121531919
"ssp126","Surface",2012,7.00557054072905
"ssp126","Surface",2013,7.77356731639718
"ssp126","Surface",2014,8.92955297897905
"ssp126","Surface",2015,8.96643037435941
"ssp126","Surface",2016,9.48664156418706
"ssp126","Surface",2017,8.35586997640178
"ssp126","Surface",2018,8.48014950288171
"ssp126","Surface",2019,9.22541576054562
"ssp126","Surface",2020,8.26860694542282
"ssp126","Surface",2021,8.79572847611286
"ssp126","Surface",2022,7.74940552783896
"ssp126","Surface",2023,6.90941383942642
"ssp126","Surface",2024,7.40029934866244
"ssp126","Surface",2025,7.88594415682994
"ssp126","Surface",2026,8.80609075148729
"ssp126","Surface",2027,8.47877786064142
"ssp126","Surface",2028,7.99502539949328
"ssp126","Surface",2029,9.00449084155809
"ssp126","Surface",2030,9.02013170562475
"ssp126","Surface",2031,9.3337643863508
"ssp126","Surface",2032,8.05234185014473
"ssp126","Surface",2033,8.77841985826137
"ssp126","Surface",2034,8.60686754590869
"ssp126","Surface",2035,8.23375929533716
"ssp126","Surface",2036,8.22147550339227
"ssp126","Surface",2037,8.56553259884978
"ssp126","Surface",2038,8.50990705251541
"ssp126","Surface",2039,9.18943653084073
"ssp126","Surface",2040,8.34710330985867
"ssp126","Surface",2041,9.08839084662718
