"varname","simulation","year","biomass_tonnes_km2","annual_mean_mtkm2","anomaly_ratio_mtkm2"
"Cop","ssp126",1980,49.5664737570879,39.329876530429,1.26027534611605
"Cop","ssp126",1981,35.2380574558172,39.329876530429,0.89596155809322
"Cop","ssp126",1982,33.0845099967358,39.329876530429,0.84120553928357
"Cop","ssp126",1983,35.5354917087359,39.329876530429,0.903524110512844
"Cop","ssp126",1984,39.1054164524753,39.329876530429,0.994292886279975
"Cop","ssp126",1985,40.337196379244,39.329876530429,1.02561207757761
"Cop","ssp126",1986,36.7233242878826,39.329876530429,0.93372589815964
"Cop","ssp126",1987,37.9919399008771,39.329876530429,0.965981672265948
"Cop","ssp126",1988,40.2013311839794,39.329876530429,1.02215757409958
"Cop","ssp126",1989,37.2458921833767,39.329876530429,0.947012690328688
"Cop","ssp126",1990,42.8739697551438,39.329876530429,1.09011198451062
"Cop","ssp126",1991,47.4733425470314,39.329876530429,1.20705546864104
"Cop","ssp126",1992,44.740057050495,39.329876530429,1.137559051727
"Cop","ssp126",1993,43.6637391040401,39.329876530429,1.11019263104622
"Cop","ssp126",1994,44.4416975079726,39.329876530429,1.12997297292781
"Cop","ssp126",1995,42.5742694971522,39.329876530429,1.08249181672902
"Cop","ssp126",1996,40.1860525486578,39.329876530429,1.02176910007756
"Cop","ssp126",1997,36.467200817911,39.329876530429,0.927213712194005
"Cop","ssp126",1998,35.7148525956655,39.329876530429,0.908084533853885
"Cop","ssp126",1999,36.9717844915684,39.329876530429,0.9400432381974
"Cop","ssp126",2000,39.2024110388446,39.329876530429,0.996759067080064
"Cop","ssp126",2001,40.2494352916092,39.329876530429,1.02338066737811
"Cop","ssp126",2002,40.5248043429997,39.329876530429,1.03038219079193
"Cop","ssp126",2003,38.9232984203431,39.329876530429,0.989662359866008
"Cop","ssp126",2004,34.9697406352031,39.329876530429,0.889139344440795
"Cop","ssp126",2005,37.4407560471708,39.329876530429,0.951967291791607
"Cop","ssp126",2006,39.2090223505982,39.329876530429,0.996927166050538
"Cop","ssp126",2007,38.5688555359991,39.329876530429,0.980650308072005
"Cop","ssp126",2008,40.7066051299653,39.329876530429,1.03500465094191
"Cop","ssp126",2009,40.2552942725314,39.329876530429,1.02352963761242
"Cop","ssp126",2010,40.015618300763,39.329876530429,1.01743564513363
"Cop","ssp126",2011,37.7960190461706,39.329876530429,0.961000195790807
"Cop","ssp126",2012,43.2298419920944,39.329876530429,1.09916037897165
"Cop","ssp126",2013,38.4808767659933,39.329876530429,0.97841336308852
"Cop","ssp126",2014,38.2653248331402,39.329876530429,0.972932747539515
"Cop","ssp126",2015,34.5958979246057,39.329876530429,0.879634033375094
"Cop","ssp126",2016,34.6608858506711,39.329876530429,0.88128641400271
"Cop","ssp126",2017,37.4794099331574,39.329876530429,0.952950104080802
"Cop","ssp126",2018,37.0347164289181,39.329876530429,0.94164334333124
"Cop","ssp126",2019,36.9906751680578,39.329876530429,0.940523551845849
"Cop","ssp126",2020,39.0638104435408,39.329876530429,0.993235013420843
"Cop","ssp126",2021,34.8427616553914,39.329876530429,0.885910781551374
"Cop","ssp126",2022,37.9377802829293,39.329876530429,0.964604611803887
"Cop","ssp126",2023,46.445131604864,39.329876530429,1.18091221488911
"Cop","ssp126",2024,49.2551349836535,39.329876530429,1.25235925786712
"Cop","ssp126",2025,41.3441071646817,39.329876530429,1.05121375432476
"Cop","ssp126",2026,35.4923150864703,39.329876530429,0.90242630329669
"Cop","ssp126",2027,40.7554763418404,39.329876530429,1.03624724858489
"Cop","ssp126",2028,41.3434357171795,39.329876530429,1.05119668212517
"Cop","ssp126",2029,37.8739744273355,39.329876530429,0.962982286456782
"Cop","ssp126",2030,38.2790606260752,39.329876530429,0.973281993307535
"Cop","ssp126",2031,38.651099824098,39.329876530429,0.982741448328578
"Cop","ssp126",2032,42.0093386121501,39.329876530429,1.06812790474051
"Cop","ssp126",2033,40.1040377877971,39.329876530429,1.01968379577213
"Cop","ssp126",2034,39.3625048537285,39.329876530429,1.00082960655303
"Cop","ssp126",2035,40.2596249184156,39.329876530429,1.02363974845604
"Cop","ssp126",2036,37.5820977360297,39.329876530429,0.955561040395154
"Cop","ssp126",2037,36.4740213566193,39.329876530429,0.927387130961365
"Cop","ssp126",2038,38.6366984584828,39.329876530429,0.982375279733973
"Cop","ssp126",2039,35.8114563071964,39.329876530429,0.910540776284654
"Cop","ssp126",2040,40.6125456016281,39.329876530429,1.03261309681984
"Cop","ssp126",2041,35.6204118423313,39.329876530429,0.905683286718997
"Cop","ssp126",2042,36.2626444741539,39.329876530429,0.922012670090585
"Cop","ssp126",2043,36.7922396454198,39.329876530429,0.935478137515995
"Cop","ssp126",2044,44.102615955814,39.329876530429,1.12135149780326
"Cop","ssp126",2045,39.7840463061767,39.329876530429,1.01154770408181
"Cop","ssp126",2046,35.6279896613318,39.329876530429,0.905875960067326
"Cop","ssp126",2047,38.9216155604269,39.329876530429,0.989619571531422
"Cop","ssp126",2048,40.0395169632023,39.329876530429,1.0180432916494
"Cop","ssp126",2049,35.6595116026972,39.329876530429,0.906677435793826
"Cop","ssp126",2050,36.6431564821956,39.329876530429,0.931687554468807
"Cop","ssp126",2051,38.43747586055,39.329876530429,0.977309853256502
"Cop","ssp126",2052,34.2758218246076,39.329876530429,0.871495790181005
"Cop","ssp126",2053,39.5064467727165,39.329876530429,1.00448946851259
"Cop","ssp126",2054,44.3380008263306,39.329876530429,1.12733638489882
"Cop","ssp126",2055,38.2205206592761,39.329876530429,0.971793558256035
