,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
47,"Tiger prawn adult",3.30613303,1.00000000,0.13979720,0.13979730,2.33999991,,19.1999893,0.89611453,0.12187500,,
48,"All other commercial prawns",3.29298902,1.00000000,3.72988105,3.72988105,,1.87500000,25.0000000,0.97000009,0.07500000,,
49,"Thallasinid prawns (Callianassa)",3.18958592,1.00000000,3.41475391,3.41475391,,2.50000000,25.0000000,0.97000003,0.10000000,,
50,"All other non-commercial prawns",3.19112897,1.00000000,35.27379990,35.27379990,,2.29999995,25.0000000,0.94999999,0.09200000,,
51,"Rock lobster",3.32872200,1.00000000,0.039999999,0.039999999,,0.89999998,7.40000010,0.59039438,0.12162160,,
52,"Slipper lobsters",3.13734508,1.00000000,1.64318097,1.64318097,,0.89999998,7.40000010,0.89999998,0.12162160,,
53,"The mud crab",3.13941693,1.00000000,0.46879029,0.46879029,,2.79999995,10.9499998,0.85000008,0.25570780,,
54,"Sand crab",3.16164088,1.00000000,0.58726859,0.58726859,,3.20000005,10.9499998,0.89999992,0.29223749,,
55,"Other large crabs",2.95819211,1.00000000,16.50719070,16.50719070,,2.79999995,10.9499998,0.94999999,0.25570780,,
56,"Large gastropods",3.30756807,1.00000000,0.09282868,0.09282868,,2.79999995,14.0000000,0.80000007,0.20000000,,
57,Holothurians,2.12428689,1.00000000,0.64999998,0.64999998,,0.61000001,3.35999990,0.69742358,0.18154760,,
58,Spatangoids,2.92904496,1.00000000,2.29999995,2.29999995,,1.50000000,2.80999994,0.96890378,0.53380781,,
59,Echinoids,2.01588202,1.00000000,0.62170237,0.62170237,,1.64999998,2.80999994,0.80000001,0.58718860,,
60,Ophioroids,2.12166691,1.00000000,40.96863937,40.96863937,,1.60000002,2.80999994,0.98000008,0.56939512,,
61,Asteriods,2.54748797,1.00000000,0.064999998,0.064999998,,0.49000001,3.24000001,0.75910610,0.15123460,,
62,"Sessile epibenthos",2.43228793,1.00000000,30.94285011,30.94285011,,0.80000001,9.00000000,0.80000007,0.08888889,,
63,Bivalves,2.11360002,1.00000000,197.82679749,197.82679749,,1.26900005,23.0000000,0.89999992,0.05517391,,
64,"Small crustaceans",2.44248104,1.00000000,44.70783997,44.70783997,,7.01000023,27.1399994,0.98999989,0.25829041,,
65,Worms,2.31356001,1.00000000,72.37660980,72.37660980,,6.84999990,27.3999996,0.97999978,0.25000000,,
66,"Small gastropods",2.64299989,1.00000000,45.67100906,45.67100906,,2.50000000,14.0000000,0.98000002,0.17857140,,
