,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
47,"Tiger prawn juvenile",3.42602205,1.00000000,0.011516490,0.011516490,3.40000010,,45.2344589,0.13499580,0.07516394,,
48,"Tiger prawn subadults",3.32425904,1.00000000,0.021100000,0.021100000,3.20000005,,28.1602592,0.91230911,0.11363530,,
49,"Tiger prawn adult",3.31852007,1.00000000,0.12090320,0.12090330,2.33999991,,19.2000008,0.68114698,0.12187500,,
50,"All other commercial prawns",3.29928303,1.00000000,0.10184450,0.10184450,,3.00000000,25.0000000,0.89999998,0.12000000,,
51,"Thallasinid prawns (Callianassa)",3.17267609,1.00000000,0.83459520,0.83459520,,3.00000000,25.0000000,0.94999993,0.12000000,,
52,"All other non-commercial prawns",3.17301893,1.00000000,9.17155457,9.17155457,,3.00000000,25.0000000,0.94999999,0.12000000,,
53,Crayfish,2.87302589,1.00000000,0.01173590,0.01173590,,3.00000000,25.0000000,0.94999993,0.12000000,,
54,"The mud crab",3.06565595,1.00000000,0.06163659,0.06163659,,2.79999995,8.50000000,0.89999998,0.32941169,,
55,"Red mud crab",3.06646204,1.00000000,0.05090929,0.05090929,,2.79999995,8.50000000,0.90000010,0.32941169,,
56,"Sand crab",3.11523390,1.00000000,0.06443702,0.06443702,,2.79999995,8.50000000,0.90000021,0.32941169,,
57,"Other large crabs",2.97727609,1.00000000,4.72275877,4.72275877,,2.79999995,8.50000000,0.89999998,0.32941169,,
58,"Large gastropods",3.28303695,1.00000000,0.022800000,0.022800000,,2.79999995,14.0000000,0.39515850,0.20000000,,
59,Holothurians,2.15915799,1.00000000,0.064999998,0.064999998,,0.61000001,3.35999990,0.97997260,0.18154760,,
60,Spatangoids,2.93277097,1.00000000,2.14249992,2.14249992,,1.39999998,2.80999994,0.14408620,0.49822071,,
61,Echinoids,2.01409602,1.00000000,0.084899999,0.084899999,,1.64999998,2.80999994,0.70759910,0.58718860,,
