,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Baleen whales",3.93476701,1.00000000,0.030901140,0.030901140,0.020000000,4.84999990,0.30127609,0.00412371,,
2,"Toothed whales and dolphins",4.69066095,1.00000000,0.061803311,0.061803311,0.070000000,14.5500002,0.70146757,0.00481100,,
3,Turtles,2.18163300,1.00000000,0.04398916,0.04398916,0.15000001,3.50000000,0.94999993,0.04285714,,
4,Seabirds,3.70056200,1.00000000,0.0049999999,0.0049999999,0.015000000,86.4100037,0.13239279,0.00017359,,
5,"L Deep Sharks and Rays",4.36672211,1.00000000,0.027142340,0.027142340,0.20000000,4.46000004,0.05977559,0.04484305,,
6,"L Coastal Sharks and Rays",4.28565788,1.00000000,0.014353000,0.014353000,0.46000001,4.50000000,0.02059730,0.10222220,,
7,"M Deep Sharks and Rays",4.41815615,1.00000000,0.010801130,0.010801130,0.44000000,7.98999977,0.67431653,0.05506884,,
8,"M Coastal Sharks and Rays",4.07866383,1.00000000,0.050655238,0.050655238,0.58999997,7.98999977,0.21035480,0.07384230,,
9,"Large Tuna",4.29753208,1.00000000,0.02882205,0.02882205,0.99000001,4.84999990,0.94999999,0.20412371,,
10,"Small Tuna",4.23253918,1.00000000,0.01923657,0.01923657,1.40999997,6.59999990,0.94999999,0.21363640,,
11,"Large pelagic predators",4.24739504,1.00000000,0.06098221,0.06098221,0.69999999,6.26000023,0.95000011,0.11182110,,
12,Jacks,4.18626785,1.00000000,0.03274934,0.03274934,1.03999996,9.46000004,0.94999999,0.10993660,,
13,"Small pelagic predators",3.58493209,1.00000000,0.21522550,0.21522550,1.38999999,14.0799999,0.94999999,0.09872159,,
14,"Small pelagic invert feeders",3.29810810,1.00000000,1.02108800,1.02108800,2.50000000,13.6499996,0.94999999,0.18315020,,
15,"Scads and mackerels",2.88476610,1.00000000,0.69137043,0.69137043,1.22000003,10.0600004,0.94999993,0.12127240,,
16,"Bongo shad",2.51734710,1.00000000,0.59791118,0.59791118,0.87000000,13.5100002,0.94999993,0.06439674,,
17,Sardinellas,2.45215797,1.00000000,0.69977468,0.69977468,1.73000002,11.8299999,0.94999999,0.14623840,,
