"Species","Fopt_Simultaneous","F40_ABC","F35_OFL","Abs_Diff","Rel_Diff_Pct"
"walleye_pollock_adult",0.440815993585383,0.313477601027052,0.360788022845976,0.127338392558331,40.6212092139655
"pacific_cod_adult",0.324881237828805,0.341262391159968,0.389352856347432,-0.016381153331163,-4.8001636592538
"arrowtooth_flounder_adult",0.13843363558182,0.150817280746092,0.169494862774834,-0.012383645164272,-8.2110253022067
"flathead_sole_adult",0.629708794822324,0.12679760100434,0.139789979291353,0.502911193817984,396.625161571092
"octopus",0.986503780089795,0.739556618279913,0.864060853391647,0.246947161809882,33.391244885392
"deep_water_flatfish",0.411609050602349,0.264832050569543,0.318853675311515,0.146777000032806,55.422672279629
"sablefish_adult",0.0106990658359851,0.131576094416956,0.131576220739442,-0.120877028580971,-91.8685329564763
"shallow_water_flatfish",0.222202082696423,0.167169731390854,0.196186411589854,0.055032351305569,32.9200451053542
"rex_sole_adult",0.6442791201983,0.194360314542642,0.216494298185849,0.449918805655658,231.486970166473
"pacific_ocean_perch_adult",0.437674213058789,0.0370047246877456,0.0408873627604981,0.400669488371043,1082.75221860036
"slope_rockfish",0.675062316037052,0.0532774959510534,0.0610829212393191,0.621784820085999,1167.06837908928
"demersal_shelf_rockfish",0.658767915412952,0.0480684436724699,0.0558352972611124,0.610699471740482,1270.47895121567
"pelagic_shelf_rockfish",0.329894950219007,0.0421854097033802,0.0479676664401828,0.287709540515627,682.011946117129
"atka_mackerel",0.65043727684152,0.207229944706924,0.235201205169506,0.443207332134596,213.872242557745
"big_skate",0.0930419087247963,0.110039135802855,0.126366415179986,-0.0169972270780587,-15.4465289095377
"longnose_skate",0.673158644091788,0.112670673141903,0.130425786111596,0.560487970949885,497.456836234049
"other_skates",0.480915355106809,0.198695538931217,0.241653947802253,0.282219816175592,142.036311571608
"pacific_halibut_adult",0.687390886569895,0.0329362585027533,0.0366152720686299,0.654454628067142,1987.0338585729
"salmon_shark",0.851166260956436,0.0522283204447723,0.0577606470825737,0.798937940511664,1529.70250318399
"pacific_sleeper_shark",0.658979937972259,0.0511954392175524,0.05912178469032,0.607784498754707,1187.18482773457
