"","B20","B25","B30","B35","B40","B50","B60","B70","B0","Blim","Btarget_SQ"
"walleye_pollock_adult",2.22838726445551,2.78548408056939,3.34258089668327,3.89967771279714,4.45677452891102,5.57096816113878,6.68516179336653,7.79935542559429,11.1419363222776,0.222838726445551,4.45677452891102
"pacific_cod_adult",0.509537134104265,0.636921417630331,0.764305701156398,0.891689984682464,1.01907426820853,1.27384283526066,1.5286114023128,1.78337996936493,2.54768567052133,0.509537134104265,1.01907426820853
"arrowtooth_flounder_adult",1.55619511736948,1.94524389671185,2.33429267605422,2.72334145539659,3.11239023473897,3.89048779342371,4.66858535210845,5.44668291079319,7.78097558684741,0.155619511736948,3.11239023473897
"flathead_sole_adult",0.213282360306635,0.266602950383294,0.319923540459953,0.373244130536612,0.426564720613271,0.533205900766588,0.639847080919906,0.746488261073224,1.06641180153318,0.0213282360306635,0.426564720613271
"octopus",0.630750738958873,0.788438423698591,0.946126108438309,1.10381379317803,1.26150147791775,1.57687684739718,1.89225221687662,2.20762758635605,3.15375369479436,0.0630750738958873,1.26150147791775
"deep_water_flatfish",0.0471117382800069,0.0588896728500087,0.0706676074200104,0.0824455419900122,0.0942234765600139,0.117779345700017,0.141335214840021,0.164891083980024,0.235558691400035,0.00471117382800069,0.0942234765600139
"sablefish_adult",0.217100356360255,0.271375445450318,0.325650534540382,0.379925623630446,0.434200712720509,0.542750890900637,0.651301069080764,0.759851247260891,1.08550178180127,0.0217100356360255,0.434200712720509
"shallow_water_flatfish",0.835867911385741,1.04483488923218,1.25380186707861,1.46276884492505,1.67173582277148,2.08966977846435,2.50760373415722,2.9255376898501,4.17933955692871,0.0835867911385741,1.67173582277148
"rex_sole_adult",0.0626163346996,0.0782704183745,0.0939245020494,0.1095785857243,0.1252326693992,0.156540836749,0.1878490040988,0.2191571714486,0.313081673498,0.00626163346996,0.1252326693992
"pacific_ocean_perch_adult",0.150684705541587,0.188355881926983,0.22602705831238,0.263698234697777,0.301369411083173,0.376711763853967,0.45205411662476,0.527396469395553,0.753423527707934,0.0150684705541587,0.301369411083173
"slope_rockfish",0.476384319375029,0.595480399218787,0.714576479062544,0.833672558906301,0.952768638750059,1.19096079843757,1.42915295812509,1.6673451178126,2.38192159687515,0.0476384319375029,0.952768638750059
"demersal_shelf_rockfish",0.00950037322536046,0.0118754665317006,0.0142505598380407,0.0166256531443808,0.0190007464507209,0.0237509330634012,0.0285011196760814,0.0332513062887616,0.0475018661268023,0.000950037322536046,0.0190007464507209
"pelagic_shelf_rockfish",0.0712434792817836,0.0890543491022295,0.106865218922675,0.124676088743121,0.142486958563567,0.178108698204459,0.213730437845351,0.249352177486243,0.356217396408918,0.00712434792817836,0.142486958563567
"atka_mackerel",0.0323915426321433,0.0404894282901792,0.048587313948215,0.0566851996062508,0.0647830852642867,0.0809788565803583,0.09717462789643,0.113370399212502,0.161957713160717,0.00323915426321433,0.0647830852642867
"big_skate",0.0186780911857354,0.0233476139821693,0.0280171367786032,0.032686659575037,0.0373561823714709,0.0466952279643386,0.0560342735572063,0.065373319150074,0.0933904559286772,0.00186780911857354,0.0373561823714709
"longnose_skate",0.0168793985976149,0.0210992482470187,0.0253190978964224,0.0295389475458261,0.0337587971952299,0.0421984964940374,0.0506381957928448,0.0590778950916523,0.0843969929880747,0.00168793985976149,0.0337587971952299
"other_skates",0.0130746680060161,0.0163433350075202,0.0196120020090242,0.0228806690105282,0.0261493360120322,0.0326866700150403,0.0392240040180484,0.0457613380210564,0.0653733400300806,0.00130746680060161,0.0261493360120322
"pacific_halibut_adult",0.77306295768878,0.966328697110975,1.15959443653317,1.35286017595537,1.54612591537756,1.93265739422195,2.31918887306634,2.70572035191073,3.8653147884439,0.077306295768878,1.54612591537756
"salmon_shark",0.00754693894029804,0.00943367367537255,0.0113204084104471,0.0132071431455216,0.0150938778805961,0.0188673473507451,0.0226408168208941,0.0264142862910431,0.0377346947014902,0.000754693894029804,0.0150938778805961
"pacific_sleeper_shark",0.00738451036585048,0.0092306379573131,0.0110767655487757,0.0129228931402383,0.014769020731701,0.0184612759146262,0.0221535310975514,0.0258457862804767,0.0369225518292524,0.000738451036585048,0.014769020731701
