"","x"
"1991.1",0.838451429196384
"1991.2",0.838451429196384
"1991.3",0.838451429196384
"1991.4",0.838451429196384
"1991.5",0.838451429196384
"1991.6",0.838451429196384
"1991.7",0.838451429196384
"1991.8",0.838451429196384
"1991.9",0.838451429196384
"1991.10",0.838451429196384
"1991.11",0.838451429196384
"1991.12",0.838451429196384
"1992.1",0.98537704142935
"1992.2",0.98537704142935
"1992.3",0.98537704142935
"1992.4",0.98537704142935
"1992.5",0.98537704142935
"1992.6",0.98537704142935
"1992.7",0.98537704142935
"1992.8",0.98537704142935
"1992.9",0.98537704142935
"1992.10",0.98537704142935
"1992.11",0.98537704142935
"1992.12",0.98537704142935
"1993.1",0.944768283511517
"1993.2",0.944768283511517
"1993.3",0.944768283511517
"1993.4",0.944768283511517
"1993.5",0.944768283511517
"1993.6",0.944768283511517
"1993.7",0.944768283511517
"1993.8",0.944768283511517
"1993.9",0.944768283511517
"1993.10",0.944768283511517
"1993.11",0.944768283511517
"1993.12",0.944768283511517
"1994.1",0.952599101303649
"1994.2",0.952599101303649
"1994.3",0.952599101303649
"1994.4",0.952599101303649
"1994.5",0.952599101303649
"1994.6",0.952599101303649
"1994.7",0.952599101303649
"1994.8",0.952599101303649
"1994.9",0.952599101303649
"1994.10",0.952599101303649
"1994.11",0.952599101303649
"1994.12",0.952599101303649
"1995.1",0.905511902089612
"1995.2",0.905511902089612
"1995.3",0.905511902089612
"1995.4",0.905511902089612
"1995.5",0.905511902089612
"1995.6",0.905511902089612
"1995.7",0.905511902089612
"1995.8",0.905511902089612
"1995.9",0.905511902089612
"1995.10",0.905511902089612
"1995.11",0.905511902089612
"1995.12",0.905511902089612
"1996.1",0.986807535256783
"1996.2",0.986807535256783
"1996.3",0.986807535256783
"1996.4",0.986807535256783
"1996.5",0.986807535256783
"1996.6",0.986807535256783
"1996.7",0.986807535256783
"1996.8",0.986807535256783
"1996.9",0.986807535256783
"1996.10",0.986807535256783
"1996.11",0.986807535256783
"1996.12",0.986807535256783
"1997.1",0.984283911673561
"1997.2",0.984283911673561
"1997.3",0.984283911673561
"1997.4",0.984283911673561
"1997.5",0.984283911673561
"1997.6",0.984283911673561
"1997.7",0.984283911673561
"1997.8",0.984283911673561
"1997.9",0.984283911673561
"1997.10",0.984283911673561
"1997.11",0.984283911673561
"1997.12",0.984283911673561
"1998.1",0.931014371557336
"1998.2",0.931014371557336
"1998.3",0.931014371557336
"1998.4",0.931014371557336
"1998.5",0.931014371557336
"1998.6",0.931014371557336
"1998.7",0.931014371557336
"1998.8",0.931014371557336
"1998.9",0.931014371557336
"1998.10",0.931014371557336
"1998.11",0.931014371557336
"1998.12",0.931014371557336
"1999.1",0.944777226890406
"1999.2",0.944777226890406
"1999.3",0.944777226890406
"1999.4",0.944777226890406
"1999.5",0.944777226890406
"1999.6",0.944777226890406
"1999.7",0.944777226890406
"1999.8",0.944777226890406
"1999.9",0.944777226890406
"1999.10",0.944777226890406
"1999.11",0.944777226890406
"1999.12",0.944777226890406
"2000.1",0.983263523670828
"2000.2",0.983263523670828
"2000.3",0.983263523670828
"2000.4",0.983263523670828
"2000.5",0.983263523670828
"2000.6",0.983263523670828
"2000.7",0.983263523670828
"2000.8",0.983263523670828
"2000.9",0.983263523670828
"2000.10",0.983263523670828
"2000.11",0.983263523670828
"2000.12",0.983263523670828
"2001.1",0.946236186058087
"2001.2",0.946236186058087
"2001.3",0.946236186058087
"2001.4",0.946236186058087
"2001.5",0.946236186058087
"2001.6",0.946236186058087
"2001.7",0.946236186058087
"2001.8",0.946236186058087
"2001.9",0.946236186058087
"2001.10",0.946236186058087
"2001.11",0.946236186058087
"2001.12",0.946236186058087
"2002.1",0.992783400203953
"2002.2",0.992783400203953
"2002.3",0.992783400203953
"2002.4",0.992783400203953
"2002.5",0.992783400203953
"2002.6",0.992783400203953
"2002.7",0.992783400203953
"2002.8",0.992783400203953
"2002.9",0.992783400203953
