"Model","Num_Parameters","AICc","NLL","NLLp","Time_Min","converged_s1","converged_s2","Delta_AICc"
"Base_59M04par",63,28022.8943041489,13946.2402555227,14882.6388325575,4.26,TRUE,TRUE,0
"Base_pcod_59M04par",63,28050.5191354245,13960.0526711605,14877.9613808174,4.38,TRUE,TRUE,27.6248312756215
"Bioen_59M04par",63,28224.8127657383,14047.1994863174,14728.848582596,4.98,TRUE,TRUE,201.918461589416
"Bioen_pcod_59M04par",63,28260.7466768958,14065.1664418962,14722.800134537,4.17,TRUE,TRUE,237.8523727469
"Base_pcod_59M03par_noM0cod",62,28514.8429309208,14193.2847039724,15111.1934136293,4.51,TRUE,TRUE,491.948626771871
"Bioen_pcod_59M03par_noM0cod",62,28548.7847670198,14210.2556220219,14867.8893146627,5.83,TRUE,TRUE,525.890462870851
"Full_59M04par",63,28783.563954678,14326.5750807873,15070.6666980517,4.48,TRUE,TRUE,760.669650529104
"Full_pcod_59M04par",63,28784.9545652143,14327.2703860554,15067.4226576246,4.1,TRUE,TRUE,762.060261065344
"Base_59M03par",62,28945.9710997284,14408.8487883762,15345.247365411,4.23,TRUE,TRUE,923.076795579484
"Base_pcod_59M03par",62,28973.2453398415,14422.4859084328,15340.3946180896,5.73,TRUE,TRUE,950.351035692605
"Full_pcod_59M03par_noM0cod",62,29047.1724666104,14459.4494718172,15199.6017433865,5.82,TRUE,TRUE,1024.2781624615
"Bioen_59M03par",62,29118.3914178526,14495.0589474383,15176.7080437169,5.03,TRUE,TRUE,1095.4971137037
"Bioen_pcod_59M03par",62,29163.0435258401,14517.3850014321,15175.0186940729,5.41,TRUE,TRUE,1140.14922169113
"Bioen_61M02par",63,29344.065850335,14606.8260286158,15282.6864749195,4.45,TRUE,TRUE,1321.17154618608
"Bioen_61M02par",63,29344.065850335,14606.8260286158,15282.6864749195,4.45,TRUE,TRUE,1321.17154618608
"Bioen_pcod_63par",63,29371.6125826978,14620.5993947972,15316.9882365524,7.19,TRUE,NA,1348.71827854884
"Bioen_63par",63,29398.7730094703,14634.1796081834,15459.2333246559,4.29,TRUE,NA,1375.87870532139
"Base_pcod_63par",63,29455.4529678211,14662.5195873588,15624.9375837728,3.71,TRUE,NA,1432.55866367215
"Base_61M02par",63,29610.3326580205,14739.9594324585,15671.6792679213,5.66,TRUE,TRUE,1587.43835387157
"Base_61M02par",63,29610.3326580205,14739.9594324585,15671.6792679213,5.66,TRUE,TRUE,1587.43835387157
"Base_63par",63,29671.4869041352,14770.5365555159,15702.5850928231,4.85,TRUE,NA,1648.59259998623
"Full_59M03par",62,29750.4632135218,14811.0948452729,15555.1864625373,4.56,TRUE,TRUE,1727.56890937289
"Full_pcod_59M03par",62,29751.9296523466,14811.8280646853,15551.9803362545,5.86,TRUE,TRUE,1729.03534819764
"Full_61M02par",63,29955.7968332604,14912.6915200785,15656.8249233078,5.31,TRUE,TRUE,1932.90252911146
"Full_61M02par",63,29955.7968332604,14912.6915200785,15656.8249233078,5.31,TRUE,TRUE,1932.90252911146
"Full_pcod_63par",63,30074.0847099452,14971.8354584209,15714.8168720933,5.92,TRUE,NA,2051.19040579628
"Full_63par",63,30520.7132226164,15195.1497147565,16016.1957697854,18.32,TRUE,NA,2497.81891846743
"PrimProd_pcod_59M04par",63,30747.9576880491,15308.7719474728,15835.882218264,3.34,TRUE,TRUE,2725.06338390013
"PrimProd_59M04par",63,30757.7320555648,15313.6591312307,15847.8565019808,2.79,TRUE,TRUE,2734.83775141586
"PrimProd_pcod_59M03par_noM0cod",62,31090.7518687541,15481.2391728891,16008.3494436803,4.23,TRUE,TRUE,3067.85756460515
"PrimProd_pcod_59M03par",62,31717.4612336457,15794.5938553349,16321.7041261261,4.51,TRUE,FALSE,3694.56692949679
"PrimProd_59M03par",62,31727.3944980174,15799.5604875207,16333.7578582708,2.87,TRUE,TRUE,3704.50019386845
"PrimProd_63par",63,31895.2274598519,15882.4068333742,16473.8846758622,2.32,TRUE,NA,3872.33315570294
"PrimProd_61M02par",63,32195.7764253897,16032.6813161431,16567.0063377807,3.11,TRUE,TRUE,4172.88212124073
"PrimProd_61M02par",63,32195.7764253897,16032.6813161431,16567.0063377807,3.11,TRUE,TRUE,4172.88212124073
"PrimProd_pcod_63par",63,32224.2797093525,16046.9329581245,16574.4009080665,2.78,TRUE,NA,4201.38540520358
