"Model","Num_Parameters","AICc","NLL","NLLp","Time_Min","converged_s1","converged_s2","Delta_AICc"
"Base_pcod_59M04par",63,25248.0411468305,12558.8292690674,13308.1701417601,5.03,TRUE,TRUE,0
"Base_pcod_59M03par_noM0poll",62,25388.0745678,12629.9156108962,13379.2564835889,4.72,TRUE,TRUE,140.033420969576
"Bioen_pcod_59M04par",63,25462.9167059051,12666.2670486047,13156.7255835626,4.78,TRUE,TRUE,214.87555907467
"Bioen_pcod_59M03par_noM0poll",62,25468.4073275175,12670.081990755,13160.5405257128,4.77,TRUE,TRUE,220.366180687084
"Full_pcod_59M04par",63,26124.0217890148,12996.8195901596,13666.3498548676,4.48,TRUE,TRUE,875.980642184368
"Full_pcod_59M03par_noM0poll",62,26130.4132396088,13001.0849468006,13670.6152115086,4.26,TRUE,TRUE,882.372092778307
"Base_pcod_59M03par",62,26172.1549914374,13021.9558227149,13771.2966954076,4.95,TRUE,TRUE,924.113844606978
"Base_pcod_61M02par",63,26313.4244887381,13091.5209400212,13834.5398437987,5.76,TRUE,TRUE,1065.38334190759
"Bioen_pcod_61M02par",63,26364.9090968164,13117.2632440604,13608.4053106763,7.23,TRUE,TRUE,1116.86794998597
"Bioen_pcod_59M03par",62,26373.5631015603,13122.6598777764,13613.1184127342,4.94,TRUE,TRUE,1125.52195472986
"Bioen_pcod_63par",63,26401.1444124349,13135.3809018696,13662.6368285564,6.41,TRUE,NA,1153.1032656044
"Base_pcod_63par",63,26461.1319969895,13165.3746941469,13909.4553097701,5.06,TRUE,NA,1213.09085015907
"Full_pcod_61M02par",63,26955.2703648563,13412.4438780803,14032.4907850239,9.56,TRUE,TRUE,1707.22921802586
"Full_pcod_63par",63,27106.7748706951,13488.1961309997,14109.3641088409,7.56,TRUE,NA,1858.7337238646
"Full_pcod_59M03par",62,27109.3857838686,13490.5712189305,14160.1014836385,4.7,TRUE,TRUE,1861.34463703819
"PrimProd_pcod_59M04par",63,27517.2234358865,13693.4204135954,14117.2764859477,3.31,TRUE,TRUE,2269.18228905601
"PrimProd_pcod_59M03par_noM0poll",62,27712.8882798684,13792.3224669304,14216.1785392827,3.17,TRUE,TRUE,2464.84713303797
"Base_59M04par",63,28022.8943041489,13946.2402555227,14882.6388325575,4.26,TRUE,TRUE,2774.85315731846
"Bioen_59M04par",63,28224.8127657383,14047.1994863174,14728.848582596,4.98,TRUE,TRUE,2976.77161890788
"PrimProd_pcod_59M03par",62,28496.826315618,14184.2914848052,14608.1475571575,3.37,TRUE,TRUE,3248.78516878757
"PrimProd_pcod_61M02par",63,28613.4202879493,14241.5188396268,14666.4755940658,3.61,TRUE,TRUE,3365.37914111886
"Full_59M04par",63,28783.563954678,14326.5750807873,15070.6666980517,4.48,TRUE,TRUE,3535.52280784757
"PrimProd_pcod_63par",63,28849.6200382626,14359.6187147835,14784.9776819619,3.38,TRUE,NA,3601.57889143213
"Base_59M03par",62,28945.9710997284,14408.8487883762,15345.247365411,4.23,TRUE,TRUE,3697.92995289795
"Bioen_59M03par",62,29118.3914178526,14495.0589474383,15176.7080437169,5.03,TRUE,TRUE,3870.35027102216
"Bioen_61M02par",63,29344.065850335,14606.8260286158,15282.6864749195,4.45,TRUE,TRUE,4096.02470350454
"Bioen_63par",63,29398.7730094703,14634.1796081834,15459.2333246559,4.29,TRUE,NA,4150.73186263985
"Base_61M02par",63,29610.3326580205,14739.9594324585,15671.6792679213,5.66,TRUE,TRUE,4362.29151119004
"Base_63par",63,29671.4869041352,14770.5365555159,15702.5850928231,4.85,TRUE,NA,4423.44575730469
"Full_59M03par",62,29750.4632135218,14811.0948452729,15555.1864625373,4.56,TRUE,TRUE,4502.42206669136
"Full_61M02par",63,29955.7968332604,14912.6915200785,15656.8249233078,5.31,TRUE,TRUE,4707.75568642993
"Full_63par",63,30520.7132226164,15195.1497147565,16016.1957697854,18.32,TRUE,NA,5272.6720757859
"PrimProd_59M04par",63,30757.7320555648,15313.6591312307,15847.8565019808,2.79,TRUE,TRUE,5509.69090873432
"PrimProd_59M03par",62,31727.3944980174,15799.5604875207,16333.7578582708,2.87,TRUE,TRUE,6479.35335118691
"PrimProd_63par",63,31895.2274598519,15882.4068333742,16473.8846758622,2.32,TRUE,NA,6647.1863130214
"PrimProd_61M02par",63,32195.7764253897,16032.6813161431,16567.0063377807,3.11,TRUE,TRUE,6947.7352785592
"Bioen_pcod_NoFit",NA,47271.5170620595,23634.7574795051,NA,NA,NA,NA,22023.4759152291
"Base_pcod_NoFit",NA,48683.665692983,24340.8317949668,NA,NA,NA,NA,23435.6245461525
"Full_pcod_NoFit",NA,54941.3670763556,27469.6824866531,NA,NA,NA,NA,29693.3259295251
"PrimProd_pcod_NoFit",NA,56740.7088775287,28369.3533872396,NA,NA,NA,NA,31492.6677306982
