"Model","Interaction","Has_Cod_Rec","Pollock_TS","Param_Set","Num_Parameters","AICc","NLL","NLLp","Time_Min","converged_s1","converged_s2","Delta_AICc"
"PrimProd_pcod_61M02par","PrimProd",TRUE,1,"61M02par",63,28521.4181314005,14195.5021691485,14621.352492101,3.79,TRUE,TRUE,3416.34453703347
"PrimProd_pcod_61M02par_v1","PrimProd",TRUE,2,"61M02par",63,28613.4202879493,14241.5188396268,14666.4755940658,3.61,TRUE,TRUE,3508.3466935823
"PrimProd_pcod_63par","PrimProd",TRUE,1,"63par",63,28718.7453437272,14294.1657753119,14720.4201727252,3.44,TRUE,NA,3613.67174936019
"Full_59M04par","Full",FALSE,NA,"59M04par",63,28783.563954678,14326.5750807873,15070.6666980517,4.48,TRUE,TRUE,3678.49036031101
"PrimProd_pcod_63par_v1","PrimProd",TRUE,2,"63par",63,28849.6200382626,14359.6187147835,14784.9776819619,3.38,TRUE,NA,3744.54644389558
"Base_59M03par","Base",FALSE,NA,"59M03par",62,28945.9710997284,14408.8487883762,15345.247365411,4.23,TRUE,TRUE,3840.89750536139
"Bioen_59M03par","Bioen",FALSE,NA,"59M03par",62,29118.3914178526,14495.0589474383,15176.7080437169,5.03,TRUE,TRUE,4013.3178234856
"Bioen_61M02par","Bioen",FALSE,NA,"61M02par",63,29344.065850335,14606.8260286158,15282.6864749195,4.45,TRUE,TRUE,4238.99225596798
"Bioen_63par","Bioen",FALSE,NA,"63par",63,29398.7730094703,14634.1796081834,15459.2333246559,4.29,TRUE,NA,4293.6994151033
"Base_61M02par","Base",FALSE,NA,"61M02par",63,29610.3326580205,14739.9594324585,15671.6792679213,5.66,TRUE,TRUE,4505.25906365348
"Base_63par","Base",FALSE,NA,"63par",63,29671.4869041352,14770.5365555159,15702.5850928231,4.85,TRUE,NA,4566.41330976813
"Full_59M03par","Full",FALSE,NA,"59M03par",62,29750.4632135218,14811.0948452729,15555.1864625373,4.56,TRUE,TRUE,4645.3896191548
"Full_61M02par","Full",FALSE,NA,"61M02par",63,29955.7968332604,14912.6915200785,15656.8249233078,5.31,TRUE,TRUE,4850.72323889337
"Full_63par","Full",FALSE,NA,"63par",63,30520.7132226164,15195.1497147565,16016.1957697854,18.32,TRUE,NA,5415.63962824934
"PrimProd_59M04par","PrimProd",FALSE,NA,"59M04par",63,30757.7320555648,15313.6591312307,15847.8565019808,2.79,TRUE,TRUE,5652.65846119776
"PrimProd_59M03par","PrimProd",FALSE,NA,"59M03par",62,31727.3944980174,15799.5604875207,16333.7578582708,2.87,TRUE,TRUE,6622.32090365035
"PrimProd_63par","PrimProd",FALSE,NA,"63par",63,31895.2274598519,15882.4068333742,16473.8846758622,2.32,TRUE,NA,6790.15386548484
"PrimProd_61M02par","PrimProd",FALSE,NA,"61M02par",63,32195.7764253897,16032.6813161431,16567.0063377807,3.11,TRUE,TRUE,7090.70283102264
"Bioen_pcod_NoFit","Bioen",TRUE,1,"NoFit",NA,47138.7741779767,23568.3860302271,NA,NA,NA,NA,22033.7005836096
"Base_pcod_NoFit","Base",TRUE,1,"NoFit",NA,48550.9880338103,24274.4929581439,NA,NA,NA,NA,23445.9144394433
"Full_pcod_NoFit","Full",TRUE,1,"NoFit",NA,54818.8000393513,27408.3989609144,NA,NA,NA,NA,29713.7264449843
"PrimProd_pcod_NoFit","PrimProd",TRUE,1,"NoFit",NA,56618.1586295647,28308.0782560211,NA,NA,NA,NA,31513.0850351977
