"year","model","species_name","jcat","bio_tons","varest_tons","se_tons","bio_tkm2","se_tkm2","cv"
1990,"WGOA","Arrowtooth flounder","adu",1577606.44098605,46013625356.193,214507.867818859,6.71981712914454,0.913696602052721,0.135970456411667
1990,"WGOA","Arrowtooth flounder","juv",564.803991964918,5806.37479224124,76.1995721263659,0.00240578349657526,0.000324572197922946,0.134913303040356
1990,"WGOA","Flathead sole","adu",200085.33181794,696246076.244483,26386.4752523804,0.852263787158722,0.112393233047317,0.131876110120804
1990,"WGOA","Flathead sole","juv",874.1297715954,39789.7425996878,199.47366392506,0.00372335714387078,0.000849658386802118,0.228196854067783
1990,"WGOA","Pacific cod","adu",348045.893123543,4569811048.4337,67600.3775761179,1.48250203192513,0.287943915143189,0.194228344341136
1990,"WGOA","Pacific cod","juv",2426.48818398108,482283.088407678,694.466045539793,0.0103356302552818,0.0029580792187377,0.286202113047343
1990,"WGOA","Pacific halibut","adu",301271.747693356,749718654.911442,27380.9907583974,1.28326748552811,0.116629373417254,0.090884694525909
1990,"WGOA","Pacific halibut","juv",550.900565324503,39764.0428938009,199.409234725478,0.00234656182882289,0.000849383950524655,0.361969559076452
1990,"WGOA","Pacific ocean perch","adu",50397.5889293464,226357508.426146,15045.1822330654,0.21466860970936,0.0640849775040616,0.298529801775985
1990,"WGOA","Pacific ocean perch","juv",302.285172807035,9820.68461302586,99.0993673694533,0.00128758417140178,0.000422113911959192,0.327834033172093
1990,"WGOA","Rex sole","adu",71865.3914612628,91097816.7478645,9544.51762782512,0.306110748528784,0.040654887922994,0.132811043448777
1990,"WGOA","Rex sole","juv",10.9154297160614,9.58700003616809,3.09628810613097,4.64942901298735e-05,1.31886440824498e-05,0.283661586091748
1990,"WGOA","Sablefish","adu",164712.139650616,1146880376.77399,33865.6223444069,0.70159161920666,0.144250671908291,0.205604896009741
1990,"WGOA","Sablefish","juv",4.21221828430908,17.7427828746677,4.21221828430908,1.794195044038e-05,1.794195044038e-05,1
1990,"WGOA","Walleye pollock","adu",682587.945747538,6653049483.23493,81566.2275898238,2.90748443389656,0.34743147535276,0.119495558188471
1990,"WGOA","Walleye pollock","juv",25502.2098574456,169372025.593679,13014.3008107881,0.108626703199811,0.0554344348756031,0.510320512753071
1993,"WGOA","Arrowtooth flounder","adu",1312300.14402057,9437523162.82359,97146.9153541356,5.58974453784337,0.413797439513653,0.0740279697421206
1993,"WGOA","Arrowtooth flounder","juv",1308.43204918133,28317.4595837005,168.277923637358,0.00557326838176123,0.000716780081734716,0.128610365163897
1993,"WGOA","Flathead sole","adu",165510.918146586,535668480.191179,23144.5129607685,0.704994017472894,0.0985840895415404,0.139836774636645
1993,"WGOA","Flathead sole","juv",1301.61633022398,40034.7971657105,200.086974003083,0.00554423681608859,0.000852270782048934,0.15372192969387
1993,"WGOA","Pacific cod","adu",376885.706565598,6099363562.91084,78098.4222818287,1.60534526286942,0.332660353161702,0.207220440895748
1993,"WGOA","Pacific cod","juv",3916.98911539804,1697780.67274572,1302.9891299415,0.0166844213287268,0.0055500842586554,0.332650689484772
1993,"WGOA","Pacific halibut","adu",535325.694888938,4489179659.97351,67001.3407326563,2.28022064358299,0.285392316761551,0.125159956587843
1993,"WGOA","Pacific halibut","juv",1022.71428541287,74865.1456755345,273.614958793437,0.00435625311534777,0.00116546334949109,0.267538023762893
1993,"WGOA","Pacific ocean perch","adu",308190.069999573,5793454145.92587,76114.7432888391,1.31273609032742,0.324210869355409,0.246973380060378
1993,"WGOA","Pacific ocean perch","juv",392.666604738476,47714.7557240108,218.437074975863,0.00167256402358208,0.000930433066148982,0.556291450151068
1993,"WGOA","Rex sole","adu",63635.0107495361,28023195.9929539,5293.69398368983,0.271053428877203,0.0225484978914097,0.0831883882997288
1993,"WGOA","Rex sole","juv",22.5590119325901,31.5519956128287,5.61711630757533,9.60901469864976e-05,2.39261157912422e-05,0.248996557312003
1993,"WGOA","Sablefish","adu",199583.190328879,1399150188.60474,37405.2160614632,0.850124914692315,0.159327576941222,0.187416665701284
1993,"WGOA","Sablefish","juv",340.471808531185,94397.2258720467,307.241315372862,0.00145024020663142,0.00130869486849523,0.902398694030849
1993,"WGOA","Walleye pollock","adu",699750.313749676,13715563392.8626,117113.463755721,2.98058756753068,0.49884498399186,0.167364646295273
1993,"WGOA","Walleye pollock","juv",7308.04747419064,8096073.27574906,2845.35995539212,0.03112863976834,0.0121198152277289,0.38934612363164
1996,"WGOA","Arrowtooth flounder","adu",1303907.70759434,10723074141.0712,103552.277334065,5.55399694161969,0.44108108899229,0.079416876463684
1996,"WGOA","Arrowtooth flounder","juv",1154.38089451008,11751.9614792639,108.40646419501,0.00491708724492625,0.000461757505599624,0.0939087477197184
1996,"WGOA","Flathead sole","adu",176849.559495834,290551895.734004,17045.5828804416,0.753290978223305,0.0726056872236472,0.0963846499196012
1996,"WGOA","Flathead sole","juv",1501.61178843934,44915.8384129993,211.933570755082,0.00639611778649506,0.000902731379640303,0.141137391426148
1996,"WGOA","Pacific cod","adu",500808.45601202,10970165612.7239,104738.558385744,2.13319441002444,0.446134055007102,0.20913895747645
1996,"WGOA","Pacific cod","juv",11407.0122251943,44589455.4608897,6677.53363607326,0.0485881866045827,0.028442965078209,0.585388487734309
1996,"WGOA","Pacific halibut","adu",533060.653286347,8409540572.93679,91703.5472211233,2.27057269529634,0.390611404346611,0.172032106770151
1996,"WGOA","Pacific halibut","juv",1016.52334450098,132003.289945879,363.32257010249,0.00432988279274742,0.0015475730616652,0.35741684838615
