,dnll_transient_killer_whales,dnll_resident_killer_whales,dnll_offshore_killer_whales,dnll_other_toothed_whales,dnll_humpback_whale,dnll_other_baleen_whales,dnll_dolphins_porpoises,dnll_northern_elephant_seal,dnll_northern_fur_seal_adult,dnll_northern_fur_seal_juvenile,dnll_steller_sea_lion,dnll_harbor_seal,dnll_sea_otter,dnll_piscivorous_surface_birds,dnll_planktivorous_surface_birds,dnll_piscivorous_diving_birds,dnll_planktivorous_diving_birds,dnll_salmon_returning,dnll_salmon_outgoing,dnll_pacific_hake,dnll_pacific_herring_adult,dnll_pacific_herring_juvenile,dnll_pacific_sandlance,dnll_pacific_capelin,dnll_shelf_forage_fish,dnll_slope_forage_fish,dnll_pacific_dogfish,dnll_salmon_shark,dnll_pacific_sleeper_shark,dnll_big_skate,dnll_longnose_skate,dnll_other_skates,dnll_pacific_halibut_adult,dnll_pacific_halibut_juvenile,dnll_arrowtooth_flounder_adult,dnll_arrowtooth_flounder_juvenile,dnll_rex_sole_adult,dnll_rex_sole_juvenile,dnll_flathead_sole_adult,dnll_flathead_sole_juvenile,dnll_shallow_water_flatfish,dnll_deep_water_flatfish,dnll_pacific_ocean_perch_adult,dnll_pacific_ocean_perch_juvenile,dnll_slope_rockfish,dnll_demersal_shelf_rockfish,dnll_pelagic_shelf_rockfish,dnll_thornyheads,dnll_sablefish_adult,dnll_sablefish_juvenile,dnll_pacific_cod_adult,dnll_pacific_cod_juvenile,dnll_walleye_pollock_adult,dnll_walleye_pollock_juvenile,dnll_large_sculpins,dnll_lingcod,dnll_atka_mackerel,dnll_shelf_demersal_fish,dnll_slope_demersal_fish,dnll_miscellaneous_deep_sea_fish,dnll_squid,dnll_octopus,dnll_tanner_crab,dnll_king_crab,dnll_pandalid_shrimp,dnll_nonpandalid_shrimp,dnll_motile_epifauna,dnll_benthic_zooplankton,dnll_sessile_epifauna,dnll_infauna,dnll_gelatinous_carnivores,dnll_other_gelatinous_zooplankton,dnll_mysids,dnll_pelagic_amphipods,dnll_euphausiids,dnll_large_copepods,dnll_small_copepods,dnll_large_microzooplankton,dnll_small_microzooplankton,dnll_large_phytoplankton,dnll_small_phytoplankton,dnll_macroalgae,dnll_benthic_microbes,dnll_discards,dnll_offal,dnll_detritus
shelf_forage_fish,-0.000117658,0.001773797,2.78E-05,-0.001150495,-0.00268982,0.00028039,-0.000100279,-0.003477433,6.34E-05,4.87E-05,-0.006870741,-0.003934933,7.99E-07,-0.001648839,2.65E-07,-0.013494185,-1.89E-08,-26.90483836,0.000385412,2.51E-05,0.052483413,0.041698011,0.030944741,-1.053428126,0.392953977,0.005393556,0.014988591,0.037025237,-0.001548081,-0.001398133,-0.001579683,-0.007445464,0.208989367,0.004999684,-0.072357494,-0.062056365,0.011698211,0.000175093,-0.048103549,0.039586136,0.00466206,0.006297642,0.078189786,0.011962711,0.015352416,0.004336824,0.03481063,-0.001959404,0.066172392,0.000270357,0.089468222,0.063604224,1.644682291,-0.131358922,-0.001821603,0.023929138,-0.040616798,0.013234922,-0.148029385,-0.064003844,-0.528418016,-0.00387002,-0.111749414,-0.001089791,0.020360446,-0.112108552,-0.001135451,0.015609977,-0.003470563,-0.025174152,-0.111104559,-0.103188882,0.021534171,-0.04873924,-0.082582464,-0.377809552,-0.023718173,-0.802732721,-0.023940893,-0.155143805,-0.010991286,0.000116337,-0.042259011,-0.000888733,0.010707282,-0.013561555
slope_forage_fish,0.003704061,0.009521055,7.18E-06,0.005302911,0.003158217,-0.010092059,-0.01744205,0.249537261,0.001041196,0.000650505,0.291568738,0.041542214,-3.01E-06,-0.019692477,1.11E-06,0.021596956,-1.64E-08,-68.57944468,0.001437073,-0.00795136,0.740915683,0.513760516,0.015207507,-10.08136611,-0.081571083,-1.693260275,-0.032849357,0.109986865,0.030270512,0.039167496,0.034702007,-0.096062891,0.56119258,0.028884641,5.563504642,6.6599767,-0.063594476,-0.001276381,0.162487199,-0.148626985,-0.0402731,-0.05767273,0.939018845,0.015884926,-1.283755311,0.165134703,-0.128550452,0.022762033,0.038642226,0.003876123,-0.316381817,0.101597295,0.718774582,-0.231389002,-0.010749991,-0.368618194,-0.335207052,-0.819038824,3.926831418,-0.114360121,1.444799571,0.02740933,0.044647837,-0.001136693,-0.057557316,0.326526687,-0.022705744,0.021071019,0.000707249,-0.008291037,-0.812939401,0.072842348,0.20674262,-0.075925766,-1.203650398,-3.518268,0.012109802,-3.195067305,0.037222016,-0.891910007,0.095215052,0.00075473,0.19149792,-8.27E-05,0.003377977,0.207886728
pacific_dogfish,-0.000457226,-0.001811362,-0.234052594,-0.347410258,-0.000993763,-0.000617497,-0.000123235,0.200208011,-0.000387404,-0.000301984,0.000239625,-0.084497528,9.75E-08,-0.001362863,3.42E-08,-0.005295456,-1.10E-08,3.483103757,8.64E-05,-0.000189126,-4.668032466,-5.824996678,0.056859668,0.790363384,-10.29343841,0.002491575,-14.4316426,1.518237223,0.11752067,0.066472138,0.035130149,0.124424273,-0.233766387,-0.008029699,-0.420365219,-0.483652678,0.056640188,0.003097887,-0.174623942,-0.00456073,-8.413982828,-0.097657304,0.183387018,0.00649042,-0.060687538,0.28442221,0.154586252,-0.007495064,-0.403450073,-0.001089099,-0.502253064,-0.053089312,-2.094979295,-0.21286373,-0.008317022,0.07062554,-0.037517432,-3.706943542,-0.045873725,-0.064590122,-1.363095843,-0.029984027,-0.013633798,-0.000398179,-3.316158414,-0.072722921,-0.112383421,-0.034692057,-0.001188263,-0.890528231,-2.846579425,0.003214427,0.010431478,-0.01793683,-0.917035778,0.006721025,-0.01063505,0.504728167,0.002852666,-0.14282818,0.006802875,-0.000720456,-0.139419389,0.000701935,-12.24154874,-8.880711287
salmon_shark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pacific_sleeper_shark,-0.000117673,0.002861354,-0.067076805,-0.003257958,-2.19E-05,-8.94E-05,8.01E-05,-2.20E-05,-3.69E-05,-3.24E-05,-0.023534852,0.006371643,1.10E-06,-0.000439176,-2.77E-07,-0.000547733,-1.33E-09,-21.84082679,0.000185773,0.000568715,0.00641313,0.007010872,0.037650032,-0.116995678,0.078825631,-0.0045179,0.00478096,0.054776618,-1.863579027,0.006173628,0.000625367,0.012768708,0.066390894,0.010483303,-0.066689407,-0.18590643,-0.018095125,-0.000123247,-0.011889039,0.026754359,0.028775707,0.098717235,-0.030621944,0.000288298,0.246735133,0.006079648,0.000463292,-0.000233562,-0.047461023,-0.000235931,1.283789314,0.0732798,-0.048436504,-0.094742083,-0.0011962,-1.659591848,-0.00596732,0.061452572,0.061399014,0.02501249,0.28706406,0.081471643,0.227214371,-0.004603955,0.307370058,0.270977723,0.079555028,0.129608248,0.0053864,0.284647823,-0.005545827,0.015030787,0.007871892,-0.002335717,0.493475924,-0.373574222,0.00098245,-1.273062655,-0.000727371,-0.048860324,-0.001365598,0.002479113,-0.090970305,-0.000217447,0.098934279,0.479314153
big_skate,-0.013976711,0.004570836,0.000688216,-0.941856562,-0.000624538,-0.004579366,-0.00070445,0.422033739,-0.001544173,-0.001162342,-1.323141623,-0.107617982,5.11E-06,-0.000586723,-5.31E-07,-0.004009169,-2.63E-08,11.06946157,-0.001663473,-0.01016809,-0.842025981,-1.07753574,-20.36438168,-3.414466969,0.60709386,-0.039738476,0.135420878,-0.680265339,0.028650313,-105.2719853,0.189366707,2.133100003,-12.7164384,-0.297785503,-21.0748915,-5.771671212,0.921413803,0.137249824,-0.643560004,0.982222877,-19.72539783,-1.634143655,0.439914776,0.005652254,-7.906531433,1.474199592,0.319769912,-0.117473496,-2.797617417,-0.00807297,-29.11171364,-2.732132474,-30.18339647,-3.450985978,1.967559712,1.130536063,-0.152078456,-29.05961952,0.801225244,0.004939107,0.898382683,2.076080379,-53.5047819,-0.010710297,6.690340927,-12.12261095,6.660973218,0.847695541,-0.196735879,-7.297881301,0.66816515,0.243837143,0.257599669,0.004674543,4.739902066,-0.056577929,0.097441386,-0.905957088,0.038370362,-0.709939635,0.040388483,0.008536203,-1.048778224,-0.228391998,2.487829222,-0.786069564
longnose_skate,-0.014935142,0.003284147,0.000342208,-0.940383259,-0.001081778,-0.00183878,9.08E-05,0.817973639,-0.000766405,-0.000469704,-1.414631976,-0.077263123,-2.81E-06,-0.000975287,-2.93E-07,-0.006364836,-2.75E-08,-2.917044323,-0.000509739,-0.013750461,-0.883808333,-0.845631447,-1.816464432,0.545060071,-1.145286611,0.03544659,0.187376815,-0.490269473,-0.060128529,0.383038787,-81.3966268,-1.558718588,-9.581490809,-0.251861947,-26.47843873,6.145527227,0.28172758,0.025367383,-2.662352273,-6.485433191,-15.37451785,-0.503970922,0.507122682,0.012318923,-0.573360835,1.685890572,0.176198138,1.198343062,-2.643213398,-0.003228104,-54.65256698,-1.765164769,-27.58651209,0.90211492,-0.51299633,0.059062053,-0.131063231,-9.926140813,-2.12688064,-0.078513023,-0.767222335,-0.93095753,-8.356647187,0.00196936,-12.09445749,-4.879807873,-4.184059492,-1.275446213,-0.064565308,-3.521097225,0.227377807,0.293750646,0.126188482,-0.011937113,0.96526813,-0.354416346,0.135891347,-0.885103813,0.000454126,-0.552369145,0.015390535,-0.004248429,-0.43663831,-0.013848278,-30.28389246,-0.533508807
other_skates,-0.090366449,-0.213672164,-0.003835692,-8.909924474,-0.039170634,-0.036674279,-0.016786127,-0.013337181,-0.01761309,-0.014588645,-15.49424118,-1.994386683,-9.96E-05,-0.027474035,1.07E-06,-0.181916252,-4.91E-07,-568.638446,-0.126113575,-0.274479183,-83.1770882,-135.7254843,-1100.399229,-62.68827383,-398.4306005,0.194770908,0.504311164,-31.5423777,-1.773224443,1.754477599,17.68111126,-3538.712723,-985.7032835,-19.58935384,-594.0892829,-121.4877578,2.987090446,0.933524508,-22.06291612,7.216661071,-37.70391889,4.711703077,4.781997003,0.136037033,-8.888162369,-6.891311623,0.801815616,-64.8350732,-170.161718,-0.35855021,-867.9121984,-35.1270294,-3351.820223,-12.52446398,-1.64580231,-0.84517606,-3.149913571,-472.2619084,-22.31083565,-2.218840837,-56.77031034,-42.42418608,-894.0434943,0.123767941,-1279.814433,-40.64644983,1.568876933,-745.4460159,-2.137953775,-202.9308288,-8.061469075,11.54929995,-89.49738431,-0.694396731,48.3138274,-19.21760013,3.232207764,-38.95765624,-0.538859012,-12.19557474,-0.012430012,-0.189722196,-5.291901879,-0.925659722,-387.303468,-21.85775485
pacific_halibut_adult,0.001410747,-0.003516418,-0.000383406,-0.001930671,5.12E-05,0.000126558,9.41E-05,-0.012371009,9.57E-05,2.25E-05,0.054771893,0.005606495,-7.81E-06,-0.000283965,-1.43E-07,-3.29E-05,5.61E-10,3.700925763,0.001435187,0.001686923,-0.011643559,-0.00397108,-0.118198658,0.035499537,-0.004220826,0.000189491,-0.001076974,-1.32142169,-0.149079173,-0.038056146,-0.005226897,-0.12667017,18.20567369,-0.924784809,0.966300828,0.888457813,-0.002181008,-0.000546766,0.01746134,-0.008457409,-0.036048711,0.003757283,-0.017502209,-0.003232845,-0.000611416,0.052680932,-0.005043765,-0.0003484,0.281506859,0.00166814,-0.33477119,0.008793389,0.950406358,0.581298557,0.010621616,-0.016518976,-0.003059496,-0.093094002,-0.0326671,0.021860904,0.194183775,-0.039361699,-0.106456053,-0.003786447,0.000997772,0.015307178,-0.08308804,-0.002650889,0.000525776,-0.008495161,0.02139201,0.002584672,3.09E-05,-0.003577215,0.289896905,-0.28124535,-0.00471248,-0.890119352,-0.001779885,-0.023610117,-0.002436535,0.003125899,0.008586342,-1.38E-05,0.008238477,-0.019455059
pacific_halibut_juvenile,-0.000641051,-0.00096515,0.000441969,0.007428404,-0.000626007,-0.000866135,-0.000299291,0.054893885,-0.000303683,-0.000185327,-0.046289138,-0.003073039,1.05E-05,0.000422955,4.91E-07,-0.002550152,-6.19E-09,49.85854541,0.009303381,-0.001883375,0.02827706,0.013613361,-2.624293409,0.094389689,-0.143320808,0.001968272,-0.00653945,7.01622087,0.126912067,0.053941612,-0.000296141,0.123839578,18.31521129,-5.72576813,-0.9420616,-0.451166844,0.135169883,0.015605965,-0.29011078,0.142192134,-0.354796992,-0.788820797,0.11324855,0.006551683,-0.057971274,-0.188684727,0.002573691,-0.005735251,-1.021492495,-0.004094173,-4.188919172,-0.382761881,-5.755639956,-0.274292975,0.02732956,0.004021823,-0.030441795,-0.550881111,-0.194677139,-0.037750299,-0.996972269,0.166496714,-3.716098866,-0.013188708,-0.645335256,-2.796305343,-7.456137124,-1.401617983,-0.024265571,-1.654338598,-0.110348096,0.055780818,-0.018950032,0.003419567,-0.846373648,1.016091918,0.035260411,3.432589795,0.004688005,-0.098742341,0.012211258,0.0119762,-0.247030553,-0.012617641,-0.501481369,-0.186299484
