"","spnum","preyvul","predvul","nll","dnll","nll_groupB","dnll_groupB","convergence","Vprey","Vpred"
"transient_killer_whales",1,0,4,26764.8345773224,-0.299128323062178,52.9393956082744,0.0409366225179113,"TRUE",2,55.5981500331442
"resident_killer_whales",2,0,4,26763.2698413399,-1.86386430549464,34.9629575147778,-0.973231334531135,"TRUE",2,55.5981500331442
"offshore_killer_whales",3,0,4,26764.8313336689,-0.302371976562426,NA,NA,"TRUE",2,55.5981500331442
"other_toothed_whales",4,0,-4,26736.0531927813,-29.0805128641259,NA,NA,"TRUE",2,1.01831563888873
"humpback_whale",5,-4,4,26765.0469269657,-0.0867786797352892,12.4252348706307,0.0173514543850626,"TRUE",1.01831563888873,55.5981500331442
"other_baleen_whales",6,-3.53747040473982,4,26764.9802939179,-0.153411727573257,4.88585128595599,0.00336207474091221,"TRUE",1.02908681196118,55.5981500331442
"dolphins_porpoises",7,-4,-4,26765.0743553838,-0.0593502616720798,NA,NA,"TRUE",1.01831563888873,1.01831563888873
"northern_elephant_seal",8,-4,4,26756.6787367583,-8.45496888718117,NA,NA,"TRUE",1.01831563888873,55.5981500331442
"northern_fur_seal_adult",9,-4,-4,26764.9821679761,-0.151537669356912,NA,NA,"TRUE",1.01831563888873,1.01831563888873
"northern_fur_seal_juvenile",10,-0.858427100112642,-4,26765.0465826009,-0.087123044533655,NA,NA,"TRUE",1.42382819763839,1.01831563888873
"steller_sea_lion",11,-4,-4,26712.552071845,-52.5816338004297,-3.36320782840378,-0.174615237490133,"TRUE",1.01831563888873,1.01831563888873
"harbor_seal",12,-4,-4,26752.1071264693,-13.0265791760939,11.1610467716654,0.587318436408031,"TRUE",1.01831563888873,1.01831563888873
"sea_otter",13,-4,4,26765.0463178779,-0.0873877674966934,NA,NA,"TRUE",1.01831563888873,55.5981500331442
"piscivorous_surface_birds",14,-4,4,26764.9607573989,-0.172948246523447,6.70638685944029,-0.0161625063082491,"TRUE",1.01831563888873,55.5981500331442
"planktivorous_surface_birds",15,-1.75296008819714e-05,0.00212844133784529,26765.1337011131,-4.53230313723907e-06,NA,NA,"TRUE",1.99998247055276,2.00213070807703
"piscivorous_diving_birds",16,-4,4,26764.6774316507,-0.456273994706862,26.5042324191929,-0.0249705114556171,"TRUE",1.01831563888873,55.5981500331442
"planktivorous_diving_birds",17,-0.000401249053538777,0.0025204244593624,26765.1336991291,-6.51634763926268e-06,7.82179549193464,-5.23504992422374e-06,"TRUE",1.9995988314361,2.00252360339929
"salmon_returning",18,4,4,25188.2427426671,-1576.8909629783,266.063834995196,205.599753601672,"TRUE",55.5981500331442,55.5981500331442
"salmon_outgoing",19,4,-4,26764.824688829,-0.309016816478106,14.849379832801,-0.00189014205883353,"TRUE",55.5981500331442,1.01831563888873
"pacific_hake",20,-4,-4,26763.9543112272,-1.17939441827912,NA,NA,"TRUE",1.01831563888873,1.01831563888873
"pacific_herring_adult",21,-4,4,26245.2626214356,-519.871084209812,1008.24971819264,-122.746962855914,"TRUE",1.01831563888873,55.5981500331442
"pacific_herring_juvenile",22,-4,4,26124.4135822246,-640.720123420815,NA,NA,"TRUE",1.01831563888873,55.5981500331442
"pacific_sandlance",23,-4,-4,22364.7794776201,-4400.3542280253,58.1619093996616,0.103425149435161,"TRUE",1.01831563888873,1.01831563888873
"pacific_capelin",24,4,4,26524.9341026441,-240.199603001296,269.44421173254,12.9488128195679,"TRUE",55.5981500331442,55.5981500331442
