"","spnum","preyvul","predvul","nll","dnll","nll_groupB","dnll_groupB","convergence","Vprey","Vpred"
"transient_killer_whales",1,0,4,26052.8862419418,-712.247463703661,54.0490200593958,0.0850811664772309,"TRUE",2,55.5981500331442
"resident_killer_whales",2,0,4,26051.4266341871,-713.70707145831,32.3346134892303,-1.21273145431007,"TRUE",2,55.5981500331442
"offshore_killer_whales",3,0,4,26053.5993064941,-711.534399151315,NA,NA,"TRUE",2,55.5981500331442
"other_toothed_whales",4,0,-4,26020.2599662243,-744.873739421171,NA,NA,"TRUE",2,1.01831563888873
"humpback_whale",5,-4,-4,26053.0420035062,-712.091702139256,12.098779589018,0.087163156736052,"TRUE",1.01831563888873,1.01831563888873
"other_baleen_whales",6,-4,-4,26053.1683260278,-711.965379617599,4.81569738688513,0.012668322496463,"TRUE",1.01831563888873,1.01831563888873
"dolphins_porpoises",7,-4,4,26053.6575761413,-711.476129504179,NA,NA,"TRUE",1.01831563888873,55.5981500331442
"northern_elephant_seal",8,-4,4,26037.021296973,-728.112408672394,NA,NA,"TRUE",1.01831563888873,55.5981500331442
"northern_fur_seal_adult",9,-4,-4,26050.7752890547,-714.358416590709,NA,NA,"TRUE",1.01831563888873,1.01831563888873
"northern_fur_seal_juvenile",10,-0.663902812541647,-4,26053.1661320504,-711.967573595,NA,NA,"TRUE",1.5148380918311,1.01831563888873
"steller_sea_lion",11,-3.48109280796589,-4,25974.3130161396,-790.820689505817,-1.74812611135002,-0.678563781218281,"TRUE",1.03077376283742,1.01831563888873
"harbor_seal",12,4,-4,26036.0802620337,-729.05344361173,5.73106810082079,4.76359701175629,"TRUE",55.5981500331442,1.01831563888873
"sea_otter",13,-4,4,26052.7691479048,-712.364557740679,NA,NA,"TRUE",1.01831563888873,55.5981500331442
"piscivorous_surface_birds",14,4,-4,26053.4639971169,-711.669708528509,6.80217610034898,-0.0248921248089875,"TRUE",55.5981500331442,1.01831563888873
"planktivorous_surface_birds",15,5.51881385035813e-05,-0.00178491063707042,26053.8646549735,-711.269050671912,NA,NA,"TRUE",2.0000551896614,1.99821668136858
"piscivorous_diving_birds",16,4,-4,26051.4155746242,-713.718131021291,26.6428888840852,-0.0440626030978954,"TRUE",55.5981500331442,1.01831563888873
"planktivorous_diving_birds",17,4,-4,26053.8362441756,-711.297461469811,7.85745866795429,-0.0220664217801696,"TRUE",55.5981500331442,1.01831563888873
"salmon_returning",18,3.48143438992645,4,24026.5350708147,-2738.59863483076,282.588082781429,221.50257379697,"TRUE",33.5063153827209,55.5981500331442
"salmon_outgoing",19,4,-4,26053.5370336752,-711.59667197027,14.8588344594615,-0.0104546333244659,"TRUE",55.5981500331442,1.01831563888873
"pacific_hake",20,-4,-4,26051.3923800935,-713.741325551968,NA,NA,"TRUE",1.01831563888873,1.01831563888873
"pacific_herring_adult",21,-4,4,25485.9670710164,-1279.166634629,946.82339221734,-159.941366588808,"TRUE",1.01831563888873,55.5981500331442
"pacific_herring_juvenile",22,-4,4,25403.0347656384,-1362.09894000706,NA,NA,"TRUE",1.01831563888873,55.5981500331442
"pacific_sandlance",23,-4,-4,21262.6245902648,-5502.50911538065,53.3604387337938,-3.06037146031363,"TRUE",1.01831563888873,1.01831563888873
"pacific_capelin",24,4,4,24119.0397700063,-2646.09393563919,375.062657188038,125.112299846299,"TRUE",55.5981500331442,55.5981500331442
"shelf_forage_fish",25,-4,4,24177.0813665663,-2588.0523390791,84.4356746114803,-0.914136551071209,"TRUE",1.01831563888873,55.5981500331442
"slope_forage_fish",26,-4,-4,26039.2819441813,-725.851761464142,612.98104046946,2.22196023373124,"TRUE",1.01831563888873,1.01831563888873
"pacific_dogfish",27,-4,-4,26030.6936002571,-734.440105388378,157.233146545587,-52.0499319344805,"TRUE",1.01831563888873,1.01831563888873
"salmon_shark",28,0,4,25837.3482578051,-927.785447840317,NA,NA,"TRUE",2,55.5981500331442
