"simulation","depthclass","date","year","month","area_weighted_temp"
"ssp126","Bottom",1987-06-15,1987,6,5.59784767391824
"ssp126","Bottom",1987-07-16,1987,7,6.18983388031415
"ssp126","Bottom",1987-08-16,1987,8,6.56308803573987
"ssp126","Bottom",1987-09-15,1987,9,6.69458136907264
"ssp126","Bottom",1987-10-16,1987,10,6.44240146699648
"ssp126","Bottom",1987-11-15,1987,11,6.06015881736162
"ssp126","Bottom",1987-12-16,1987,12,5.37156044887665
"ssp126","Bottom",1988-01-16,1988,1,4.54633526371502
"ssp126","Bottom",1988-02-15,1988,2,3.8496607179273
"ssp126","Bottom",1988-03-16,1988,3,3.3497006872012
"ssp126","Bottom",1988-04-15,1988,4,3.72023060128344
"ssp126","Bottom",1988-05-16,1988,5,4.38389685619779
"ssp126","Bottom",1988-06-15,1988,6,5.18782005272327
"ssp126","Bottom",1988-07-16,1988,7,5.84037449210485
"ssp126","Bottom",1988-08-16,1988,8,6.31146535761197
"ssp126","Bottom",1988-09-15,1988,9,6.61759991463787
"ssp126","Bottom",1988-10-16,1988,10,6.49049821141702
"ssp126","Bottom",1988-11-15,1988,11,6.03052755744487
"ssp126","Bottom",1988-12-16,1988,12,5.23192447527003
"ssp126","Bottom",1989-01-16,1989,1,4.64093087223192
"ssp126","Bottom",1989-02-14,1989,2,4.47759238264711
"ssp126","Bottom",1989-03-16,1989,3,4.05190046990349
"ssp126","Bottom",1989-04-15,1989,4,4.06639426088497
"ssp126","Bottom",1989-05-16,1989,5,4.71241851930548
"ssp126","Bottom",1989-06-15,1989,6,5.48786167227056
"ssp126","Bottom",1989-07-16,1989,7,6.0534004393062
"ssp126","Bottom",1989-08-16,1989,8,6.46876168640108
"ssp126","Bottom",1989-09-15,1989,9,6.82132029756837
"ssp126","Bottom",1989-10-16,1989,10,6.71107540312707
"ssp126","Bottom",1989-11-15,1989,11,5.95060296498224
"ssp126","Bottom",1989-12-16,1989,12,4.56851335000513
"ssp126","Bottom",1990-01-16,1990,1,3.71634490928634
"ssp126","Bottom",1990-02-14,1990,2,3.33194577403752
"ssp126","Bottom",1990-03-16,1990,3,3.34840840384746
"ssp126","Bottom",1990-04-15,1990,4,3.79877886693431
"ssp126","Bottom",1990-05-16,1990,5,4.50938848850209
"ssp126","Bottom",1990-06-15,1990,6,5.28747786610115
"ssp126","Bottom",1990-07-16,1990,7,5.85769524888386
"ssp126","Bottom",1990-08-16,1990,8,6.26227648889078
"ssp126","Bottom",1990-09-15,1990,9,6.55385752665091
"ssp126","Bottom",1990-10-16,1990,10,6.4876615211851
"ssp126","Bottom",1990-11-15,1990,11,5.96862484175192
"ssp126","Bottom",1990-12-16,1990,12,5.08327674768418
"ssp126","Bottom",1991-01-16,1991,1,3.74720115808523
"ssp126","Bottom",1991-02-14,1991,2,3.18361877266327
"ssp126","Bottom",1991-03-16,1991,3,3.13738380260317
"ssp126","Bottom",1991-04-15,1991,4,3.45570990616478
"ssp126","Bottom",1991-05-16,1991,5,4.14323005331606
"ssp126","Bottom",1991-06-15,1991,6,4.87077399870177
"ssp126","Bottom",1991-07-16,1991,7,5.36552487048408
"ssp126","Bottom",1991-08-16,1991,8,5.81412501581969
"ssp126","Bottom",1991-09-15,1991,9,6.39491513499745
"ssp126","Bottom",1991-10-16,1991,10,6.3793445848741
"ssp126","Bottom",1991-11-15,1991,11,6.17368090508725
"ssp126","Bottom",1991-12-16,1991,12,5.29097845977435
"ssp126","Bottom",1992-01-16,1992,1,4.70736485121433
"ssp126","Bottom",1992-02-15,1992,2,4.0670980551471
"ssp126","Bottom",1992-03-16,1992,3,3.72941253877723
"ssp126","Bottom",1992-04-15,1992,4,3.99983934749994
"ssp126","Bottom",1992-05-16,1992,5,4.62698951280406
"ssp126","Bottom",1992-06-15,1992,6,5.48752133616255
"ssp126","Bottom",1992-07-16,1992,7,5.97856637337894
"ssp126","Bottom",1992-08-16,1992,8,6.47557124035927
"ssp126","Bottom",1992-09-15,1992,9,6.40681379491481
"ssp126","Bottom",1992-10-16,1992,10,6.13759422729315
"ssp126","Bottom",1992-11-15,1992,11,5.69655665774838
"ssp126","Bottom",1992-12-16,1992,12,4.89747639621594
"ssp126","Bottom",1993-01-16,1993,1,4.20652959014619
"ssp126","Bottom",1993-02-14,1993,2,3.47188854542289
"ssp126","Bottom",1993-03-16,1993,3,3.56874547260076
"ssp126","Bottom",1993-04-15,1993,4,3.99237275048809
"ssp126","Bottom",1993-05-16,1993,5,4.64973848760489
"ssp126","Bottom",1993-06-15,1993,6,5.38455174947869
"ssp126","Bottom",1993-07-16,1993,7,5.83945118854522
"ssp126","Bottom",1993-08-16,1993,8,6.17386653305584
"ssp126","Bottom",1993-09-15,1993,9,6.13270788139649
"ssp126","Bottom",1993-10-16,1993,10,5.93771209982293
"ssp126","Bottom",1993-11-15,1993,11,5.49417836023298
"ssp126","Bottom",1993-12-16,1993,12,4.91116291620666
"ssp126","Bottom",1994-01-16,1994,1,4.4889344969123
"ssp126","Bottom",1994-02-14,1994,2,4.0950012294916
"ssp126","Bottom",1994-03-16,1994,3,3.45097950166023
"ssp126","Bottom",1994-04-15,1994,4,3.60623160867422
"ssp126","Bottom",1994-05-16,1994,5,4.25783417661718
"ssp126","Bottom",1994-06-15,1994,6,5.08995791742824
"ssp126","Bottom",1994-07-16,1994,7,5.63986650814819
"ssp126","Bottom",1994-08-16,1994,8,5.99578542665857
"ssp126","Bottom",1994-09-15,1994,9,6.17429739871484
"ssp126","Bottom",1994-10-16,1994,10,6.29468537738601
"ssp126","Bottom",1994-11-15,1994,11,5.32936456510237
"ssp126","Bottom",1994-12-16,1994,12,4.34196149053422
"ssp126","Bottom",1995-01-16,1995,1,4.01737363728829
"ssp126","Bottom",1995-02-14,1995,2,3.69592685773842
"ssp126","Bottom",1995-03-16,1995,3,3.32181332998219
"ssp126","Bottom",1995-04-15,1995,4,3.49769579896481
"ssp126","Bottom",1995-05-16,1995,5,4.21813714963982
"ssp126","Bottom",1995-06-15,1995,6,5.06640765467545
"ssp126","Bottom",1995-07-16,1995,7,5.68455960730145
"ssp126","Bottom",1995-08-16,1995,8,6.04988578667463
"ssp126","Bottom",1995-09-15,1995,9,6.52775365746557
"ssp126","Bottom",1995-10-16,1995,10,6.73916772550226
"ssp126","Bottom",1995-11-15,1995,11,6.25172524352168
"ssp126","Bottom",1995-12-16,1995,12,5.24413591414843
"ssp126","Bottom",1996-01-16,1996,1,4.59476857794362
"ssp126","Bottom",1996-02-15,1996,2,3.90709505706481
"ssp126","Bottom",1996-03-16,1996,3,3.77444777091153
"ssp126","Bottom",1996-04-15,1996,4,4.15414664145331
"ssp126","Bottom",1996-05-16,1996,5,4.88853606715813
"ssp126","Bottom",1996-06-15,1996,6,5.62306488165855
"ssp126","Bottom",1996-07-16,1996,7,6.19674227386699
"ssp126","Bottom",1996-08-16,1996,8,6.52406871092932
"ssp126","Bottom",1996-09-15,1996,9,6.84603152400494
"ssp126","Bottom",1996-10-16,1996,10,6.68780142642594
"ssp126","Bottom",1996-11-15,1996,11,6.13585827494853
"ssp126","Bottom",1996-12-16,1996,12,5.10974629158617
"ssp126","Bottom",1997-01-16,1997,1,4.21795208733182
"ssp126","Bottom",1997-02-14,1997,2,3.99157361199104
