"Model","Num_Parameters","AICc","NLL","NLLp","Time_Min","converged_s1","converged_s2","Delta_AICc"
"Base_59M04par",63,28022.8943041489,13946.2402555227,14882.6388325575,4.26,TRUE,TRUE,0
"Bioen_59M04par",63,28224.8127657383,14047.1994863174,14728.848582596,4.98,TRUE,TRUE,201.918461589416
"Full_59M04par",63,28783.563954678,14326.5750807873,15070.6666980517,4.48,TRUE,TRUE,760.669650529104
"Base_59M03par",62,28945.9710997284,14408.8487883762,15345.247365411,4.23,TRUE,TRUE,923.076795579484
"Bioen_59M03par",62,29118.3914178526,14495.0589474383,15176.7080437169,5.03,TRUE,TRUE,1095.4971137037
"Bioen_61M02par",63,29344.065850335,14606.8260286158,15282.6864749195,4.45,TRUE,TRUE,1321.17154618608
"Bioen_63par",63,29363.9810204652,14616.7836136809,15320.644289701,4.53,TRUE,NA,1341.08671631629
"Base_63par",63,29574.2251252904,14721.9056660935,15656.4807784751,6,TRUE,NA,1551.33082114151
"Base_61M02par",63,29610.3326580205,14739.9594324585,15671.6792679213,5.66,TRUE,TRUE,1587.43835387157
"Full_59M03par",62,29750.4632135218,14811.0948452729,15555.1864625373,4.56,TRUE,TRUE,1727.56890937289
"Full_61M02par",63,29955.7968332604,14912.6915200785,15656.8249233078,5.31,TRUE,TRUE,1932.90252911146
"Full_63par",63,30080.0782463933,14974.8322266449,15720.2295911063,13.13,TRUE,NA,2057.18394224438
"PrimProd_59M04par",63,30757.7320555648,15313.6591312307,15847.8565019808,2.79,TRUE,TRUE,2734.83775141586
"PrimProd_59M03par",62,31727.3944980174,15799.5604875207,16333.7578582708,2.87,TRUE,TRUE,3704.50019386845
"PrimProd_61M02par",63,32195.7764253897,16032.6813161431,16567.0063377807,3.11,TRUE,TRUE,4172.88212124073
"PrimProd_63par",63,32207.6431686515,16038.614687774,16572.0318807903,3.26,TRUE,NA,4184.74886450262
"Bioen_NoFit",NA,52109.7314338451,26053.8646581613,NA,NA,NA,NA,24086.8371296962
"Base_NoFit",NA,53532.2695288134,26765.1337056454,NA,NA,NA,NA,25509.3752246645
"Full_NoFit",NA,59847.5037752274,29922.7508288524,NA,NA,NA,NA,31824.6094710784
"PrimProd_NoFit",NA,61807.306106737,30902.6519946073,NA,NA,NA,NA,33784.4118025881
