,spnum,preyvul,predvul,nll,dnll,nll_groupB,dnll_groupB,convergence,Vprey,Vpred
offshore_killer_whales,3,0,4,35636.01709,-0.257330596,NA,NA,TRUE,2,55.59815003
piscivorous_surface_birds,14,-4,4,35636.06377,-0.210650359,7.521392291,-0.025869329,TRUE,1.018315639,55.59815003
other_baleen_whales,6,-0.874089666,4,35636.08545,-0.18896542,4.887704196,0.003733459,TRUE,1.417241676,55.59815003
small_phytoplankton,81,-2.823226315,4,35636.10279,-0.171623749,NA,NA,TRUE,1.059413945,55.59815003
northern_fur_seal_adult,9,-0.766529394,-4,35636.15197,-0.122442754,NA,NA,TRUE,1.464622796,1.018315639
humpback_whale,5,-4,4,35636.1818,-0.092618284,12.43800908,0.020403957,TRUE,1.018315639,55.59815003
northern_fur_seal_juvenile,10,-0.870059119,-4,35636.19143,-0.082982909,NA,NA,TRUE,1.418926782,1.018315639
dolphins_porpoises,7,-4,-4,35636.22297,-0.051449536,NA,NA,TRUE,1.018315639,1.018315639
sea_otter,13,0.000664018,0.006270482,35636.27438,-3.98E-05,NA,NA,TRUE,2.000664239,2.006290183
planktivorous_surface_birds,15,-3.23E-05,0.003997993,35636.2744,-1.60E-05,NA,NA,TRUE,1.999967677,2.004005996
planktivorous_diving_birds,17,-0.000434,0.002966499,35636.27441,-8.99E-06,7.820531515,-7.09E-06,TRUE,1.999566094,2.002970903
